uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"e037fd41-02ca-402c-814d-670e1541def9","CPER_007.basePlot.bet","D10","CPER","CPER_007","E","distributed","grasslandHerbaceous",40.861915,-104.683832,"WGS84",20.1,1646.7,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_007.E.20170511","Ok","Ok","Low","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"bd0ae3f5-6663-4586-aa87-2f78f3124bb3","CPER_007.basePlot.bet","D10","CPER","CPER_007","W","distributed","grasslandHerbaceous",40.861915,-104.683832,"WGS84",20.1,1646.7,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_007.W.20170511","Ok","Ok","Low","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"c4dd270a-49c1-4fe0-86d6-952bb1ac3db7","CPER_002.basePlot.bet","D10","CPER","CPER_002","W","distributed","grasslandHerbaceous",40.810934,-104.729248,"WGS84",20.1,1651.1,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_002.W.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=","Herp very bycatch in trap"
"e793f7eb-5981-4511-a551-b214bd2b9231","CPER_002.basePlot.bet","D10","CPER","CPER_002","S","distributed","grasslandHerbaceous",40.810934,-104.729248,"WGS84",20.1,1651.1,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_002.S.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"f9081fe8-30aa-4ffe-a06d-83c7f19a4500","CPER_009.basePlot.bet","D10","CPER","CPER_009","S","distributed","grasslandHerbaceous",40.826120,-104.745903,"WGS84",20.1,1656.6,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_009.S.20170511","Ok","Ok","Low","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"3d3727ae-8047-4f9d-a71c-312e8f8cc75d","CPER_008.basePlot.bet","D10","CPER","CPER_008","S","distributed","grasslandHerbaceous",40.798822,-104.749212,"WGS84",20.1,1644.8,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_008.S.20170511","Ok","Ok","High","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"a745b4b1-4a0b-49e6-aeb5-7570e123550e","CPER_008.basePlot.bet","D10","CPER","CPER_008","W","distributed","grasslandHerbaceous",40.798822,-104.749212,"WGS84",20.1,1644.8,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_008.W.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"ce2a95e8-23dd-4ee1-9db1-fc7a864e2d5e","CPER_008.basePlot.bet","D10","CPER","CPER_008","E","distributed","grasslandHerbaceous",40.798822,-104.749212,"WGS84",20.1,1644.8,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_008.E.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"fdc592c7-9b86-45da-8d6c-a2d18ac74d9a","CPER_006.basePlot.bet","D10","CPER","CPER_006","S","distributed","grasslandHerbaceous",40.814769,-104.748078,"WGS84",20.1,1650.0,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_006.S.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"72b3b7a1-3a86-46be-b45d-df3e9324c014","CPER_009.basePlot.bet","D10","CPER","CPER_009","E","distributed","grasslandHerbaceous",40.826120,-104.745903,"WGS84",20.1,1656.6,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_009.E.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"9cc00824-7bd1-42fb-be08-85ab8e936465","CPER_009.basePlot.bet","D10","CPER","CPER_009","W","distributed","grasslandHerbaceous",40.826120,-104.745903,"WGS84",20.1,1656.6,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_009.W.20170511","Ok","Ok","Low","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"18326151-2822-40d3-a523-b00442affd6a","CPER_006.basePlot.bet","D10","CPER","CPER_006","E","distributed","grasslandHerbaceous",40.814769,-104.748078,"WGS84",20.1,1650.0,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_006.E.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"c053ae12-fa4f-4b02-ab1f-5a039412df2f","CPER_006.basePlot.bet","D10","CPER","CPER_006","W","distributed","grasslandHerbaceous",40.814769,-104.748078,"WGS84",20.1,1650.0,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_006.W.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"244b15bf-c0c9-4bb3-bdaf-48d490be8b9d","CPER_005.basePlot.bet","D10","CPER","CPER_005","W","distributed","grasslandHerbaceous",40.853093,-104.728006,"WGS84",20.1,1664.4,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_005.W.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"51a19776-da49-4c92-8541-f20d0e0a3d07","CPER_005.basePlot.bet","D10","CPER","CPER_005","S","distributed","grasslandHerbaceous",40.853093,-104.728006,"WGS84",20.1,1664.4,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_005.S.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"96d62de9-730b-4ca3-8150-316ddaa00a81","CPER_005.basePlot.bet","D10","CPER","CPER_005","E","distributed","grasslandHerbaceous",40.853093,-104.728006,"WGS84",20.1,1664.4,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_005.E.20170511","Ok","Ok","Low","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"2d2b91cf-5290-4b75-8442-4f8688879704","CPER_001.basePlot.bet","D10","CPER","CPER_001","E","distributed","grasslandHerbaceous",40.850866,-104.699535,"WGS84",20.1,1637.9,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_001.E.20170511","Ok","Ok","Low","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"41a74711-b11a-4c82-ac32-f07c51b692fc","CPER_001.basePlot.bet","D10","CPER","CPER_001","W","distributed","grasslandHerbaceous",40.850866,-104.699535,"WGS84",20.1,1637.9,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_001.W.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"f0bef89b-3223-4f22-85e1-d88b5d33aa68","CPER_001.basePlot.bet","D10","CPER","CPER_001","S","distributed","grasslandHerbaceous",40.850866,-104.699535,"WGS84",20.1,1637.9,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_001.S.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"4ac5dee7-4e47-4850-b4e8-dd8187d4c662","CPER_003.basePlot.bet","D10","CPER","CPER_003","W","distributed","grasslandHerbaceous",40.818451,-104.707164,"WGS84",20.1,1623.8,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_003.W.20170511","Ok","Disturbed","Ok","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=","Small carnivore feces on top of trap lid"
"892e9b82-1bc5-4a3b-bd0d-82654241d053","CPER_003.basePlot.bet","D10","CPER","CPER_003","S","distributed","grasslandHerbaceous",40.818451,-104.707164,"WGS84",20.1,1623.8,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_003.S.20170511","Ok","Ok","Low","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"89e28592-a55d-440f-8ee2-c8191d6ffd00","CPER_003.basePlot.bet","D10","CPER","CPER_003","E","distributed","grasslandHerbaceous",40.818451,-104.707164,"WGS84",20.1,1623.8,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_003.E.20170511","Ok","Ok","Low","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"c89e3e22-b9cf-44d8-85dd-1e6f899793eb","CPER_004.basePlot.bet","D10","CPER","CPER_004","W","distributed","grasslandHerbaceous",40.812750,-104.696873,"WGS84",20.1,1622.7,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_004.W.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"1751b90b-1c22-4325-978c-8bfb6da5c122","CPER_004.basePlot.bet","D10","CPER","CPER_004","E","distributed","grasslandHerbaceous",40.812750,-104.696873,"WGS84",20.1,1622.7,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_004.E.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"9cfc02f3-c96e-48b1-9155-ac496717f092","CPER_004.basePlot.bet","D10","CPER","CPER_004","S","distributed","grasslandHerbaceous",40.812750,-104.696873,"WGS84",20.1,1622.7,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_004.S.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
"d7d32be4-e5bd-4ec1-a7fa-cfba8ed7a157","CPER_010.basePlot.bet","D10","CPER","CPER_010","W","distributed","grasslandHerbaceous",40.850010,-104.681398,"WGS84",20.1,1646.2,0.1,"2017-04-27","2017-05-11","CPER.2017.20",14,"Y","CPER_010.W.20170511","Ok","Ok","Ok","NEON.DOC.014050vK","LNwpgRE1aFsz4Eo6S0oHXbZbSzrlJnj8qYRePodjhJ0=",
