uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"20cdce6c-c77f-48f2-97e1-3b0016398975","STER_005.basePlot.bet","D10","STER","STER_005","W","distributed","cultivatedCrops",40.460660,-103.033300,"WGS84",20.1,1363.6,0.1,"2013-06-26","2013-07-10","STER.2013.28",14,"Y","STER_005.W.20130710","Ok","Ok","Ok","NEON.DOC.014050vB","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","Plot end 1634"
"a5d2f8bc-9c69-4449-bea9-669132eddb59","STER_006.basePlot.bet","D10","STER","STER_006","S","distributed","cultivatedCrops",40.463935,-103.035332,"WGS84",20.1,1361.2,0.1,"2013-06-26","2013-07-10","STER.2013.28",14,"Y","STER_006.S.20130710","Ok","Ok","High","NEON.DOC.014050vB","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",
"c5f39ac7-44b8-445e-a1d1-1c253cf47d71","STER_005.basePlot.bet","D10","STER","STER_005","S","distributed","cultivatedCrops",40.460660,-103.033300,"WGS84",20.1,1363.6,0.1,"2013-06-26","2013-07-10","STER.2013.28",14,"Y","STER_005.S.20130710","Ok","Ok","Ok","NEON.DOC.014050vB","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",
"8f2428d6-ed7e-4791-af5f-d909de1cbe7d","STER_006.basePlot.bet","D10","STER","STER_006","N","distributed","cultivatedCrops",40.463935,-103.035332,"WGS84",20.1,1361.2,0.1,"2013-06-26","2013-07-10","STER.2013.28",14,"Y","STER_006.N.20130710","Ok","Ok","Ok","NEON.DOC.014050vB","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","Plot start 1513"
"d73a52ea-5c5e-4301-a388-f05572b030f2","STER_005.basePlot.bet","D10","STER","STER_005","N","distributed","cultivatedCrops",40.460660,-103.033300,"WGS84",20.1,1363.6,0.1,"2013-06-26","2013-07-10","STER.2013.28",14,"Y","STER_005.N.20130710","Ok","Ok","Ok","NEON.DOC.014050vB","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","Plot start 1614"
"ff308fe3-492d-4559-865f-07d67b138abe","STER_005.basePlot.bet","D10","STER","STER_005","E","distributed","cultivatedCrops",40.460660,-103.033300,"WGS84",20.1,1363.6,0.1,"2013-06-26","2013-07-10","STER.2013.28",14,"Y","STER_005.E.20130710","Ok","Ok","Low","NEON.DOC.014050vB","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",
"efa29231-d296-475d-b34d-e333ed1bb07d","STER_006.basePlot.bet","D10","STER","STER_006","E","distributed","cultivatedCrops",40.463935,-103.035332,"WGS84",20.1,1361.2,0.1,"2013-06-26","2013-07-10","STER.2013.28",14,"Y","STER_006.E.20130710","Ok","Ok","Low","NEON.DOC.014050vB","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",
"91fced66-c3c6-4199-b214-c35509af8f29","STER_006.basePlot.bet","D10","STER","STER_006","W","distributed","cultivatedCrops",40.463935,-103.035332,"WGS84",20.1,1361.2,0.1,"2013-06-26","2013-07-10","STER.2013.28",14,"Y","STER_006.W.20130710","Ok","Ok","Ok","NEON.DOC.014050vB","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","Plot end 1539"
"e5888466-8c89-4141-bff7-ec8741d54c14","STER_018.basePlot.bet","D10","STER","STER_018","W","distributed","cultivatedCrops",40.465260,-103.034600,"WGS84",20.1,1362.6,0.1,"2013-07-10","2013-07-24","STER.2013.30",14,"Y","STER_018.W.20130724","Ok","Ok",,"NEON.DOC.014050vB","bWtGwZ8S0LVX37ytxoGR3hYIa7ucdJvd",
"f6876099-719e-494a-8ff5-9d5c0314b468","STER_006.basePlot.bet","D10","STER","STER_006","W","distributed","cultivatedCrops",40.463935,-103.035332,"WGS84",20.1,1361.2,0.1,"2013-07-10","2013-07-24","STER.2013.30",14,"Y","STER_006.W.20130724","Ok","Ok","Low","NEON.DOC.014050vB","bWtGwZ8S0LVX37ytxoGR3hYIa7ucdJvd",
