uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,identifiedDate,subsampleID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,totalLength,identifiedBy,recordedBy,remarks
"ad32be1d-b605-453f-932a-cae6cd117e3c","STER_035.basePlot.bet","D10","STER","STER_035","W","2014-06-24","2014-07-08","2015-02-06","2015-02-06","xZ4ZeMJQZ4LajES5yhRAJ8+weOrbuic8my4hXOYofmc=","NEON.BET.D10.001580","POESCI","Poecilus scitulus","species",,"LeConte",,"Other",,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",
"92e35412-be44-4eb0-bc6a-481ec3270a3a","STER_035.basePlot.bet","D10","STER","STER_035","W","2014-06-24","2014-07-08","2015-02-06","2015-02-06","xZ4ZeMJQZ4LajES5yhRAJ8+weOrbuic8my4hXOYofmc=","NEON.BET.D10.001582","CARSP14","Carabidae sp.","family",,"Latreille","D10.2014.MorphF","Other",,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","approximately 10mm. leg more rufous than body. enlarged femur on all legs. One orbital setae"
"db9d4042-f2ad-440b-bad0-c6000125f9e9","STER_026.basePlot.bet","D10","STER","STER_026","W","2014-06-24","2014-07-08","2015-02-10","2015-02-10","B74IC5C471q65WAnY8r9A4SyphEoMq66chPg9PIxiLs=","NEON.BET.D10.001794","CARSP14","Carabidae sp.","family",,"Latreille","D10.2014.MorphB","Other",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","approximately 5 mm in length. 2 orbital setae. pronotum with somewhat parallel sides. brassy iridescence overall. Could be Amara cupreolata or A. convexa"
"8f504f2f-d101-4d69-89d2-79a8b99f7ad5","STER_026.basePlot.bet","D10","STER","STER_026","W","2014-06-24","2014-07-08","2015-02-10","2015-02-10","B74IC5C471q65WAnY8r9A4SyphEoMq66chPg9PIxiLs=","NEON.BET.D10.001796","ACUPAR","Acupalpus partiarius","species",,"Say",,"Other",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",
"a7cc7f4f-f8f5-4cf4-9b76-ce55d974c4c7","STER_035.basePlot.bet","D10","STER","STER_035","W","2014-06-24","2014-07-08","2015-02-06","2015-02-06","xZ4ZeMJQZ4LajES5yhRAJ8+weOrbuic8my4hXOYofmc=","NEON.BET.D10.001586","CARSP14","Carabidae sp.","family",,"Latreille","D10.2014.MorphF","Other",,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","approximately 10mm. leg more rufous than body. enlarged femur on all legs. One orbital setae"
"49238156-8722-475a-8eb7-9133e1feb02b","STER_035.basePlot.bet","D10","STER","STER_035","W","2014-06-24","2014-07-08","2015-02-06","2015-02-06","xZ4ZeMJQZ4LajES5yhRAJ8+weOrbuic8my4hXOYofmc=","NEON.BET.D10.001579","SELSP2","Selenophorus sp.","genus",,"Dejean",,"Other",,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl",
"1a67dadf-45b9-46d8-8b40-18dfd003442d","STER_035.basePlot.bet","D10","STER","STER_035","W","2014-06-24","2014-07-08","2015-02-06","2015-02-06","xZ4ZeMJQZ4LajES5yhRAJ8+weOrbuic8my4hXOYofmc=","NEON.BET.D10.001585","CARSP14","Carabidae sp.","family",,"Latreille","D10.2014.MorphF","Other",,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","approximately 10mm. leg more rufous than body. enlarged femur on all legs. One orbital setae"
"99e6bfd4-c722-4d83-a780-5a7a07b275d8","STER_035.basePlot.bet","D10","STER","STER_035","W","2014-06-24","2014-07-08","2015-02-06","2015-02-06","xZ4ZeMJQZ4LajES5yhRAJ8+weOrbuic8my4hXOYofmc=","NEON.BET.D10.001583","CARSP14","Carabidae sp.","family",,"Latreille","D10.2014.MorphF","Other",,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","approximately 10mm. leg more rufous than body. enlarged femur on all legs. One orbital setae"
"05ecdd2d-d971-4b0e-9a5a-a692cd8a8c25","STER_035.basePlot.bet","D10","STER","STER_035","W","2014-06-24","2014-07-08","2015-02-06","2015-02-06","xZ4ZeMJQZ4LajES5yhRAJ8+weOrbuic8my4hXOYofmc=","NEON.BET.D10.001581","CARSP14","Carabidae sp.","family",,"Latreille","D10.2014.MorphF","Other",,"XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","XXW8BqPXtz8Ncjf8bOi7gc6Hj7+NVXsl","approximately 10mm. leg more rufous than body. enlarged femur on all legs. One orbital setae"
"a2672cac-67b0-4328-8d4e-37c0d4cff5e6","STER_033.basePlot.bet","D10","STER","STER_033","W","2014-06-24","2014-07-08","2015-02-04","2015-02-04","Yx5jJOWNohLDsVw75MbO8CbNCBLqiUp3MfZGcA9NryY=","NEON.BET.D10.001540","PASELO","Pasimachus elongatus","species",,"LeConte",,"Other",,"P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh","P+EeY8owwbjzXaiaPoIJpc6mcpR6iWBh",
