uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,individualID,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,identificationQualifier,sex,morphospeciesID,identificationReferences,identifiedBy,laboratoryName,identificationRemarks,sampleCondition,dnaBarcoded,geneticSampleID,remarks
"549ce1c1-b90e-462d-bd94-6cc6f0e4d5f0","STER_035.basePlot.bet","D10","STER","STER_035","2015-05-14","2015-05-28","2017-01-15","NEON.BET.D10.003080","RHASP","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Platynini","Rhadine",,"sp.",,"Rhadine sp.","LeConte","genus",,"F","TKW.2017.MorphA","Arnett Jr., R. H., and M. C. Thomas. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. (C. Press, Ed.). 1st Ed. Boca Raton, FL.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"e44a141d-b22b-4dc3-9a76-3264ce6f9fd5","STER_026.basePlot.bet","D10","STER","STER_026","2015-05-14","2015-05-28","2017-01-15","NEON.BET.D10.003169","HARNIG","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Harpalus","Opadius","nigritarsis",,"Harpalus nigritarsis","Sahlberg","species",,"F",,"Noonan, G. R. 1991. Classification, Cladistics, and Natural History of Native North American Harpalus Latreille (Insecta: Coleoptera: Carabidae: Harpalini), excluding subgenera Glanodes and Pseudophonus.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"c914f738-5f93-4c5f-9d56-abd2fad5f1a5","STER_026.basePlot.bet","D10","STER","STER_026","2015-05-14","2015-05-28","2017-01-15","NEON.BET.D10.003142","BEMNIT2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Trechinae","Bembidiini","Bembidion","Hydrium","nitidum",,"Bembidion nitidum","Kirby","species",,"M",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"e627b2e1-9fa0-471c-9896-db1469f89edd","STER_035.basePlot.bet","D10","STER","STER_035","2015-05-14","2015-05-28","2017-01-15","NEON.BET.D10.003148","HARAMP","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Harpalus","Harpalus","amputatus","amputatus","Harpalus amputatus amputatus","Say","subspecies",,"M",,"Noonan, G. R. 1991. Classification, Cladistics, and Natural History of Native North American Harpalus Latreille (Insecta: Coleoptera: Carabidae: Harpalini), excluding subgenera Glanodes and Pseudophonus.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"2083efa9-7215-4eb9-8ca1-94c59643cdb5","STER_026.basePlot.bet","D10","STER","STER_026","2015-05-14","2015-05-28","2017-01-15","NEON.BET.D10.003166","HARDES","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Harpalus","Opadius","desertus",,"Harpalus desertus","LeConte","species",,"F",,"Noonan, G. R. 1991. Classification, Cladistics, and Natural History of Native North American Harpalus Latreille (Insecta: Coleoptera: Carabidae: Harpalini), excluding subgenera Glanodes and Pseudophonus.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"b0eda6cd-bf30-4f00-9840-874f20d8e7fc","STER_026.basePlot.bet","D10","STER","STER_026","2015-05-14","2015-05-28","2017-01-15","NEON.BET.D10.003143","AMALIT","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini","Amara","Amara","littoralis",,"Amara littoralis","Mannerheim","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"06f1a160-0d7c-4e8b-94c3-6e5576da0804","STER_026.basePlot.bet","D10","STER","STER_026","2015-05-14","2015-05-28","2017-01-15","NEON.BET.D10.003127","ACUPAR","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Acupalpus","Tachistodes","partiarius",,"Acupalpus partiarius","Say","species",,"M",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"2fd40792-693e-4b17-931e-2baf4bb15a58","STER_026.basePlot.bet","D10","STER","STER_026","2015-05-14","2015-05-28","2017-01-15","NEON.BET.D10.003137","STECOM","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Stenolophus","Agonoderus","comma",,"Stenolophus comma","Fabricius","species",,"M",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"15bef289-45c1-4aa9-9db5-34b942dcd1c3","STER_026.basePlot.bet","D10","STER","STER_026","2015-05-14","2015-05-28","2017-01-15","NEON.BET.D10.003161","AMALIT","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini","Amara","Amara","littoralis",,"Amara littoralis","Mannerheim","species",,"M",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"cb5f74c3-15f7-4b62-acf5-4bf8df59e92c","STER_026.basePlot.bet","D10","STER","STER_026","2015-05-14","2015-05-28","2017-01-15","NEON.BET.D10.003144","AMALIT","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini","Amara","Amara","littoralis",,"Amara littoralis","Mannerheim","species",,"M",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"f0913e87-36a4-4eb1-8fbb-bc52837b880f","STER_026.basePlot.bet","D10","STER","STER_026","2015-05-14","2015-05-28","2017-01-15","NEON.BET.D10.003164","STECOM","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Stenolophus","Agonoderus","comma",,"Stenolophus comma","Fabricius","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"53f211f4-6fb3-46d9-8215-214508f233a8","STER_026.basePlot.bet","D10","STER","STER_026","2015-05-14","2015-05-28","2017-01-15","NEON.BET.D10.003138","STECOM","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Stenolophus","Agonoderus","comma",,"Stenolophus comma","Fabricius","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"a92738be-dc04-4452-93ae-6c1f1f8a355f","STER_026.basePlot.bet","D10","STER","STER_026","2015-05-14","2015-05-28","2017-01-15","NEON.BET.D10.003170","HARSOM","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Harpalus","Harpalus","somnulentus",,"Harpalus somnulentus","Dejean","species",,"F",,"Noonan, G. R. 1991. Classification, Cladistics, and Natural History of Native North American Harpalus Latreille (Insecta: Coleoptera: Carabidae: Harpalini), excluding subgenera Glanodes and Pseudophonus.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"ee0e5f07-9a4a-4c1c-b2bf-29ea78694c6f","STER_026.basePlot.bet","D10","STER","STER_026","2015-05-14","2015-05-28","2017-01-15","NEON.BET.D10.003136","AMALIT","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini","Amara","Amara","littoralis",,"Amara littoralis","Mannerheim","species",,"M",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"b2ec13aa-0693-4ae5-8ded-c08130511b9b","STER_026.basePlot.bet","D10","STER","STER_026","2015-05-14","2015-05-28","2017-01-15","NEON.BET.D10.003141","HARREV","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Harpalus","Opadius","reversus",,"Harpalus reversus","Casey","species",,"F",,"Noonan, G. R. 1991. Classification, Cladistics, and Natural History of Native North American Harpalus Latreille (Insecta: Coleoptera: Carabidae: Harpalini), excluding subgenera Glanodes and Pseudophonus.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"64e495f7-00f6-40b3-87af-c236ebf7ad87","STER_026.basePlot.bet","D10","STER","STER_026","2015-05-14","2015-05-28","2017-01-15","NEON.BET.D10.003139","STECOM","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Stenolophus","Agonoderus","comma",,"Stenolophus comma","Fabricius","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"95f03e03-fa60-466d-a993-2016251f6f0d","STER_026.basePlot.bet","D10","STER","STER_026","2015-05-14","2015-05-28","2017-01-15","NEON.BET.D10.003135","STECOM","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Stenolophus","Agonoderus","comma",,"Stenolophus comma","Fabricius","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"2357e4f7-f4dc-4702-bd1a-faf1693f436b","STER_026.basePlot.bet","D10","STER","STER_026","2015-05-14","2015-05-28","2017-01-15","NEON.BET.D10.003124","HARAMP","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Harpalus","Harpalus","amputatus","amputatus","Harpalus amputatus amputatus","Say","subspecies",,"F",,"Noonan, G. R. 1991. Classification, Cladistics, and Natural History of Native North American Harpalus Latreille (Insecta: Coleoptera: Carabidae: Harpalini), excluding subgenera Glanodes and Pseudophonus.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"d00b95c7-da47-416e-9dcf-90074f3052cd","STER_026.basePlot.bet","D10","STER","STER_026","2015-05-14","2015-05-28","2017-01-15","NEON.BET.D10.003140","ANICAR2","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Anisodactylus","Anisodactylus","carbonarius",,"Anisodactylus carbonarius","Say","species",,"M",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"2ba26df2-ab1b-4995-93bc-85b9d0e021a1","STER_026.basePlot.bet","D10","STER","STER_026","2015-05-14","2015-05-28","2017-01-15","NEON.BET.D10.003162","AMALIT","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Zabrini","Amara","Amara","littoralis",,"Amara littoralis","Mannerheim","species",,"M",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
