uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,processingDate,subsampleIDList,archiveVialID,scientificName,recordedBy,remarks
"16a0b70b-3d0f-4b88-8eb5-03b7e05177e1","STER_029.basePlot.bet","D10","STER","STER_029","2015-06-25","2015-07-09","2016-05-31","KK2q9nxeS93FDA0MneZic8tRExzMGdoaBYYHN0F1w/WpOxGUbktR52zbnyVFFCg//ycNHkhMoGOzTDlJkvYKgQ==","KK2q9nxeS93QC6fSk9q/93sv7/zyDDHv94Kiwbq9BEk=","Cyclotrachelus torvus",,
"049a470d-4a19-4f65-acd7-a62686a6b906","STER_006.basePlot.bet","D10","STER","STER_006","2015-06-25","2015-07-09","2016-05-19","LZ9IDatJ8HHjiyVN6evxrVagaAP75iaxj09SPdDvyHW7D5Jozrv0x9AvhhfIJeG3GMZJk8rmuvU/vpHeeQtOyBvHAeJYLqdZdRAfThYoHsm8U9bFyyA2IKSPv0zNRiB3NlIOFmSgJbOnOmC5G3ZYhviFz1BGwLN4","LZ9IDatJ8HG4I5IOx7OH7jukAl0sqPC/dnZcJUinmIA=","Cyclotrachelus torvus",,
"25d4094f-0aa8-4ffb-9bc1-c66b9669310b","STER_035.basePlot.bet","D10","STER","STER_035","2015-06-25","2015-07-09","2016-05-20","xZ4ZeMJQZ4K09dkdpMTitez7LPGq2XgXSzgA8BQ8P0EhjcwG0R1kaeAi+CzBgaytq7MQfuGyI9RRT72SvgoBIg==","xZ4ZeMJQZ4Iz6alYCfpLij9R0w0FmR9a+In9KIQY/14=","Harpalus pensylvanicus",,
"fd71ecef-040e-4043-bf57-c9f374eef943","STER_027.basePlot.bet","D10","STER","STER_027","2015-06-25","2015-07-09","2016-05-23","FuEDHNSxWAmWrmLbNUzIvrUPsQymvtmKCzCutnyVFPuLzEdb2TOA5bZrkylzeU1KhDy1RVn3Zw6ZCETpl3Wwwz4myEL6vdEHkgwttipdQKM9BJdNmnDSNpiMw/0H0WCxnhJbEeW77WQAd+S6+vrcu/yYh0d1zmHynmR3SRTzrkM=","FuEDHNSxWAlv55c3b+DDmH2t12y7YE16B835R0r++SI=","Harpalus amputatus",,
"c95bb4ca-c35e-497f-b446-459568a36ea8","STER_034.basePlot.bet","D10","STER","STER_034","2015-06-25","2015-07-09","2016-05-20","v+COazD1kvwIIXCw6IwhNGA50GgdZN1TeLn7ZKuFmsPQcfGla1H4rv2fk4vW1tGupZwTPj7uYTBQ0CCaJyUeQM7hziWrLZvSlsl1q0MQdFt0M4gPPpU7m+neAxVUO+oh+MEwKDzXyn6X6jGAx/+8v1yCePqZArmv","v+COazD1kvzST/Xbq6F25RlEhMtpgj2I4fhAy4Ahjk8=","Harpalus pensylvanicus",,
"e6dc8527-cb80-4319-8464-eb8bc17bc677","STER_033.basePlot.bet","D10","STER","STER_033","2015-06-25","2015-07-09","2016-05-20","Yx5jJOWNohJ9UeEO/58nQWE/dzTi4FW1n9W+YuZ9IlZvuKJL5CHsHWbxJuy8Bw/M8wsXXwiAfX/4T54kNK+fHr1JRxSRUpq98EF+s4T3DEyJw2PG9z7R4BW8EdLlspVEIajKS7ybsjB4Oh14Yw2G2aAYHI/arsnS","Yx5jJOWNohKGbMr5Rudr4K7fRaRZS2tDPvu8UJmGyzQ=","Pasimachus elongatus",,
"b2fe1e6b-bfc0-40ad-a669-922c3348164e","STER_027.basePlot.bet","D10","STER","STER_027","2015-06-25","2015-07-09","2016-05-31","FuEDHNSxWAkxuVx1PLMd6XEAKZBwbci+JUGDJUoV5zCkfEzKz+rYbNuV7tzCI6ck8SmadRKUwBNWATVTnZMdX5zmcNwEqf6JUAzBiLfxp3YhUa44GbfSxu9r5Xcl+1+vbBBci/kmbq0g7IkExVyW/c3clZ9WkQqq","FuEDHNSxWAlv55c3b+DDmJYwvAtYDrBV2a7L/noDXUw=","Harpalus pensylvanicus",,
"c9ec75d5-7f08-49ed-9d8b-dcb982cbcffe","STER_029.basePlot.bet","D10","STER","STER_029","2015-06-25","2015-07-09","2016-05-31","KK2q9nxeS90FRNuI4zBTGSZVJW2pkY9/n+HFypUmZNgiPF7POUEhlV3CBwgW2BH3aYeHrv/UsQiZg0Ak266u6igcqSoXY0gqCwGVKMLcpD1fdY/ib4+g+pMFJ/eD8O3l","KK2q9nxeS93QC6fSk9q/9/Gd5xXI1fGaNMYtjV3yKKo=","Pasimachus elongatus",,
"e4a74104-11c1-4516-8dfe-41cb627cdf2b","STER_031.basePlot.bet","D10","STER","STER_031","2015-06-25","2015-07-09","2016-05-20","1mQK2LOpYfvvUmtqQgOjfEaR94iNDhYZLD/3acg40ozqL4ZzrH7WE+qdhYax2bL44uYrU0vbQD7toZmOkExpXw==","1mQK2LOpYftAGBelrvnEF0r0RfQ4dqdLhRJMHPIcbUM=","Pasimachus elongatus",,
"8902dbca-a6b3-485f-b322-e76bb3103cee","STER_034.basePlot.bet","D10","STER","STER_034","2015-06-25","2015-07-09","2015-10-15","v+COazD1kvxYBwr6bCnmqeawwU4bqV5i4x69517Ftn+anZvCI12thCSGoywr9Wt8IVGEoqEtiL9CMPLnPgCBRFEAo4qt7OtzBEw2Y6fUdWyKw8QZ1U3OXVXgD536j7twnRxwIULosN0=","v+COazD1kvzST/Xbq6F25S1Iav4QOwMq",,,
