uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"6498dd2e-a770-45ed-86df-040a6e5c1c65","STER_026.basePlot.bet","D10","STER","STER_026","E","2016-05-26","2016-06-09","2016-06-10","2016-06-13",,"STER_026.E.20160609","B74IC5C471rjhSH6661BkxSQCrUlU940NsllpeekWvQ=","invert bycatch",,,,,,,,,,"1dFEKNySUBNuq4xEVAo4quQhHklgSxBG",
"beff1294-a6ff-4cd5-be5e-b37f9baac2d8","STER_032.basePlot.bet","D10","STER","STER_032","E","2016-05-26","2016-06-09","2016-06-10","2016-06-10",,"STER_032.E.20160609","fEa5yf30aQzicgq9P0mTtgajt53hkYUzAjzJEntj5n4=","invert bycatch",,,,,,,,,,"b5Bt2/WAcobZn6HG5BJ0XugSCqR8u1Uj4+iyEzptoVg=",
"6889d871-9aca-4907-945f-129e3e13cbe6","STER_029.basePlot.bet","D10","STER","STER_029","E","2016-05-26","2016-06-09","2016-06-10","2016-06-16",,"STER_029.E.20160609","KK2q9nxeS92e3IMlBRZxExGnNKEjhQ4qOWFqB0OgExo=","invert bycatch",,,,,,,,,,"b5Bt2/WAcobZn6HG5BJ0XugSCqR8u1Uj4+iyEzptoVg=",
"a58f9525-b8d8-4a7d-93b0-5e922f2fccc1","STER_029.basePlot.bet","D10","STER","STER_029","E","2016-05-26","2016-06-09","2016-06-10","2016-06-16",,"STER_029.E.20160609","KK2q9nxeS92e3IMlBRZxExGnNKEjhQ4qDn01qMQgxds=","invert bycatch",,,,,,,,,,"b5Bt2/WAcobZn6HG5BJ0XugSCqR8u1Uj4+iyEzptoVg=",
"256de991-fc74-4e68-b4b1-f8337bd57c86","STER_033.basePlot.bet","D10","STER","STER_033","E","2016-05-26","2016-06-09","2016-06-10","2016-06-10",,"STER_033.E.20160609","Yx5jJOWNohKdpe2cMom7TgSww2gfV6qcxka6rnFD0xA=","invert bycatch",,,,,,,,,,"1dFEKNySUBNuq4xEVAo4quQhHklgSxBG",
"053fb9c9-c1d1-478e-93d7-7fd38e981d8a","STER_031.basePlot.bet","D10","STER","STER_031","E","2016-05-26","2016-06-09","2016-06-10","2016-06-15",,"STER_031.E.20160609","1mQK2LOpYfvrwO7dlxcIOitEXhcxOCUqi75u0JmunRA=","invert bycatch",,,,,,,,,,"2lRMQQ1w1tjxtWhGz93Yd/OOt4CTCGT1",
"4675fe8f-2eca-42e3-bfce-86d801b6983f","STER_034.basePlot.bet","D10","STER","STER_034","E","2016-05-26","2016-06-09","2016-06-10","2016-06-10",,"STER_034.E.20160609","v+COazD1kvzKZOS2FQGo8/2YJZcnB5qjitsY90gPPyo=","invert bycatch",,,,,,,,,,"1dFEKNySUBNuq4xEVAo4quQhHklgSxBG",
"47754701-6cf0-4278-b8cb-ba6d6e0055b8","STER_029.basePlot.bet","D10","STER","STER_029","E","2016-05-26","2016-06-09","2016-06-10","2016-06-16",,"STER_029.E.20160609","KK2q9nxeS92e3IMlBRZxExGnNKEjhQ4qxzu+2aOa9S4=","invert bycatch",,,,,,,,,,"b5Bt2/WAcobZn6HG5BJ0XugSCqR8u1Uj4+iyEzptoVg=",
"683bd285-fff2-4df5-b838-dab82e676f49","STER_027.basePlot.bet","D10","STER","STER_027","E","2016-05-26","2016-06-09","2016-06-10","2016-06-13",,"STER_027.E.20160609","FuEDHNSxWAmc/15Wxuckn3FvEX9Fmtwjwko8WbCJMSI=","invert bycatch",,,,,,,,,,"b5Bt2/WAcobZn6HG5BJ0XugSCqR8u1Uj4+iyEzptoVg=",
"d11d88cd-9bea-4c03-bc03-a7953219b85d","STER_006.basePlot.bet","D10","STER","STER_006","E","2016-05-26","2016-06-09","2016-06-10","2016-06-10",,"STER_006.E.20160609","LZ9IDatJ8HFDXTtW0gMi2d4A9SAWI1rgWd9WaDlLIJk=","invert bycatch",,,,,,,,,,"b5Bt2/WAcobZn6HG5BJ0XugSCqR8u1Uj4+iyEzptoVg=",
