uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"915963d7-b633-4bfe-8090-e4de9cc39658","CLBJ_031.basePlot.bet","D11","CLBJ","CLBJ_031","S","distributed","grasslandHerbaceous",33.375278,-97.595151,"WGS84",20.1,293.6,0.1,"2016-05-25","2016-06-08","CLBJ.2016.23",14,"Y","CLBJ_031.S.20160608","Ok","Ok","High","NEON.DOC.014050vH","won/tyUsFjCjTGqHBmGD3e54PFu+l8CW",
"cd379cb0-c9f9-430a-9ad6-b2306d2ebf35","CLBJ_036.basePlot.bet","D11","CLBJ","CLBJ_036","S","distributed","grasslandHerbaceous",33.397578,-97.579950,"WGS84",20.1,289.1,0.1,"2016-05-25","2016-06-08","CLBJ.2016.23",14,"Y","CLBJ_036.S.20160608","Ok","Ok","Ok","NEON.DOC.014050vH","aXs/ZRwW+FWhGXenomdsT5DtktFsPUur",
"55664149-8965-45aa-8bb1-35ee67bf5d54","CLBJ_038.basePlot.bet","D11","CLBJ","CLBJ_038","S","distributed","deciduousForest",33.414259,-97.597098,"WGS84",20.1,282.2,0.1,"2016-05-25","2016-06-08","CLBJ.2016.23",14,"Y","CLBJ_038.S.20160608","Ok","Ok","Ok","NEON.DOC.014050vH","aXs/ZRwW+FWhGXenomdsT5DtktFsPUur",
"8cba9750-ae13-4ded-9982-bc56d17fd8b6","CLBJ_040.basePlot.bet","D11","CLBJ","CLBJ_040","S","distributed","deciduousForest",33.378824,-97.646691,"WGS84",20.1,331.6,0.1,"2016-05-25","2016-06-08","CLBJ.2016.23",14,"Y","CLBJ_040.S.20160608","Ok","Ok","Ok","NEON.DOC.014050vH","aXs/ZRwW+FWhGXenomdsT5DtktFsPUur",
"3dea88ed-cb48-4f90-a571-da5c86df51e5","CLBJ_032.basePlot.bet","D11","CLBJ","CLBJ_032","S","distributed","grasslandHerbaceous",33.406134,-97.593996,"WGS84",20.1,291.0,0.1,"2016-05-25","2016-06-08","CLBJ.2016.23",14,"Y","CLBJ_032.S.20160608","Ok","Ok","Ok","NEON.DOC.014050vH","aXs/ZRwW+FWhGXenomdsT5DtktFsPUur",
"83361cb2-5f8b-4f12-9ad7-48c174fbf485","CLBJ_043.basePlot.bet","D11","CLBJ","CLBJ_043","S","distributed","deciduousForest",33.409931,-97.595224,"WGS84",20.1,282.9,0.1,"2016-05-25","2016-06-08","CLBJ.2016.23",14,"Y","CLBJ_043.S.20160608","Ok","Ok","Ok","NEON.DOC.014050vH","aXs/ZRwW+FWhGXenomdsT5DtktFsPUur","vertebrate bycatch"
"2cfaab40-ee11-4bb1-8228-a73a8bad40ae","CLBJ_035.basePlot.bet","D11","CLBJ","CLBJ_035","W","distributed","grasslandHerbaceous",33.329927,-97.579437,"WGS84",20.1,307.7,0.1,"2016-05-25","2016-06-08","CLBJ.2016.23",14,"Y","CLBJ_035.W.20160608","Ok","Ok","High","NEON.DOC.014050vH","won/tyUsFjCjTGqHBmGD3e54PFu+l8CW",
"1a611fbb-9be1-4383-a110-9fdc67fa1520","CLBJ_033.basePlot.bet","D11","CLBJ","CLBJ_033","W","distributed","deciduousForest",33.380971,-97.620210,"WGS84",20.1,309.8,0.1,"2016-05-25","2016-06-08","CLBJ.2016.23",14,"Y","CLBJ_033.W.20160608","Ok","Ok","Ok","NEON.DOC.014050vH","won/tyUsFjCjTGqHBmGD3e54PFu+l8CW",
"02b2ef6b-19e8-4e2e-93ac-9921bd33a1c8","CLBJ_034.basePlot.bet","D11","CLBJ","CLBJ_034","W","distributed","grasslandHerbaceous",33.321251,-97.577650,"WGS84",20.0,324.0,0.0,"2016-05-25","2016-06-08","CLBJ.2016.23",14,"N",,"Disturbed","Disturbed",,"NEON.DOC.014050vH","won/tyUsFjCjTGqHBmGD3e54PFu+l8CW","Entire trap disturbed| cups removed"
"f7acc645-1068-4a92-9b8e-39cfb4551531","CLBJ_042.basePlot.bet","D11","CLBJ","CLBJ_042","W","distributed","deciduousForest",33.371534,-97.597793,"WGS84",20.1,311.9,0.1,"2016-05-25","2016-06-08","CLBJ.2016.23",14,"Y","CLBJ_042.W.20160608","Ok","Ok","Ok","NEON.DOC.014050vH","won/tyUsFjCjTGqHBmGD3e54PFu+l8CW",
