uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,processingDate,subsampleIDList,archiveVialID,scientificName,recordedBy,remarks
"a4fb4782-bbe4-41cb-addf-768810e4885e","CLBJ_033.basePlot.bet","D11","CLBJ","CLBJ_033","2016-06-22","2016-07-06","2016-08-29","kZR0BRK/FhoHwq+bdocIufUDFOVjw1nWYyd4zs4P97EsdiMbeOjCkrTF2aUyPRAU8NrsLU4kCSNpYVdT2XL88OV02HEYME9uZhaoIQPWhLl3IjpwO65KmAw3FSDDkFwB5AvADhHjPn0=","kZR0BRK/FhpiZpnmQDHZEAnRCdVrARyF",,,
"6cd38413-d2e8-4fa0-89ba-d1c56f0e9980","CLBJ_038.basePlot.bet","D11","CLBJ","CLBJ_038","2016-06-22","2016-07-06","2016-08-24","x3xm8g0b1leQEC9rYeuysnerDio/BtuYTkCfGF95lnqol5Ibfx/Hcdz0Av6lhfE9jqx9pAxUD3afkcs06u0RMPb2WsLHQHK2wx+azQq+35Mbv8uerdA17mf3FKH1kxx2f7S8Nx3BqAE=","x3xm8g0b1lccPlTVHDEkezF4laUO62Kd",,,
"74e68a10-a0b7-45b0-b078-864f97c50ae0","CLBJ_031.basePlot.bet","D11","CLBJ","CLBJ_031","2016-06-22","2016-07-06","2016-08-24","ojYfGQrcWmZk2uuCjrJYUVMOkMm4PDhqk3iAL255KcUOXrDs/mkmYkNoRg7zQt06TuejRNfhEPi25Copb62mqsPjpWwHB30LlioJM69kjdyd5846Y/W1JsnW8IS6XZ7fEqtTsApvkfQ=","ojYfGQrcWmYVRFn0+MAqtB6nuum4XeoV",,,
"579b2a97-64f8-43a4-ad40-d7832516ac03","CLBJ_040.basePlot.bet","D11","CLBJ","CLBJ_040","2016-06-22","2016-07-06","2016-08-24","6YaHK0jY0CLWMX0cR0Zbrn2vi+FVYvYII7ne7sz8fnTa2Tx50IkFWJhMf/KLvOVV0JclWeBwJMPgIPAYkpCLNj1O7FJiVCdsYnLx8vZBv1WNTDjt3zTz1sBL326neHXorp9XG8ta03s=","6YaHK0jY0CLPcj7V9P2YQuImRnP9jS6R",,,
"431dfcca-d762-478f-9fab-4c9dd53832a0","CLBJ_043.basePlot.bet","D11","CLBJ","CLBJ_043","2016-06-22","2016-07-06","2016-08-24","J8ALUpx9awgO/VAZU1pzTySXe/iPM2p/cGqRRGIOvHQSzKPQfP0Lp7ROWrMDySStLptjEpJ7wTu1ptbacNspwXxIkvkKFf/CIvdm+O/m/EkIaTGua4IBulU6U1xjK30K3Dp6ZnTIrts=","J8ALUpx9awgL9w1q8ugGOfjP29qNOTew",,,
"1c9ab07d-075a-416b-8aa7-64e108f6cf6d","CLBJ_042.basePlot.bet","D11","CLBJ","CLBJ_042","2016-06-22","2016-07-06","2016-08-24","qwL7uhe5GKCVesH1PzQp+mlnEcZ6+IMTgY+z0b3BaJ2erb8/qUO4BJzF0ANKQ56l3owqv8HQ2223OE66CcY73c1zs9i1Hyo5WSJHyU3Kte9oPPKYxAHHmNxsCd2w9QuqFNmNEL90m78=","qwL7uhe5GKCCnfNksYU72iNq9BGd6hRI",,,
"043ec9b2-45a1-4867-acb8-87122e57c148","CLBJ_036.basePlot.bet","D11","CLBJ","CLBJ_036","2016-06-22","2016-07-06","2016-08-23","6ZE4Zv6Y4M4ER4HCm1ywHpyuI56xj33DClkKm4YYC9I5NEmIPs0Urp7eJtU5DDlUnUl1sX2baGFRC0c5KEzRYY90mno+KkWZNyaekZiTIBxk2GaZthPu4BZsziQfYMgJYxr5WPJLPVA=","6ZE4Zv6Y4M49pedDyBlMnZi5Yq7n+CcV",,,
"7c8b9dee-6d32-4fd0-8209-f297fc864636","CLBJ_034.basePlot.bet","D11","CLBJ","CLBJ_034","2016-06-22","2016-07-06","2016-08-24","x+fA8cYcsPT/ckZztn3oIkkqucJqxV8jEsaAxSo6PgyN7whY+8YhxFUj1XmPlV5zcdrVoU6/csjXAEuSt3c8HToVhu4zCNAgZCLmzm5voFbyQUBs88IEqbp8cuG68bYxOn9ig7Glz/E=","x+fA8cYcsPS4OUxfwctcBv4yGNJW/Ocw",,,
"679e1d14-7961-4591-9eff-72c3ffc76be7","CLBJ_032.basePlot.bet","D11","CLBJ","CLBJ_032","2016-06-22","2016-07-06","2016-08-29","PX5y8KDN7PP+YTNzzMXKN+Jj60zcGXFh6AvOaMqC34OlRFtxhMvPGmoic5tdmPRG5dWLUV+OijrBmvfY/GrXxerqcAXJT+NYtQWJBCRhLZjspE9o7TZXdfpIBmh6j0qs/Fv8o0ZtksE=","PX5y8KDN7PMtxPzhs9D4wm0b5jNV3sbu",,,
"23be261a-a035-406a-87bf-f527dcad9a9c","CLBJ_034.basePlot.bet","D11","CLBJ","CLBJ_034","2016-07-06","2016-07-20","2016-09-23","x+fA8cYcsPQT8sKrW3qELM5cJXXYrONuUGV1M0GYEHf39T1jEmu7HZyb6WVTLvLG9Uq4eib0iGxr2xNYaJpRRmgOlmCYGhZd3SOTh1pgjySffSIjV9cJse1acHO7eGImdAolwJ+jrvA=","x+fA8cYcsPTWrRuHpjinWVUDnb23uclM",,,
