uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"187a2d65-613b-4ac4-b4fd-89225f9a2ab5","CLBJ_033.basePlot.bet","D11","CLBJ","CLBJ_033","E","2016-07-20","2016-08-03","2016-08-04","2016-09-08",,"CLBJ_033.E.20160803","kZR0BRK/Fhpg864iJnobBF126jgePWEf+6+PdS8tzhc=","invert bycatch",,,,,,,,,,"PsLnmpPmNN39ZKFdVvs9k01kkZNXxB252srGexy9GKw=",
"4165f794-d248-4c43-8ff6-894e29b396e5","CLBJ_034.basePlot.bet","D11","CLBJ","CLBJ_034","E","2016-07-20","2016-08-03","2016-08-04","2016-09-13",,"CLBJ_034.E.20160803","x+fA8cYcsPSUx39ng370GCaPD/GME+4+kl2/pOhG5Ug=","invert bycatch",,,,,,,,,,"T48ujIthpoFxVaqhIzGBiC3cbejXuGly",
"f67a233c-7df1-4a32-88cf-b15d2681bc7a","CLBJ_032.basePlot.bet","D11","CLBJ","CLBJ_032","W","2016-07-20","2016-08-03","2016-08-04","2016-09-19",,"CLBJ_032.W.20160803","PX5y8KDN7PP4AW8lBmMmyLnwK/Sk7vSS70LJuLt6PZg=","invert bycatch",,,,,,,,,,"PsLnmpPmNN39ZKFdVvs9k01kkZNXxB252srGexy9GKw=",
"403addbf-9c34-427b-80c5-62f7f749d801","CLBJ_040.basePlot.bet","D11","CLBJ","CLBJ_040","W","2016-07-20","2016-08-03","2016-08-04","2016-09-19",,"CLBJ_040.W.20160803","6YaHK0jY0CLWMX0cR0ZbrohdQx+DMdJpsOXtKf+8oFc=","invert bycatch",,,,,,,,,,"PsLnmpPmNN39ZKFdVvs9k01kkZNXxB252srGexy9GKw=",
"9d46ba08-cdda-458d-b2e0-f9918de0dd3b","CLBJ_036.basePlot.bet","D11","CLBJ","CLBJ_036","W","2016-07-20","2016-08-03","2016-08-04","2016-09-19",,"CLBJ_036.W.20160803","6ZE4Zv6Y4M7Q6q9U7ri/OQwTU9nA+UfGRqsvjCCYZXs=","invert bycatch",,,,,,,,,,"PsLnmpPmNN39ZKFdVvs9k01kkZNXxB252srGexy9GKw=",
"612b8e09-8385-4a46-9182-87d9c05bfbfc","CLBJ_040.basePlot.bet","D11","CLBJ","CLBJ_040","W","2016-07-20","2016-08-03","2016-08-04","2016-08-04","2016-08-04","CLBJ_040.W.20160803","6YaHK0jY0CLWMX0cR0ZbrlIvptqizIHr81JCtlKndNw=","vert bycatch herp","GASOLI","Gastrophryne olivacea","species",,"Hallowell",,1,"Other","cJ8Mt89MTxlqOnAc6pDp/DoDhz6eIepx","cJ8Mt89MTxlqOnAc6pDp/DoDhz6eIepx",
"1338e917-73a8-4da4-bdc9-b4b68435b63b","CLBJ_042.basePlot.bet","D11","CLBJ","CLBJ_042","W","2016-07-20","2016-08-03","2016-08-04","2016-09-07",,"CLBJ_042.W.20160803","qwL7uhe5GKCVesH1PzQp+pyS0i3EJsWqlrzdOzxAzP8=","invert bycatch",,,,,,,,,,"jrpOJzTntmXy0Hq0KXCTNE1a7gqPknkI",
"10c7fe95-9f13-477d-872b-346286eb3ab1","CLBJ_035.basePlot.bet","D11","CLBJ","CLBJ_035","W","2016-07-20","2016-08-03","2016-08-04","2016-09-19",,"CLBJ_035.W.20160803","rZuEERUIQd+IKGo1Xho3h8ghgKFml/hmfhXsm6re8bQ=","invert bycatch",,,,,,,,,,"PsLnmpPmNN39ZKFdVvs9k01kkZNXxB252srGexy9GKw=",
"32bb5942-4281-410a-99fc-92c4deeb9505","CLBJ_043.basePlot.bet","D11","CLBJ","CLBJ_043","W","2016-07-20","2016-08-03","2016-08-04","2016-09-19",,"CLBJ_043.W.20160803","J8ALUpx9awjgboyBQnNc8XLmWNnwB5nHriIad8pS6sM=","invert bycatch",,,,,,,,,,"PsLnmpPmNN39ZKFdVvs9k01kkZNXxB252srGexy9GKw=",
"08ebc472-2e51-4231-a784-a35796b71a96","CLBJ_042.basePlot.bet","D11","CLBJ","CLBJ_042","E","2016-07-20","2016-08-03","2016-08-04","2016-09-07",,"CLBJ_042.E.20160803","qwL7uhe5GKBCm+2fnqpo+p5RkYBdJjDxF4wwtqyVs7U=","invert bycatch",,,,,,,,,,"jrpOJzTntmXy0Hq0KXCTNE1a7gqPknkI",
"7b254a66-137d-4d44-a6ab-ed151ddf271c","CLBJ_036.basePlot.bet","D11","CLBJ","CLBJ_036","E","2016-07-20","2016-08-03","2016-08-04","2016-09-19",,"CLBJ_036.E.20160803","6ZE4Zv6Y4M4ER4HCm1ywHkwPVZnrJRu9S8Rt6ozVb14=","invert bycatch",,,,,,,,,,"PsLnmpPmNN39ZKFdVvs9k01kkZNXxB252srGexy9GKw=",
"768c7b60-3826-4f15-a3cf-97b3ef069f5b","CLBJ_043.basePlot.bet","D11","CLBJ","CLBJ_043","E","2016-07-20","2016-08-03","2016-08-04","2016-09-19",,"CLBJ_043.E.20160803","J8ALUpx9awgT29QYOSNUJ3ateRSy6J2YWlXaU+EM4n0=","invert bycatch",,,,,,,,,,"PsLnmpPmNN39ZKFdVvs9k01kkZNXxB252srGexy9GKw=",
"bfd9faaa-976c-4c0a-b0d2-ff3ab8cf0dbf","CLBJ_032.basePlot.bet","D11","CLBJ","CLBJ_032","E","2016-07-20","2016-08-03","2016-08-04","2016-09-19",,"CLBJ_032.E.20160803","PX5y8KDN7PNoxH5EkoBDKM5BAolEKzAPr9VXFYHD2GI=","invert bycatch",,,,,,,,,,"PsLnmpPmNN39ZKFdVvs9k01kkZNXxB252srGexy9GKw=",
"75f3b5b5-261d-4c60-8ab6-43fbfa60c939","CLBJ_040.basePlot.bet","D11","CLBJ","CLBJ_040","E","2016-07-20","2016-08-03","2016-08-04","2016-09-19",,"CLBJ_040.E.20160803","6YaHK0jY0CKp8imIss6UF48xpzor6Y+56gQHa8iwrNU=","invert bycatch",,,,,,,,,,"PsLnmpPmNN39ZKFdVvs9k01kkZNXxB252srGexy9GKw=",
"932cc883-e980-4978-9130-2ff7f55996aa","CLBJ_035.basePlot.bet","D11","CLBJ","CLBJ_035","E","2016-07-20","2016-08-03","2016-08-04","2016-09-19",,"CLBJ_035.E.20160803","rZuEERUIQd9tbX3GmU9vUjrWDk6ocxcpWzdTJiC5NYw=","invert bycatch",,,,,,,,,,"PsLnmpPmNN39ZKFdVvs9k01kkZNXxB252srGexy9GKw=",
