uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"2825afc9-5802-4cce-99a2-85cc7ca1644a","OAES_003.basePlot.bet","D11","OAES","OAES_003","E","2015-04-14","2015-04-28","2015-04-29","2015-06-03","2015-12-31","OAES_003.E.20150428","JY1K16SHr/zEfsjUb84kZs8T2pW36BqO7U0neLysbKc=","carabid","SELPED","Selenophorus pedicularius","species","cf. species","Dejean",,2,"Horn, G. H. 1883. Synopsis of the species of the tribe Lebiini. Transactions of the American Entomological Society and Proceedings of the Entomological Section of the Academy of Natural Sciences 10:126-164.","K015xPfLfah4eO1uZLmE3FLLe6b3pcen","zqzI6VPGJkqKrnUdkEIpiHhaRLZfA7fK",
"c680a248-abbe-4daa-8912-ae8385bfc73e","OAES_003.basePlot.bet","D11","OAES","OAES_003","E","2015-04-14","2015-04-28","2015-04-29","2015-06-03","2015-12-15","OAES_003.E.20150428","JY1K16SHr/zEfsjUb84kZuiwFHakydctltoV7zVaOJE=","carabid","BEMRAP","Bembidion rapidum","species","cf. species","LeConte",,1,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","K015xPfLfah4eO1uZLmE3FLLe6b3pcen","zqzI6VPGJkqKrnUdkEIpiHhaRLZfA7fK",
"766f611a-24d4-4a30-b64a-fb8dea83537c","OAES_004.basePlot.bet","D11","OAES","OAES_004","E","2015-04-14","2015-04-28","2015-04-29","2015-06-03","2015-11-18","OAES_004.E.20150428","FpFkKsaMuAAmR2voWj6A2PGciIhqt5Xka2qMskxWlr4=","carabid","PASCAL","Pasimachus californicus","species",,"Chaudoir",,2,"Purrington, F., and C. J. Drake. 2005. A key to adult Nearctic Pasimachus (Pasimachus) Bonelli (Coleoptera: Carabidae: Scaritini), with comments on their functional mouthpart morphology. Entomological News 116:253-262.","zqzI6VPGJkqKrnUdkEIpiHhaRLZfA7fK","zqzI6VPGJkqKrnUdkEIpiHhaRLZfA7fK",
"c70d4b0d-dc46-40d8-9ffe-dd97de03c2a2","OAES_002.basePlot.bet","D11","OAES","OAES_002","E","2015-04-14","2015-04-28","2015-04-29","2015-06-08","2015-11-23","OAES_002.E.20150428","DJFzCWJFd2iZPfG0eEimXSLsaFH/SimqNWosZQXuGWc=","carabid","PASELO","Pasimachus elongatus","species",,"LeConte",,1,"Purrington, F., and C. J. Drake. 2005. A key to adult Nearctic Pasimachus (Pasimachus) Bonelli (Coleoptera: Carabidae: Scaritini), with comments on their functional mouthpart morphology. Entomological News 116:253-262.","zqzI6VPGJkqKrnUdkEIpiHhaRLZfA7fK","K015xPfLfah4eO1uZLmE3FLLe6b3pcen",
"3ae37aee-c4f5-4c1a-b2fc-8da2649fea14","OAES_002.basePlot.bet","D11","OAES","OAES_002","E","2015-04-14","2015-04-28","2015-04-29","2015-06-08","2015-12-16","OAES_002.E.20150428","DJFzCWJFd2iZPfG0eEimXR1QeZElAR/+ObctTaTkr5M=","carabid","AMARUB","Amara rubrica","species","cf. species","Haldeman",,1,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","K015xPfLfah4eO1uZLmE3FLLe6b3pcen","K015xPfLfah4eO1uZLmE3FLLe6b3pcen",
"ca346ca7-a7d4-49c9-bae0-b740f03d9ffb","OAES_005.basePlot.bet","D11","OAES","OAES_005","E","2015-04-14","2015-04-28","2015-04-29","2015-06-04","2015-12-23","OAES_005.E.20150428","oszmWJzaoIuEWFCUlU907HLiby811csLkGC9nWEVKkc=","carabid","ANIRUS","Anisodactylus rusticus","species","cf. species","Say",,1,"Noonan, G. R. 1973. The Anisodactylines (Insecta: Coleoptera: Carabidae: Harpalini): classification, evolution and zoogeography. Quaestiones Entomologicae 9:266-480.","K015xPfLfah4eO1uZLmE3FLLe6b3pcen","zqzI6VPGJkqKrnUdkEIpiHhaRLZfA7fK",
"10a2ddad-db03-4b1f-a0f3-15a2f8bbffe9","OAES_005.basePlot.bet","D11","OAES","OAES_005","E","2015-04-14","2015-04-28","2015-04-29","2015-06-04",,"OAES_005.E.20150428","oszmWJzaoIuEWFCUlU907PZ7byIc1cKT43IgM6Fl6hE=","invert bycatch",,,,,,,,,,"zqzI6VPGJkqKrnUdkEIpiHhaRLZfA7fK",
"e4157f60-08f5-4760-88a6-a317d8b515ce","OAES_008.basePlot.bet","D11","OAES","OAES_008","E","2015-04-14","2015-04-28","2015-04-29","2015-06-18",,"OAES_008.E.20150428","BL2EGNvUCCOXVHT5+DpxdqcutJBdLr7Ox7HAO7UiFAw=","invert bycatch",,,,,,,,,,"n/e5H9DzKQmiwvmUmG2RGqatOQzXK2Fo1rbM7EummvE=",
"1668b574-8f3b-4695-a097-d2df0256b217","OAES_006.basePlot.bet","D11","OAES","OAES_006","E","2015-04-14","2015-04-28","2015-04-29","2015-06-04",,"OAES_006.E.20150428","mt2fHmHLlFmpuzgZy7qFxfAwS5WYVpqofx6c7vDtkic=","invert bycatch",,,,,,,,,,"cJ8Mt89MTxlqOnAc6pDp/DoDhz6eIepx",
"95275a62-2578-4b03-9086-3edd60a84ac1","OAES_021.basePlot.bet","D11","OAES","OAES_021","E","2015-04-14","2015-04-28","2015-04-29","2015-06-11",,"OAES_021.E.20150428","aFCS5Rk0Sdb4+ZGq3OneQmtceOXKXFk7jpBxXZR+yqU=","invert bycatch",,,,,,,,,,"zqzI6VPGJkqKrnUdkEIpiHhaRLZfA7fK",
