uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,identifiedDate,individualID,taxonID,kingdom,phylum,class,order,family,subfamily,tribe,genus,subgenus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,identificationQualifier,sex,morphospeciesID,identificationReferences,identifiedBy,laboratoryName,identificationRemarks,sampleCondition,dnaBarcoded,geneticSampleID,remarks
"6a536089-e952-42a8-ab76-403672ebdc79","OAES_002.basePlot.bet","D11","OAES","OAES_002","2015-07-21","2015-08-04","2017-01-15","NEON.BET.D11.000336","HARCAL","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Harpalus","Megapangus","caliginosus",,"Harpalus caliginosus","Fabricius","species",,"M",,"Will, K. W. 1997. Review of the species of the subgenus Megapangus Casey (Coeloptera: Carabidae, Harpalini, Harpalus Latreille). The Coleopterists Bulletin 51:43-51.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"0cd6ee7a-aad7-4bfc-992a-0c76134a1032","OAES_021.basePlot.bet","D11","OAES","OAES_021","2015-07-21","2015-08-04","2017-01-15","NEON.BET.D11.000334","HELFER","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Helluonini","Helluomorphoides",,"ferrugineus",,"Helluomorphoides ferrugineus","LeConte","species",,"M",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"287e964c-e914-45f9-b940-dfe5496bc26a","OAES_021.basePlot.bet","D11","OAES","OAES_021","2015-07-21","2015-08-04","2017-01-15","NEON.BET.D11.000330","HELFER","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Helluonini","Helluomorphoides",,"ferrugineus",,"Helluomorphoides ferrugineus","LeConte","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"0a381c8e-901f-4e37-8185-b7618a253872","OAES_005.basePlot.bet","D11","OAES","OAES_005","2015-07-21","2015-08-04","2017-01-15","NEON.BET.D11.000326","SELPED","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Selenophorus","Selenophorus","pedicularius",,"Selenophorus pedicularius","Dejean","species",,"F",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"66c85c3e-b294-4faa-96ce-f6669a43ef3f","OAES_003.basePlot.bet","D11","OAES","OAES_003","2015-07-21","2015-08-04","2017-01-15","NEON.BET.D11.000346","CHLTOM","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Chlaeniini","Chlaenius","Eurydactylus","tomentosus",,"Chlaenius tomentosus","Say","species",,"M",,"Bell, R. T. 1960. A Revision of the Genus Chlaenius Bonelli (Coleoptera, Carabidae) in North America. Miscellaneous Publications of the Entomological Society of America 1:98-166.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"0f44a720-3b4f-4b85-a979-ce7cc08ae9f3","OAES_007.basePlot.bet","D11","OAES","OAES_007","2015-07-21","2015-08-04","2017-01-15","NEON.BET.D11.000322","PASCAL","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Pasimachini","Pasimachus","Pasimachus","californicus",,"Pasimachus californicus","Chaudoir","species",,"F",,"Banninger, M. 1950. The subtribe Pasimachina (Coleoptera, Carabidae, Scaritini). Revista de Entomologica 21:481-511.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"e52680a9-c787-497f-b463-13e3b41f679a","OAES_001.basePlot.bet","D11","OAES","OAES_001","2015-07-21","2015-08-04","2017-01-15","NEON.BET.D11.000315","PASCAL","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Pasimachini","Pasimachus","Pasimachus","californicus",,"Pasimachus californicus","Chaudoir","species",,"F",,"Banninger, M. 1950. The subtribe Pasimachina (Coleoptera, Carabidae, Scaritini). Revista de Entomologica 21:481-511.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"e9f58aa7-fc21-49a7-ba22-accf465a951f","OAES_003.basePlot.bet","D11","OAES","OAES_003","2015-08-04","2015-08-18","2017-01-15","NEON.BET.D11.000391","PASCAL","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Pasimachini","Pasimachus","Pasimachus","californicus",,"Pasimachus californicus","Chaudoir","species",,"F",,"Banninger, M. 1950. The subtribe Pasimachina (Coleoptera, Carabidae, Scaritini). Revista de Entomologica 21:481-511.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"cf23d73f-0bd7-4200-b0b3-a6d3877b2a88","OAES_005.basePlot.bet","D11","OAES","OAES_005","2015-08-04","2015-08-18","2017-01-15","NEON.BET.D11.000394","PASCAL","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Scaritinae","Pasimachini","Pasimachus","Pasimachus","californicus",,"Pasimachus californicus","Chaudoir","species",,"F",,"Banninger, M. 1950. The subtribe Pasimachina (Coleoptera, Carabidae, Scaritini). Revista de Entomologica 21:481-511.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
"0d5cea65-7817-4d25-88f8-df695170a763","OAES_002.basePlot.bet","D11","OAES","OAES_002","2015-08-04","2015-08-18","2017-01-15","NEON.BET.D11.000358","CRADUB","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","Harpalinae","Harpalini","Cratacanthus",,"dubius",,"Cratacanthus dubius","Palisot de Beauvois","species",,"M",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","Kipling Will","Essig Museum of Entomology",,"No known compromise","N",,
