uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,identifiedDate,subsampleID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,totalLength,identifiedBy,recordedBy,remarks
"c9611bd9-6189-4253-8bda-e86c5745d5be","OAES_003.basePlot.bet","D11","OAES","OAES_003","E","2015-07-21","2015-08-04","2015-11-10","2015-12-04","JY1K16SHr/zEfsjUb84kZrjazdQXGyIhBV7CSTQT6EU=","NEON.BET.D11.000342","PASCAL","Pasimachus californicus","species",,"Chaudoir",,"Purrington, F., and C. J. Drake. 2005. A key to adult Nearctic Pasimachus (Pasimachus) Bonelli (Coleoptera: Carabidae: Scaritini), with comments on their functional mouthpart morphology. Entomological News 116:253-262.",,"K015xPfLfah4eO1uZLmE3FLLe6b3pcen","zqzI6VPGJkqKrnUdkEIpiHhaRLZfA7fK",
"d458ae29-583c-4372-985e-1aafc2206a05","OAES_003.basePlot.bet","D11","OAES","OAES_003","E","2015-07-21","2015-08-04","2015-11-10","2015-12-04","JY1K16SHr/zEfsjUb84kZrjazdQXGyIhBV7CSTQT6EU=","NEON.BET.D11.000344","PASCAL","Pasimachus californicus","species",,"Chaudoir",,"Purrington, F., and C. J. Drake. 2005. A key to adult Nearctic Pasimachus (Pasimachus) Bonelli (Coleoptera: Carabidae: Scaritini), with comments on their functional mouthpart morphology. Entomological News 116:253-262.",,"K015xPfLfah4eO1uZLmE3FLLe6b3pcen","zqzI6VPGJkqKrnUdkEIpiHhaRLZfA7fK",
"29fec285-f74d-41c8-9f7a-b53259ad5898","OAES_002.basePlot.bet","D11","OAES","OAES_002","E","2015-07-21","2015-08-04","2015-11-10","2015-12-04","DJFzCWJFd2iZPfG0eEimXXPJQaO3smKLnQM3DgProws=","NEON.BET.D11.000341","PASCAL","Pasimachus californicus","species",,"Chaudoir",,"Purrington, F., and C. J. Drake. 2005. A key to adult Nearctic Pasimachus (Pasimachus) Bonelli (Coleoptera: Carabidae: Scaritini), with comments on their functional mouthpart morphology. Entomological News 116:253-262.",,"K015xPfLfah4eO1uZLmE3FLLe6b3pcen","zqzI6VPGJkqKrnUdkEIpiHhaRLZfA7fK",
"26c5e405-18c9-4a3f-a187-4ff98e419ebf","OAES_009.basePlot.bet","D11","OAES","OAES_009","E","2015-07-21","2015-08-04","2015-11-10","2015-12-04","e+s5q3w8y7PBAYoNMaPuBs23wQOJ5Fy0icBb4H3Eg7s=","NEON.BET.D11.000353","PASCAL","Pasimachus californicus","species",,"Chaudoir",,"Purrington, F., and C. J. Drake. 2005. A key to adult Nearctic Pasimachus (Pasimachus) Bonelli (Coleoptera: Carabidae: Scaritini), with comments on their functional mouthpart morphology. Entomological News 116:253-262.",,"K015xPfLfah4eO1uZLmE3FLLe6b3pcen","zqzI6VPGJkqKrnUdkEIpiHhaRLZfA7fK",
"6164f7e5-4226-4fb1-95f2-31f4475e57be","OAES_009.basePlot.bet","D11","OAES","OAES_009","E","2015-07-21","2015-08-04","2015-11-10","2015-12-04","e+s5q3w8y7PBAYoNMaPuBs23wQOJ5Fy0icBb4H3Eg7s=","NEON.BET.D11.000351","PASCAL","Pasimachus californicus","species",,"Chaudoir",,"Purrington, F., and C. J. Drake. 2005. A key to adult Nearctic Pasimachus (Pasimachus) Bonelli (Coleoptera: Carabidae: Scaritini), with comments on their functional mouthpart morphology. Entomological News 116:253-262.",,"K015xPfLfah4eO1uZLmE3FLLe6b3pcen","zqzI6VPGJkqKrnUdkEIpiHhaRLZfA7fK",
"9c2e153d-f5db-4bf6-b1cc-eaee442c02ba","OAES_009.basePlot.bet","D11","OAES","OAES_009","E","2015-07-21","2015-08-04","2015-11-10","2015-12-04","e+s5q3w8y7PBAYoNMaPuBs23wQOJ5Fy0icBb4H3Eg7s=","NEON.BET.D11.000350","PASCAL","Pasimachus californicus","species",,"Chaudoir",,"Purrington, F., and C. J. Drake. 2005. A key to adult Nearctic Pasimachus (Pasimachus) Bonelli (Coleoptera: Carabidae: Scaritini), with comments on their functional mouthpart morphology. Entomological News 116:253-262.",,"K015xPfLfah4eO1uZLmE3FLLe6b3pcen","zqzI6VPGJkqKrnUdkEIpiHhaRLZfA7fK",
"8fbd3202-5e3e-4338-a410-e796ce8422f6","OAES_009.basePlot.bet","D11","OAES","OAES_009","E","2015-07-21","2015-08-04","2015-11-10","2015-12-04","e+s5q3w8y7PBAYoNMaPuBs23wQOJ5Fy0icBb4H3Eg7s=","NEON.BET.D11.000352","PASCAL","Pasimachus californicus","species",,"Chaudoir",,"Purrington, F., and C. J. Drake. 2005. A key to adult Nearctic Pasimachus (Pasimachus) Bonelli (Coleoptera: Carabidae: Scaritini), with comments on their functional mouthpart morphology. Entomological News 116:253-262.",,"K015xPfLfah4eO1uZLmE3FLLe6b3pcen","zqzI6VPGJkqKrnUdkEIpiHhaRLZfA7fK",
"5a846252-e8e4-4e6b-8827-c791dd5871d4","OAES_021.basePlot.bet","D11","OAES","OAES_021","E","2015-07-21","2015-08-04","2015-11-10","2015-12-04","aFCS5Rk0Sdb4+ZGq3OneQjtbWwTKyf0AvG/Xwrc/3Q4=","NEON.BET.D11.000329","PASCAL","Pasimachus californicus","species",,"Chaudoir",,"Other",,"K015xPfLfah4eO1uZLmE3FLLe6b3pcen","zqzI6VPGJkqKrnUdkEIpiHhaRLZfA7fK",
"2059404d-5990-43e0-a8a0-1ded4c2198b3","OAES_001.basePlot.bet","D11","OAES","OAES_001","E","2015-07-21","2015-08-04","2015-11-10","2015-12-04","Yz+fJngcyZ9Pq0SDV7LlkrtEaZIH6FBkSy8Mmyws3Cc=","NEON.BET.D11.000319","PASCAL","Pasimachus californicus","species",,"Chaudoir",,"Other",,"K015xPfLfah4eO1uZLmE3FLLe6b3pcen","zqzI6VPGJkqKrnUdkEIpiHhaRLZfA7fK",
"6a895266-9498-4a81-a1d5-4c6bb282e478","OAES_007.basePlot.bet","D11","OAES","OAES_007","E","2015-07-21","2015-08-04","2015-11-10","2015-12-04","rDfCr2OaAq0RzbHN0QwD5gybqXkJJtkZUl9Sf0GEqm8=","NEON.BET.D11.000325","PASCAL","Pasimachus californicus","species",,"Chaudoir",,"Other",,"K015xPfLfah4eO1uZLmE3FLLe6b3pcen","zqzI6VPGJkqKrnUdkEIpiHhaRLZfA7fK",
