uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,processingDate,subsampleIDList,archiveVialID,scientificName,recordedBy,remarks
"95779e1a-6b06-4c9a-bbb0-88bad269f975","OAES_002.basePlot.bet","D11","OAES","OAES_002","2015-08-18","2015-09-01","2015-09-10","DJFzCWJFd2jQMiI2jgMhZ8lpo2rkdUEj889gMvIXpLKfrC2z21nsbTYjrlDksjQaBhCf9DnlXNyMkDn0IMQnWZyHgj0ByhT/hRn/cdWGRyc=","DJFzCWJFd2itTeI5JsmVTngCXwvQK1aW",,,
"6bcb308b-d2f0-4038-aff0-97f90110f939","OAES_003.basePlot.bet","D11","OAES","OAES_003","2015-08-18","2015-09-01","2015-09-15","JY1K16SHr/yHQvgUlPKb8SpJ3hVunAW0OpDEMqAROIN93kNfSzi71g98xU7fZ6x89HdqHKQ6OsRGH9j1l/+AwibKQVN7inBI68qndlyp22Mlcl5IYJCTxfITW1sILdVRb7B6Y08RCqo=","JY1K16SHr/xKDLFVOsaBXcBoN9yVmAKa",,,
"b7b8b25f-acbd-4886-beab-9f57e974bfa7","OAES_005.basePlot.bet","D11","OAES","OAES_005","2015-08-18","2015-09-01","2015-09-22","oszmWJzaoIuaqeEDME44ykOb46Ye7WH2gIgwt9Mq/llTMV2y9VYtDCaUTsk32jwcCdx62OlFIumZ85MBe4FTP94WBKi+fK9Zi94d87285TY4VpPUVmbisWAkf9zPVQ58dIEVdeXxAhI=","oszmWJzaoIu9dRMiL0g/q0351jlwQImc",,,
"1c00151c-fd72-4331-8ebc-373aa163e8d3","OAES_007.basePlot.bet","D11","OAES","OAES_007","2015-08-18","2015-09-01","2015-09-22","rDfCr2OaAq1La1tmFadDxOwqQM826ypFgOzl4OhKwlT6/V7aCQIIZuKylJ1wpU+hA/l+Mr4BVkE=","rDfCr2OaAq0mB2/eSkGB+8kdrMzsQirh",,,
"771211c7-e206-4404-b20c-bf4f6f94b981","OAES_001.basePlot.bet","D11","OAES","OAES_001","2015-08-18","2015-09-01","2015-09-09","Yz+fJngcyZ/SwCCmRbtKNFsPWPqtY/0ZSgIY/PHJHnMBq1hrORYPPTCyHD1FD4Wxj4An65O5j2oZFqth238GZerLCQ3+FbZ2nn+QzNwgyC/fz/LHpmdqutRmwJrifQs1GOiLaTeYdpA=","Yz+fJngcyZ+T2OAYr9vfdtybsOGEqU25",,,
"7c82d386-873d-4aaa-9b2a-31b26903538e","OAES_007.basePlot.bet","D11","OAES","OAES_007","2015-08-18","2015-09-01","2015-09-22","rDfCr2OaAq2IUtMwbKF/1/ZPRqU6fyIa42V3xhMBAgFKO6G6QczyCtMnh/eeWo02vKmuigHmWzk=","rDfCr2OaAq0mB2/eSkGB+z1/s6x/OTX2",,,
"087b3dee-666b-467e-bda3-d3ff19c3179e","OAES_021.basePlot.bet","D11","OAES","OAES_021","2015-08-18","2015-09-01","2015-09-22","aFCS5Rk0Sdby3yiqp9igym2qBCjqI22eZI7Dmj8zrX5EANPb5ch2hz7DO0ApTg2zhaK2zugMEvbpQl2R731kk0hv1942+lZYvU2RuEsa/h7CR7PfhQzhbQoBc1OM0fukb8iySs1DDp4=","aFCS5Rk0SdYC5zEJb7ue02jvIIWMdcVl",,,
"aa6b0314-780f-4c14-9f81-f3f30d5ec8e1","OAES_009.basePlot.bet","D11","OAES","OAES_009","2015-08-18","2015-09-01","2015-09-10","e+s5q3w8y7N0DA6Xh0DAy4hddkfLsYbML4J7RZ3kvmgWb1IRQFRaRB9wU68lJGL8sL9HbqNjd2GHV2gsvb7Fxc8CGK8X7W3XT4kt3VgGKjR63hbagE2YI0ZBEjTQ7UzUNP+9itTYOmE=","e+s5q3w8y7M+Wmuqv+tDO8O/H0LrCGrr",,,
"4d9d8f94-a238-4911-89b8-7d0aa8d63058","OAES_008.basePlot.bet","D11","OAES","OAES_008","2015-08-18","2015-09-01","2015-09-08","BL2EGNvUCCOZTdGiF4k1ZDrPBvxoujcwvqA2juXsYGG1ahWQvuvGuiPMyfE/6D0h8N4YEteJwvBvvoArprlOpwSN+m7oB8kQNw/4eDWt36bZi1bFPzqfNyPnU4+R8p8Wx4OjToIauxs=","BL2EGNvUCCOzWRvO7drDn3uD08PeaZ0E",,,
"2b145181-4470-48e7-ad0b-d738a28a29ee","OAES_006.basePlot.bet","D11","OAES","OAES_006","2015-08-18","2015-09-01","2015-09-15","mt2fHmHLlFkdPSsTPYYYauppXz5DXz7xB1FE2QqUKqk8rYBR/54yImHbTo25kGNDbvpzHhDVdJp3My+9xJry+RPs7ChhczjiOtjie6NhaIpTa9BKOzqkGkOqVsIKHd27GpBXSF2miLE=","mt2fHmHLlFmctBXZCB4raDFX4tWRhq5g",,,
"437aac02-4557-4817-88e1-40d4a7bf7d87","OAES_001.basePlot.bet","D11","OAES","OAES_001","2015-09-01","2015-09-15","2015-09-30","Yz+fJngcyZ/xMN7MCKMftJnCHtk2GnXsmNa2W095rvg/Zjd2EwLx9q7obj4b/4VDiZucRpIMzZlbcPaejZ/pumhSMZQZj7rqIDpKjNctW91uJ9kEMznf0r10lTKydrVwlWlJic00uYA=","Yz+fJngcyZ+7+WmTQDlTV9iMgZVbNHY3",,,
"9e393b1b-46b9-45db-b4e5-d327d6da8516","OAES_002.basePlot.bet","D11","OAES","OAES_002","2015-09-01","2015-09-15","2015-10-01","DJFzCWJFd2iZPfG0eEimXfXuTR9V/lanct5/zZsMGZ69AdllKFUeV85DNU5bXz0WIv5M1/d3hUC1xg6ht7RsHNFPVDbj53x69QJUnkIgK3ZqMmtRslO3qWBI7zoex6fkVS+6lSI0lTU=","DJFzCWJFd2gv0CpTRehvOSaRlSdyJHFy",,,
"3a59bb54-ed82-4716-a911-eb7e4eb61e1a","OAES_003.basePlot.bet","D11","OAES","OAES_003","2015-09-01","2015-09-15","2015-09-23","JY1K16SHr/zEfsjUb84kZna8OXsXvwjdrG4p4sIxU0wn7C1U2yYV5J1FD2HS1TmQfvMVgn+5jIXcwxamO5u2vOX6Z5okiGPrB9p3SLZnujc=","JY1K16SHr/zK0QWr4NmWOM3Aqu1Ghw9b",,,
"834a6294-a26b-4815-8a69-77abbdb6a279","OAES_004.basePlot.bet","D11","OAES","OAES_004","2015-09-01","2015-09-15","2015-09-30","FpFkKsaMuAAmR2voWj6A2GIsgJzutvolvH8EpYJP6UlgY0OhNo87sISIor5oEpczed0gOINa5pTy7iKLboxGKXQoyWzk93eSG1Y83YbFqbyGH6WvMeBALjw806iZBL9MWBM69vEepIU=","FpFkKsaMuAAGLTUO+RGKvA7h/qcg5iyk",,,
