uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"d5c59270-8c2e-45e6-8b89-2830c30f176f","OAES_005.basePlot.bet","D11","OAES","OAES_005","W","distributed","grasslandHerbaceous",35.404299,-99.080041,"WGS84",20.1,511.9,0.1,"2016-06-29","2016-07-13","OAES.2016.28",14,"Y","OAES_005.W.20160713","Ok","Ok","Ok","NEON.DOC.014050vH","won/tyUsFjCjTGqHBmGD3e54PFu+l8CW",
"315a1954-30ec-4093-86ef-6118e9dbd2d8","OAES_003.basePlot.bet","D11","OAES","OAES_003","W","distributed","grasslandHerbaceous",35.412139,-99.069792,"WGS84",20.1,510.5,0.1,"2016-06-29","2016-07-13","OAES.2016.28",14,"Y","OAES_003.W.20160713","Ok","Ok","Ok","NEON.DOC.014050vH","won/tyUsFjCjTGqHBmGD3e54PFu+l8CW",
"f12fd331-7a3c-497e-bead-33ec1e12b818","OAES_008.basePlot.bet","D11","OAES","OAES_008","E","distributed","grasslandHerbaceous",35.395379,-99.063188,"WGS84",20.1,493.6,0.1,"2016-06-29","2016-07-13","OAES.2016.28",14,"Y","OAES_008.E.20160713","Ok","Ok","Ok","NEON.DOC.014050vH","won/tyUsFjCjTGqHBmGD3e54PFu+l8CW",
"11b9ed52-dc2b-4ef4-90ec-41dd8b4187c4","OAES_004.basePlot.bet","D11","OAES","OAES_004","E","distributed","grasslandHerbaceous",35.412130,-99.085338,"WGS84",20.1,507.5,0.1,"2016-06-29","2016-07-13","OAES.2016.28",14,"Y","OAES_004.E.20160713","Ok","Ok","Ok","NEON.DOC.014050vH","won/tyUsFjCjTGqHBmGD3e54PFu+l8CW",
"48223ce9-52d3-4507-9e36-ae5d0b7d8ecd","OAES_003.basePlot.bet","D11","OAES","OAES_003","E","distributed","grasslandHerbaceous",35.412139,-99.069792,"WGS84",20.1,510.5,0.1,"2016-06-29","2016-07-13","OAES.2016.28",14,"Y","OAES_003.E.20160713","Ok","Ok","Low","NEON.DOC.014050vH","won/tyUsFjCjTGqHBmGD3e54PFu+l8CW","east trap set to 250ml"
"ee093551-56a0-4323-aea3-304b106abf1b","OAES_002.basePlot.bet","D11","OAES","OAES_002","E","distributed","grasslandHerbaceous",35.419716,-99.052304,"WGS84",20.1,521.6,0.1,"2016-06-29","2016-07-13","OAES.2016.28",14,"Y","OAES_002.E.20160713","Ok","Ok","Low","NEON.DOC.014050vH","aXs/ZRwW+FWhGXenomdsT5DtktFsPUur","East cup filled to 250ml"
"43774fb6-012b-470d-921b-5a60406ca39d","OAES_005.basePlot.bet","D11","OAES","OAES_005","E","distributed","grasslandHerbaceous",35.404299,-99.080041,"WGS84",20.1,511.9,0.1,"2016-06-29","2016-07-13","OAES.2016.28",14,"Y","OAES_005.E.20160713","Ok","Ok","Low","NEON.DOC.014050vH","won/tyUsFjCjTGqHBmGD3e54PFu+l8CW","east trap refilled to 250ml"
"0f48e0cc-8b49-4fbe-9e49-8920d5b9575c","OAES_001.basePlot.bet","D11","OAES","OAES_001","E","distributed","grasslandHerbaceous",35.412699,-99.058259,"WGS84",20.1,515.1,0.1,"2016-06-29","2016-07-13","OAES.2016.28",14,"Y","OAES_001.E.20160713","Ok","Ok","Low","NEON.DOC.014050vH","won/tyUsFjCjTGqHBmGD3e54PFu+l8CW","east trap set to 250ml"
"ed90ddf1-6e46-47e8-993b-e597ea54b932","OAES_021.basePlot.bet","D11","OAES","OAES_021","E","distributed","shrubScrub",35.411869,-99.074095,"WGS84",20.1,503.7,0.1,"2016-06-29","2016-07-13","OAES.2016.28",14,"Y","OAES_021.E.20160713","Ok","Ok","Ok","NEON.DOC.014050vH","won/tyUsFjCjTGqHBmGD3e54PFu+l8CW",
"3550b4e5-895f-454a-b78d-c30d9544b1a1","OAES_009.basePlot.bet","D11","OAES","OAES_009","E","distributed","shrubScrub",35.420795,-99.050317,"WGS84",20.1,515.5,0.1,"2016-06-29","2016-07-13","OAES.2016.28",14,"Y","OAES_009.E.20160713","Ok","Ok","Low","NEON.DOC.014050vH","aXs/ZRwW+FWhGXenomdsT5DtktFsPUur","east cup filled to 250ml"
"6d92a16e-76ab-4886-9440-8a5134cd3288","OAES_006.basePlot.bet","D11","OAES","OAES_006","E","distributed","grasslandHerbaceous",35.420259,-99.048669,"WGS84",20.1,516.4,0.2,"2016-06-29","2016-07-13","OAES.2016.28",14,"Y","OAES_006.E.20160713","Ok","Ok","Low","NEON.DOC.014050vH","aXs/ZRwW+FWhGXenomdsT5DtktFsPUur","east cup filled to 250ml"
"114135d5-c7fd-413f-b41d-bd8bbef7818f","OAES_007.basePlot.bet","D11","OAES","OAES_007","E","distributed","shrubScrub",35.419991,-99.057264,"WGS84",20.2,519.4,0.5,"2016-06-29","2016-07-13","OAES.2016.28",14,"Y","OAES_007.E.20160713","Ok","Ok","Ok","NEON.DOC.014050vH","aXs/ZRwW+FWhGXenomdsT5DtktFsPUur",
"29111567-d2cb-44e5-9b70-3f19be03f390","OAES_021.basePlot.bet","D11","OAES","OAES_021","N","distributed","shrubScrub",35.411869,-99.074095,"WGS84",20.1,503.7,0.1,"2016-06-29","2016-07-13","OAES.2016.28",14,"Y","OAES_021.N.20160713","Ok","Ok","Ok","NEON.DOC.014050vH","won/tyUsFjCjTGqHBmGD3e54PFu+l8CW",
"1e2d0af1-a55f-43e7-b9e9-41bcad77209c","OAES_001.basePlot.bet","D11","OAES","OAES_001","N","distributed","grasslandHerbaceous",35.412699,-99.058259,"WGS84",20.1,515.1,0.1,"2016-06-29","2016-07-13","OAES.2016.28",14,"Y","OAES_001.N.20160713","Ok","Ok","Ok","NEON.DOC.014050vH","won/tyUsFjCjTGqHBmGD3e54PFu+l8CW",
