uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,processingDate,subsampleIDList,archiveVialID,scientificName,recordedBy,remarks
"8c2f38c0-d821-4f7d-babb-601c27bcaab2","MOAB_009.basePlot.bet","D13","MOAB","MOAB_009","2015-06-25","2015-07-09","2015-07-20","r113m7c7xtxY5lRXoG0jks9JeHvsHxBaD7WRuehJ6zNn1p3M6eHptjs0kF8wuMafkSgyeXUKNJgjJmvlDlxHm5W7aty3vB1DY0vT9H6Q41s7GgIsWEMRHGRCBKDSesTlYLHYN/HfFtM=","r113m7c7xtwSAHm1td6m70jFnJi/B9ky",,,
"7f4d1959-fe85-44db-97fe-772360d8b4db","MOAB_003.basePlot.bet","D13","MOAB","MOAB_003","2015-06-25","2015-07-09","2015-07-21","IyUvclCcKUY1kqgHKVFq4mzQGa/rlulys5is/0FBKyUsG7mJ5EF5pP5WRaJSj7XsmtfZd6FP0AvYiMSpHL4kk4lpH+6DwdlYRap2QUh1LjL8yzaz+5pqVkyFBgrVGgYjyUyPOUyiJqY=","IyUvclCcKUZAdnHBWoB4HP1iKsDZHyuH",,,
"b42dc0fd-68e1-4121-8090-13a01a2a1490","MOAB_004.basePlot.bet","D13","MOAB","MOAB_004","2015-06-25","2015-07-09","2015-07-23","5U7Q+xBUPVubZFy6L9dNCa2uRjIEhYBK52Oh6ns/kdjtvNGFjQsVdLNsLcIouuYtyrtLoZ8yr1j73In5m39o1gGJPpRdWi4m0uNquOZJobA3lzrqHYYMp9iyDmBgceLI5GIJaJB6HNA=","5U7Q+xBUPVuVHB9gSRnn6QWUDI18CWHm",,,
"bc211203-038b-4e92-aeac-e6f3547072a2","MOAB_001.basePlot.bet","D13","MOAB","MOAB_001","2015-06-25","2015-07-09","2015-07-21","hc7nq0q3kZJXrc+I7AKhBs/pzRjszu+s7yAWpX7bVgRdjpYe4szC2Ivg2nY9hQfhf1ZewvGXHcrVa6tcjbTlhjPz+qD1HyvOsNMkDAP2z9CnTUsYbzlx+RZ1IPKJRO0ZBJp5bDue14E=","hc7nq0q3kZKi6gMyirpplToPudDBnzLW",,,
"0b5979b4-c51c-4ad8-a745-efd1cf50ebce","MOAB_002.basePlot.bet","D13","MOAB","MOAB_002","2015-06-25","2015-07-09","2015-07-23","dDZSo11ZohZrMC7gZYpV7glEJbDMmimOXPn6QqmmhVLYoA2WonP1tu7On8Iwq4tf/I8EuEhb7iE=","dDZSo11ZohYjyIk/9Sv/CN9wpa0eTAYm",,,
"ed9dfbd1-0e95-461c-a97c-193136cf063e","MOAB_002.basePlot.bet","D13","MOAB","MOAB_002","2015-06-25","2015-07-09","2015-07-23","dDZSo11Zohb4F7SqqYXHIRh1RPMpcGLaOI1iXkGweAuDGBhiKVtoug7hJUrtvlDcWIqOhtqVhIk=","dDZSo11ZohYjyIk/9Sv/COvQEi4dp4r9",,,
"9c0ce2cd-5b88-4b52-9faf-7432330307ad","MOAB_005.basePlot.bet","D13","MOAB","MOAB_005","2015-06-25","2015-07-09","2015-07-21","dErP7UpuKYumuf3kDH7etbKT5SUZBFZr9iz3RCyr62fzg20OyE+YsRqAtPzu3f/S2YdkkOHXSDM=","dErP7UpuKYsR/yOG5ywKDXj9c8gTioUC",,,
"e4782d9d-c60b-4b6c-8a2b-06ea950247b5","MOAB_005.basePlot.bet","D13","MOAB","MOAB_005","2015-06-25","2015-07-09","2015-07-21","dErP7UpuKYsG5DJNuEWuRPwuwnH6foYvCIdcmy+LS10DASS1sGm2FV7QnzpMoJkWXPAp49YckHo=","dErP7UpuKYsR/yOG5ywKDXnwPetkWa+0",,,
"5b63f034-5816-4a03-b42f-09e93042da62","MOAB_007.basePlot.bet","D13","MOAB","MOAB_007","2015-06-25","2015-07-09","2015-07-21","KUrFeqpu9DsyE1EkU+ED2MBc7Nz7yy1wrRlaVWQLVeg4hPG3lUJZJUI3QK4Fqr3bRtZliw0Fr2fwHxDzMPTqcg5rV9wlf6nFgkiJAjRiol0=","KUrFeqpu9DsnkoUML7Nmenu1uogY5KBv",,,
"5ae0e42f-2ced-43da-8acc-fe0b4222fd82","MOAB_006.basePlot.bet","D13","MOAB","MOAB_006","2015-06-25","2015-07-09","2015-07-21","W12PQsnHiUgp8HIXP91IwzxXxN3cX/cK3oJ2qVEabkSSyGeAEoYUafsS7jqgJlNP6egVB/IC0GM=","W12PQsnHiUgQXe8SmtTazZ0zY+5YrTGL",,,
