uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,identifiedDate,subsampleID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,totalLength,identifiedBy,recordedBy,remarks
"09dd1360-3306-4478-b7c3-d8b63f04cb6e","MOAB_001.basePlot.bet","D13","MOAB","MOAB_001","E","2015-08-20","2015-09-03","2015-12-15","2015-12-15","hc7nq0q3kZJNrue+OSZL6x+GVMduaS38Q5BNSC5wa40=","NEON.BET.D13.500266","CICPUN","Cicindela punctulata","species",,"Olivier",,"Pearson, D., C. B. Knisley, and C. J. Kazilek. 2006. A Field Guide to the Tiger Beetles of the United States and Canada: Identification, Natural History, and Distribution of the Cicindelidae. Oxford University Press, New York.",,"/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY",
"a4107984-b81d-4210-b070-42a79c7302a0","MOAB_007.basePlot.bet","D13","MOAB","MOAB_007","W","2015-08-20","2015-09-03","2015-12-15","2015-12-15","KUrFeqpu9Dt8faGCZrnLWVF9ld9ZDJJOEhqY5kmU8qY=","NEON.BET.D13.500250","CARSP14","Carabidae sp.","family",,"Latreille","D13.2015.MorphZE","Arnett Jr., R. H., and M. C. Thomas. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. (C. Press, Ed.). 1st Ed. Boca Raton, FL.",,"/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","Cymindis sp. Looks like C. planipennis in in BYU collection. Body dark rufous with legs and lateral margins of protum and elytra testaceous| shoulder macula not always well defined| intervals of elytral irregularly biserately punctate| elytra truncate| un"
"4a641c41-305a-4e21-94be-636f26ebb1cd","MOAB_010.basePlot.bet","D13","MOAB","MOAB_010","E","2015-08-20","2015-09-03","2015-12-15","2015-12-15","ey84eokAkd7pSJq1KB1Aeu4HrMZGi7WB3/88iHmsXiU=","NEON.BET.D13.500231","CICPUN","Cicindela punctulata","species",,"Olivier",,"Pearson, D., C. B. Knisley, and C. J. Kazilek. 2006. A Field Guide to the Tiger Beetles of the United States and Canada: Identification, Natural History, and Distribution of the Cicindelidae. Oxford University Press, New York.",,"/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY",
"b52e7968-72a6-4a7f-8d9e-795924686236","MOAB_010.basePlot.bet","D13","MOAB","MOAB_010","E","2015-08-20","2015-09-03","2015-12-15","2015-12-15","ey84eokAkd7pSJq1KB1AeiWSNxmPpLXnTcmF4CU+VOk=","NEON.BET.D13.500230","PIOSET","Piosoma setosum","species",,"LeConte",,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.",,"/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY",
"26aa6980-8f34-4ec4-a6ac-be900ba140aa","MOAB_001.basePlot.bet","D13","MOAB","MOAB_001","E","2015-08-20","2015-09-03","2015-12-15","2015-12-15","hc7nq0q3kZJNrue+OSZL6x+GVMduaS38Q5BNSC5wa40=","NEON.BET.D13.500267","CICPUN","Cicindela punctulata","species",,"Olivier",,"Pearson, D., C. B. Knisley, and C. J. Kazilek. 2006. A Field Guide to the Tiger Beetles of the United States and Canada: Identification, Natural History, and Distribution of the Cicindelidae. Oxford University Press, New York.",,"/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY",
"08233ea8-ddd0-4268-80b2-98f70168e986","MOAB_005.basePlot.bet","D13","MOAB","MOAB_005","E","2015-08-20","2015-09-03","2015-12-15","2015-12-15","dErP7UpuKYvM0dCOAPuAK0BEqi9MxBaf6lyDS1HonwU=","NEON.BET.D13.500240","CICPUN","Cicindela punctulata","species",,"Olivier",,"Pearson, D., C. B. Knisley, and C. J. Kazilek. 2006. A Field Guide to the Tiger Beetles of the United States and Canada: Identification, Natural History, and Distribution of the Cicindelidae. Oxford University Press, New York.",,"/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY",
"412c3ff5-7d70-4ed5-a74c-12c74d8bb7f4","MOAB_005.basePlot.bet","D13","MOAB","MOAB_005","E","2015-08-20","2015-09-03","2015-12-15","2015-12-15","dErP7UpuKYvM0dCOAPuAK0BEqi9MxBaf6lyDS1HonwU=","NEON.BET.D13.500239","CICPUN","Cicindela punctulata","species",,"Olivier",,"Pearson, D., C. B. Knisley, and C. J. Kazilek. 2006. A Field Guide to the Tiger Beetles of the United States and Canada: Identification, Natural History, and Distribution of the Cicindelidae. Oxford University Press, New York.",,"/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY",
"00fda254-16d8-4a8a-a91e-c2fccb10840d","MOAB_003.basePlot.bet","D13","MOAB","MOAB_003","E","2015-08-20","2015-09-03","2015-12-15","2015-12-15","IyUvclCcKUa8uaeinCAlggsjDmFS+DQk28gIvq6Ruyc=","NEON.BET.D13.500222","HARFRA","Harpalus fraternus","species","cf. species","LeConte",,"Arnett Jr., R. H., and M. C. Thomas. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. (C. Press, Ed.). 1st Ed. Boca Raton, FL.",,"/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY",
"f0828378-e524-4fb5-a499-9d3e1961deba","MOAB_007.basePlot.bet","D13","MOAB","MOAB_007","E","2015-08-20","2015-09-03","2015-12-15","2015-12-15","KUrFeqpu9DtwEQQ6Xed72W0mhLKyLssTL6kC6PVJNlg=","NEON.BET.D13.500254","CARSP14","Carabidae sp.","family",,"Latreille","D13.2015.MorphZE","Arnett Jr., R. H., and M. C. Thomas. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. (C. Press, Ed.). 1st Ed. Boca Raton, FL.",,"/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","Cymindis sp. Looks like C. planipennis in in BYU collection. Body dark rufous with legs and lateral margins of protum and elytra testaceous| shoulder macula not always well defined| intervals of elytral irregularly biserately punctate| elytra truncate| un"
"59c6f67c-3207-48ad-a9d2-132631af6cc0","MOAB_002.basePlot.bet","D13","MOAB","MOAB_002","E","2015-08-20","2015-09-03","2015-12-15","2015-12-15","dDZSo11ZohYgxfVamv0+qGEg4WLVM8UqpDlidGy84yQ=","NEON.BET.D13.500247","CICPUN","Cicindela punctulata","species",,"Olivier",,"Pearson, D., C. B. Knisley, and C. J. Kazilek. 2006. A Field Guide to the Tiger Beetles of the United States and Canada: Identification, Natural History, and Distribution of the Cicindelidae. Oxford University Press, New York.",,"/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY",
