uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"3295644c-5ced-41c8-a618-666c31f5bfb7","MOAB_010.basePlot.bet","D13","MOAB","MOAB_010","W","2015-08-20","2015-09-03","2015-09-04","2015-09-04",,"MOAB_010.W.20150903","ey84eokAkd5Cp0DFClsYDoea6MfIXbP44VnZuWdJoVw=","invert bycatch",,,,,,,,,,"wGVKqNu5xeXKCqkJVSQ93bpoR9cNPKGrbDACuKYLaxs=",
"c4291f22-8124-441b-a7e7-a9b5dacc9ca3","MOAB_011.basePlot.bet","D13","MOAB","MOAB_011","W","2015-08-20","2015-09-03","2015-09-04","2015-09-04","2015-12-09","MOAB_011.W.20150903","fmrsV+TmgPCKHJQ7+4pUd2+gg1fALakkR4llQc8Xrhk=","vert bycatch herp","SCELSP","Sceloporus sp.","genus",,,,1,"Jones, L. J. and R. Lovich. 2009. Lizards of the American Southwest. Rio Nuevo Publishers.","wsPgf8Zw9fJKymWy47Zkre6IykLRH3+g","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","Species identification confirmed by Dr. Jack W. Sites, Jr., Curator of Herpetology at Brigham Young University in Provo, UT. Specimen(s) transferred to the BYU on 12/9/2015 in accordance with our BLM collection permit."
"4557f503-926e-40d5-8865-26855ae37511","MOAB_011.basePlot.bet","D13","MOAB","MOAB_011","W","2015-08-20","2015-09-03","2015-09-04","2015-09-04",,"MOAB_011.W.20150903","fmrsV+TmgPCKHJQ7+4pUd79+7mM5yfVaHNJ5GhDTfTc=","invert bycatch",,,,,,,,,,"/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY",
"937dea62-bb8f-4a97-9b1b-338ed9852c1b","MOAB_002.basePlot.bet","D13","MOAB","MOAB_002","W","2015-08-20","2015-09-03","2015-09-04","2015-09-04",,"MOAB_002.W.20150903","dDZSo11ZohZrMC7gZYpV7pq9ysbeq3g/nItNbqk+eQw=","invert bycatch",,,,,,,,,,"wGVKqNu5xeXKCqkJVSQ93bpoR9cNPKGrbDACuKYLaxs=",
"17af5021-6cf6-4c92-80ba-a9d02d810d4b","MOAB_002.basePlot.bet","D13","MOAB","MOAB_002","W","2015-08-20","2015-09-03","2015-09-04","2015-09-04","2015-12-15","MOAB_002.W.20150903","dDZSo11ZohZrMC7gZYpV7gP01yo44/i/u3XAY2Q1T+0=","carabid","CICPUN","Cicindela punctulata","species",,"Olivier",,10,"Pearson, D., C. B. Knisley, and C. J. Kazilek. 2006. A Field Guide to the Tiger Beetles of the United States and Canada: Identification, Natural History, and Distribution of the Cicindelidae. Oxford University Press, New York.","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","wGVKqNu5xeXKCqkJVSQ93bpoR9cNPKGrbDACuKYLaxs=","pinned two individuals"
"6f65c0e4-5767-40db-8aa2-f6d39f8cc7cf","MOAB_010.basePlot.bet","D13","MOAB","MOAB_010","E","2015-08-20","2015-09-03","2015-09-04","2015-09-04","2015-12-15","MOAB_010.E.20150903","ey84eokAkd7pSJq1KB1AeiWSNxmPpLXnTcmF4CU+VOk=","carabid","PIOSET","Piosoma setosum","species",,"LeConte",,1,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","wGVKqNu5xeXKCqkJVSQ93bpoR9cNPKGrbDACuKYLaxs=","pinned"
"9fc88880-c4c8-419d-860c-6d983e3dfd43","MOAB_010.basePlot.bet","D13","MOAB","MOAB_010","E","2015-08-20","2015-09-03","2015-09-04","2015-09-04","2015-12-15","MOAB_010.E.20150903","ey84eokAkd7pSJq1KB1Aeu4HrMZGi7WB3/88iHmsXiU=","carabid","CICPUN","Cicindela punctulata","species",,"Olivier",,3,"Pearson, D., C. B. Knisley, and C. J. Kazilek. 2006. A Field Guide to the Tiger Beetles of the United States and Canada: Identification, Natural History, and Distribution of the Cicindelidae. Oxford University Press, New York.","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","wGVKqNu5xeXKCqkJVSQ93bpoR9cNPKGrbDACuKYLaxs=","two individuals pinned"
"cf3c6b30-5086-4ac6-827a-d53bbe63f284","MOAB_011.basePlot.bet","D13","MOAB","MOAB_011","E","2015-08-20","2015-09-03","2015-09-04","2015-09-04",,"MOAB_011.E.20150903","fmrsV+TmgPBjU7/tzdyTThc6Cru/epLale/W+Q+ICHQ=","invert bycatch",,,,,,,,,,"/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY",
"07ec9b6f-afd1-4e53-bf8e-016f6b6470e4","MOAB_011.basePlot.bet","D13","MOAB","MOAB_011","E","2015-08-20","2015-09-03","2015-09-04","2015-09-04","2015-12-15","MOAB_011.E.20150903","fmrsV+TmgPBjU7/tzdyTTkHRaKVfqRa3UueT/CDHAcw=","carabid","CICPUN","Cicindela punctulata","species",,"Olivier",,1,"Pearson, D., C. B. Knisley, and C. J. Kazilek. 2006. A Field Guide to the Tiger Beetles of the United States and Canada: Identification, Natural History, and Distribution of the Cicindelidae. Oxford University Press, New York.","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","pinned"
"e369acca-4e31-451a-b9a2-e083be79eef3","MOAB_002.basePlot.bet","D13","MOAB","MOAB_002","E","2015-08-20","2015-09-03","2015-09-04","2015-09-04",,"MOAB_002.E.20150903","dDZSo11ZohYgxfVamv0+qGEg4WLVM8UqpDlidGy84yQ=","carabid","CICPUN","Cicindela punctulata","species",,"Olivier",,20,"Other",,"wGVKqNu5xeXKCqkJVSQ93bpoR9cNPKGrbDACuKYLaxs=","pinned two individuals"
"59961d58-60d0-4088-95d4-fb84c812e4ef","MOAB_002.basePlot.bet","D13","MOAB","MOAB_002","E","2015-08-20","2015-09-03","2015-09-04","2015-09-04",,"MOAB_002.E.20150903","dDZSo11ZohYgxfVamv0+qHNtaKL+JFMVJx/n+kDC704=","invert bycatch",,,,,,,,,,"wGVKqNu5xeXKCqkJVSQ93bpoR9cNPKGrbDACuKYLaxs=",
"e01fa0b1-934d-4709-ba6d-2e03e60101ff","MOAB_001.basePlot.bet","D13","MOAB","MOAB_001","E","2015-08-20","2015-09-03","2015-09-04","2015-09-04","2015-12-15","MOAB_001.E.20150903","hc7nq0q3kZJNrue+OSZL6x+GVMduaS38Q5BNSC5wa40=","carabid","CICPUN","Cicindela punctulata","species",,"Olivier",,3,"Pearson, D., C. B. Knisley, and C. J. Kazilek. 2006. A Field Guide to the Tiger Beetles of the United States and Canada: Identification, Natural History, and Distribution of the Cicindelidae. Oxford University Press, New York.","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","pinned two individuals"
"b4cf0174-cfab-4a37-a955-fb4967836e39","MOAB_001.basePlot.bet","D13","MOAB","MOAB_001","E","2015-08-20","2015-09-03","2015-09-04","2015-09-04",,"MOAB_001.E.20150903","hc7nq0q3kZJNrue+OSZL6/ysNgVzsi3mlR8vHwijtc0=","invert bycatch",,,,,,,,,,"/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY",
"162188eb-fed0-4d74-9c3b-ca8e86e97d80","MOAB_010.basePlot.bet","D13","MOAB","MOAB_010","E","2015-08-20","2015-09-03","2015-09-04","2015-09-04",,"MOAB_010.E.20150903","ey84eokAkd7pSJq1KB1AeiY4PBUj3L7SxGMk2pcIrAI=","invert bycatch",,,,,,,,,,"wGVKqNu5xeXKCqkJVSQ93bpoR9cNPKGrbDACuKYLaxs=",
