uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"a0881767-252b-4e8d-892f-d57aba0f5f7c","MOAB_009.basePlot.bet","D13","MOAB","MOAB_009","E","distributed","shrubScrub",38.258224,-109.423273,"WGS84",20.1,1793.4,0.1,"2016-04-19","2016-05-03","MOAB.2016.18",14,"Y","MOAB_009.E.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","wcMB+uWhN6DlxgYb80zZ5eNIhcO7pIW7",
"c6c02b55-9254-464b-a984-4f9a8a950e55","MOAB_007.basePlot.bet","D13","MOAB","MOAB_007","W","distributed","shrubScrub",38.265495,-109.341840,"WGS84",20.1,1996.4,0.1,"2016-04-19","2016-05-03","MOAB.2016.18",14,"Y","MOAB_007.W.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","wcMB+uWhN6DlxgYb80zZ5eNIhcO7pIW7",
"32dc45bd-d4e0-48bf-b001-473a52483887","MOAB_006.basePlot.bet","D13","MOAB","MOAB_006","E","distributed","shrubScrub",38.236381,-109.406596,"WGS84",20.1,1760.7,0.1,"2016-04-19","2016-05-03","MOAB.2016.18",14,"Y","MOAB_006.E.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","wcMB+uWhN6DlxgYb80zZ5eNIhcO7pIW7",
"4ab4d475-290c-4d5e-a25e-2cf18f5be549","MOAB_005.basePlot.bet","D13","MOAB","MOAB_005","E","distributed","shrubScrub",38.210931,-109.403724,"WGS84",20.1,1768.1,0.1,"2016-04-19","2016-05-03","MOAB.2016.18",14,"Y","MOAB_005.E.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",
"24bd2d70-fbbe-4dea-8939-794cd817058a","MOAB_003.basePlot.bet","D13","MOAB","MOAB_003","E","distributed","evergreenForest",38.261287,-109.349483,"WGS84",20.1,2006.8,0.1,"2016-04-19","2016-05-03","MOAB.2016.18",14,"Y","MOAB_003.E.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",
"b7561a0b-614a-4b85-bc5d-fcc4a4947c1a","MOAB_004.basePlot.bet","D13","MOAB","MOAB_004","E","distributed","shrubScrub",38.233270,-109.397418,"WGS84",20.1,1762.7,0.1,"2016-04-19","2016-05-03","MOAB.2016.18",14,"Y","MOAB_004.E.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",
"8a03de5c-27fe-400e-8267-e13ebcb5324f","MOAB_001.basePlot.bet","D13","MOAB","MOAB_001","E","distributed","shrubScrub",38.257569,-109.413674,"WGS84",20.1,1799.4,0.1,"2016-04-19","2016-05-03","MOAB.2016.18",14,"Y","MOAB_001.E.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",
"c9034987-8918-4ada-8e7b-ac491ee72ebe","MOAB_002.basePlot.bet","D13","MOAB","MOAB_002","E","distributed","shrubScrub",38.210793,-109.414698,"WGS84",20.1,1773.5,0.1,"2016-04-19","2016-05-03","MOAB.2016.18",14,"Y","MOAB_002.E.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",
"b0b1de0f-2c28-4b0a-826c-ddfebf88f766","MOAB_011.basePlot.bet","D13","MOAB","MOAB_011","E","distributed","shrubScrub",38.265111,-109.411809,"WGS84",20.1,1816.4,0.1,"2016-04-19","2016-05-03","MOAB.2016.18",14,"Y","MOAB_011.E.20160503","Ok","Ok","Low","NEON.DOC.014050vH","Ymvu50svVai947RgaYoGNGTwjbYtyuA7","250 ml of PG added to trap."
"00427b89-c0ae-4f5a-bfec-1c108c90743f","MOAB_010.basePlot.bet","D13","MOAB","MOAB_010","E","distributed","shrubScrub",38.255191,-109.378090,"WGS84",20.1,1815.7,0.1,"2016-04-19","2016-05-03","MOAB.2016.18",14,"Y","MOAB_010.E.20160503","Ok","Ok","Low","NEON.DOC.014050vH","Ymvu50svVai947RgaYoGNGTwjbYtyuA7","Trap filled to 250 ml"
"ef4b2070-d833-4d01-9c6c-c036b4f98bad","MOAB_011.basePlot.bet","D13","MOAB","MOAB_011","N","distributed","shrubScrub",38.265111,-109.411809,"WGS84",20.1,1816.4,0.1,"2016-04-19","2016-05-03","MOAB.2016.18",14,"Y","MOAB_011.N.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",
"627f00f7-5cd6-45eb-ba3c-662075bf3a40","MOAB_001.basePlot.bet","D13","MOAB","MOAB_001","N","distributed","shrubScrub",38.257569,-109.413674,"WGS84",20.1,1799.4,0.1,"2016-04-19","2016-05-03","MOAB.2016.18",14,"Y","MOAB_001.N.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",
"e505db05-5414-48eb-8c54-655dc4621838","MOAB_002.basePlot.bet","D13","MOAB","MOAB_002","N","distributed","shrubScrub",38.210793,-109.414698,"WGS84",20.1,1773.5,0.1,"2016-04-19","2016-05-03","MOAB.2016.18",14,"Y","MOAB_002.N.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","Ymvu50svVai947RgaYoGNGTwjbYtyuA7",
"6a9043b4-fc69-4b4d-8bde-9dcba344aa02","MOAB_010.basePlot.bet","D13","MOAB","MOAB_010","N","distributed","shrubScrub",38.255191,-109.378090,"WGS84",20.1,1815.7,0.1,"2016-04-19","2016-05-03","MOAB.2016.18",14,"N",,"Ok","Ok",,"NEON.DOC.014050vH","Ymvu50svVai947RgaYoGNGTwjbYtyuA7","No sign of PG in N Trap. Believe none was put in on 20160419. on 20160503 it was filled to 150 ml. No sample was collected"
"5837f085-f603-4e17-8322-470439850ca2","MOAB_007.basePlot.bet","D13","MOAB","MOAB_007","N","distributed","shrubScrub",38.265495,-109.341840,"WGS84",20.1,1996.4,0.1,"2016-04-19","2016-05-03","MOAB.2016.18",14,"Y","MOAB_007.N.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","wcMB+uWhN6DlxgYb80zZ5eNIhcO7pIW7",
"e4732ef4-8dab-4eb1-8b0b-68c2b93ce845","MOAB_009.basePlot.bet","D13","MOAB","MOAB_009","N","distributed","shrubScrub",38.258224,-109.423273,"WGS84",20.1,1793.4,0.1,"2016-04-19","2016-05-03","MOAB.2016.18",14,"Y","MOAB_009.N.20160503","Ok","Ok","Ok","NEON.DOC.014050vH","wcMB+uWhN6DlxgYb80zZ5eNIhcO7pIW7",
