uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,identifiedDate,subsampleID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,totalLength,identifiedBy,recordedBy,remarks
"ff5ea102-35e1-4618-94c9-ef82a00aa712","NIWO_009.basePlot.bet","D13","NIWO","NIWO_009","S","2015-06-30","2015-07-14","2016-12-05","2016-10-20","ta53RQUlpj5UBMvJyahkRdacmvk7K0cqq4ufzjbji3Q=","NEON.BET.D13.000087","CALADV","Calathus advena","species",,"LeConte",,,,"s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004","s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004",
"e66d15c6-ddef-40c0-89cd-a3551ce3b7d7","NIWO_003.basePlot.bet","D13","NIWO","NIWO_003","N","2015-06-30","2015-07-14","2016-12-06","2016-08-09","ZRQ9gNwmgymIPtZS12an+8pUDlm/lMRjCvLc9iOlV7g=","NEON.BET.D13.000195","CARTAE","Carabus taedatus","species",,"Fabricius",,,,"s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004","s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004",
"78c256a0-0e7b-4740-82db-9afa3cfabd31","NIWO_005.basePlot.bet","D13","NIWO","NIWO_005","N","2015-06-30","2015-07-14","2016-12-01","2016-09-12","06Y8b7qnWrtKMYVGHYy4+v13vtDbSWQAsuxL0SoeanA=","NEON.BET.D13.000050","CALADV","Calathus advena","species",,"LeConte",,,,"s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004","XZoPj1u9UmznO7Lakic/e+h3MMLMvbQt",
"808ab1ff-2116-4a57-801c-a7c911111e23","NIWO_008.basePlot.bet","D13","NIWO","NIWO_008","E","2015-06-30","2015-07-14","2016-12-06","2016-07-29","5+aRVO2c2a7Ju/6v8LE/pJY/SzjJrflU2hHElAqDB1w=","NEON.BET.D13.000192","CARTAE","Carabus taedatus","species",,"Fabricius",,,,"s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004","s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004",
"667fb494-58f1-458f-bbcd-7d4b5493279f","NIWO_005.basePlot.bet","D13","NIWO","NIWO_005","N","2015-06-30","2015-07-14","2016-12-01","2016-09-12","06Y8b7qnWrtKMYVGHYy4+v13vtDbSWQAsuxL0SoeanA=","NEON.BET.D13.000051","CALADV","Calathus advena","species",,"LeConte",,,,"s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004","XZoPj1u9UmznO7Lakic/e+h3MMLMvbQt",
"97dca73a-824f-4a9c-a68c-f9ef2ba759d1","NIWO_002.basePlot.bet","D13","NIWO","NIWO_002","W","2015-06-30","2015-07-14","2016-12-01","2016-06-23","Yxxla30BRinMShdElcd2E8U2n8GF0Ykn6f+7G3QZkcA=","NEON.BET.D13.000001","OTHE","Carabidae sp.","family",,"Latreille","D13.2015.MorphO",,,"s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004","s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004",
"d5cbd6cc-bbdf-494c-ae54-8e1cfe9a34b7","NIWO_004.basePlot.bet","D13","NIWO","NIWO_004","N","2015-06-30","2015-07-14","2016-12-09","2016-10-18","aRw+8bWvW/xB0g5tp1LHGQZlecMoAlolQ640uMQIG1w=","NEON.BET.D13.000408","HARPAR","Harpalus paratus","species",,"Casey",,,,"s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004","a/0SlN26fEuP6UaIdvPv8XTR4wP1QaRoaGwryJzzg3M=",
"a269a7f3-dccc-4baf-90e3-af512a882839","NIWO_004.basePlot.bet","D13","NIWO","NIWO_004","N","2015-06-30","2015-07-14","2016-12-09","2016-10-18","aRw+8bWvW/xB0g5tp1LHGQZlecMoAlolQ640uMQIG1w=","NEON.BET.D13.000407","HARPAR","Harpalus paratus","species",,"Casey",,,,"s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004","a/0SlN26fEuP6UaIdvPv8XTR4wP1QaRoaGwryJzzg3M=",
"c38500f1-40c2-489d-acdc-d74bdada7ede","NIWO_008.basePlot.bet","D13","NIWO","NIWO_008","W","2015-06-30","2015-07-14","2016-12-06","2016-08-08","5+aRVO2c2a7tyUr5BvACjA5RPSCOOwC8W2PSwCuGZjI=","NEON.BET.D13.000194","CARTAE","Carabus taedatus","species",,"Fabricius",,,,"s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004","s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004",
"74442172-6a5e-469c-9b19-793b0838d500","NIWO_006.basePlot.bet","D13","NIWO","NIWO_006","S","2015-06-30","2015-07-14","2016-12-01","2016-10-18","/HCA//l5a79xspR2rESkgKU5URgr2fme7lxVQdDd5YI=","NEON.BET.D13.000068","AMAALP","Amara alpina","species",,"Paykull",,,,"s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004","XZoPj1u9UmznO7Lakic/e+h3MMLMvbQt",
"9adbe100-4cc4-4fbf-bfcd-7d08735d5e7f","NIWO_004.basePlot.bet","D13","NIWO","NIWO_004","N","2015-06-30","2015-07-14","2016-12-09","2016-10-18","aRw+8bWvW/xB0g5tp1LHGQZlecMoAlolQ640uMQIG1w=","NEON.BET.D13.000406","HARPAR","Harpalus paratus","species",,"Casey",,,,"s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004","a/0SlN26fEuP6UaIdvPv8XTR4wP1QaRoaGwryJzzg3M=",
