uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"f30174d6-fc79-4b11-92ad-75322ebb85a1","NIWO_003.basePlot.bet","D13","NIWO","NIWO_003","S","2015-07-28","2015-08-11","2015-08-12","2016-11-09","2016-11-09","NIWO_003.S.20150811","ZRQ9gNwmgykmJ0A4JTWHpDx0/715nDchO1dhZkxHDNo=","carabid","CARTAE","Carabus taedatus","species",,"Fabricius",,1,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004","XZoPj1u9UmznO7Lakic/e+h3MMLMvbQt",
"ff6a4535-31a3-47a2-ab24-88752098ceb9","NIWO_004.basePlot.bet","D13","NIWO","NIWO_004","E","2015-07-28","2015-08-11","2015-08-12","2016-11-14","2016-11-15","NIWO_004.E.20150811","aRw+8bWvW/wOIENap0etmepAVmgUeBEEaRT96PDfj/M=","carabid","HARNIG","Harpalus nigritarsis","species","cf. species","Sahlberg",,1,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004","XZoPj1u9UmznO7Lakic/e+h3MMLMvbQt","Harpalus solitarus has paler appendages that might be more representative of this specimen but it is not recorded in Rockies. This could also by H. secluses if we are treating this and H. nigritarsis as separate species and not morphs of same species."
"e7d3d8d6-9123-4b75-bd2b-93931d3a14da","NIWO_003.basePlot.bet","D13","NIWO","NIWO_003","E","2015-07-28","2015-08-11","2015-08-12","2016-08-08",,"NIWO_003.E.20150811","ZRQ9gNwmgynu1ZgrUyHHaoI+p52ukNIFMnwgmwWFzB4=","invert bycatch",,,,,,,,,,"XZoPj1u9UmznO7Lakic/e+h3MMLMvbQt",
"04b7e36f-7d12-4a9f-af78-7b7127cbe666","NIWO_003.basePlot.bet","D13","NIWO","NIWO_003","N","2015-07-28","2015-08-11","2015-08-12","2016-11-09","2016-11-09","NIWO_003.N.20150811","ZRQ9gNwmgymIPtZS12an+8+mZyARtKNeWTKhiPLoo5c=","carabid","AMAQUE","Amara quenseli quenseli","subspecies",,"Schonherr",,4,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004","XZoPj1u9UmznO7Lakic/e+h3MMLMvbQt",
"e3c2a23e-0a25-44dc-b780-39b9eb89b844","NIWO_003.basePlot.bet","D13","NIWO","NIWO_003","S","2015-07-28","2015-08-11","2015-08-12","2016-11-07","2016-11-09","NIWO_003.S.20150811","ZRQ9gNwmgykmJ0A4JTWHpAXIWuChDGnqnXnTe27hIL8=","carabid","AMAQUE","Amara quenseli quenseli","subspecies",,"Schonherr",,7,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004","XZoPj1u9UmznO7Lakic/e+h3MMLMvbQt",
"52012daf-b9e0-488e-8313-5e3260efee7b","NIWO_003.basePlot.bet","D13","NIWO","NIWO_003","W","2015-07-28","2015-08-11","2015-08-12","2016-11-10","2016-11-10","NIWO_003.W.20150811","ZRQ9gNwmgylLFtb2kQGvQyxcSfVdipry2iTYh6GYRZg=","carabid","CARTAE","Carabus taedatus","species",,"Fabricius",,2,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004","XZoPj1u9UmznO7Lakic/e+h3MMLMvbQt",
"940afa60-7116-4491-a818-6a1812ff73a9","NIWO_003.basePlot.bet","D13","NIWO","NIWO_003","W","2015-07-28","2015-08-11","2015-08-12","2016-08-08",,"NIWO_003.W.20150811","ZRQ9gNwmgylLFtb2kQGvQ57Z28Iws1At6tHSfRiAVvs=","invert bycatch",,,,,,,,,,"XZoPj1u9UmznO7Lakic/e+h3MMLMvbQt",
"35573bc5-5bc8-4c8f-b469-e7889c9ccf73","NIWO_005.basePlot.bet","D13","NIWO","NIWO_005","S","2015-07-28","2015-08-11","2015-08-12","2016-11-10","2016-11-10","NIWO_005.S.20150811","06Y8b7qnWrvNpkaT/gWkNhvbCxhghkThTG2/OYzDhLs=","carabid","CYMUNI1","Cymindis unicolor","species",,"Kirby",,7,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004","XZoPj1u9UmznO7Lakic/e+h3MMLMvbQt",
"8a83cdb0-defe-462e-aeee-fecab061cb73","NIWO_005.basePlot.bet","D13","NIWO","NIWO_005","S","2015-07-28","2015-08-11","2015-08-12","2016-08-09",,"NIWO_005.S.20150811","06Y8b7qnWrvNpkaT/gWkNpjkLMv0Wi5lWGR1LCbcsnQ=","invert bycatch",,,,,,,,,,"XZoPj1u9UmznO7Lakic/e+h3MMLMvbQt",
"7386aa2d-5cc0-420a-93ae-b589d51aa348","NIWO_008.basePlot.bet","D13","NIWO","NIWO_008","S","2015-07-28","2015-08-11","2015-08-12","2016-11-14","2016-11-14","NIWO_008.S.20150811","5+aRVO2c2a4fZXmRIIT3KRkrbaf86gl2+5rM1QBy5hI=","carabid","CYMCRI","Cymindis cribricollis","species",,"Dejean",,3,"Lindroth, C. H. 1969. The ground-beetles (Carabidae, excl. Cicindelinae) of Canada and Alaska, parts 1-6. Opuscula E. Entomoligiska Sallskapet.","s/lmw0PcTzR4Bmy/yhclYeu7XYLZW004","9LLQP2zAGBxvuMR8VfqNBDkoxuflTlB1mTYNJb/lQSw=",
