uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"d2a77fda-5f99-46ff-98e5-f7bc361ff431","NIWO_002.basePlot.bet","D13","NIWO","NIWO_002","N","distributed","evergreenForest",40.041060,-105.547043,"WGS84",20.1,3059.6,0.2,"2016-06-14","2016-06-28","NIWO.2016.26",14,"Y","NIWO_002.N.20160628","Ok","Ok","Ok","NEON.DOC.014050vH","Ji4OKY0Opajnq0SAWKqACItMAkkkfnH7",
"886c92b8-cc2e-4d47-a5cd-d5eefe6fc21a","NIWO_006.basePlot.bet","D13","NIWO","NIWO_006","W","distributed","grasslandHerbaceous",40.055052,-105.561552,"WGS84",20.1,3469.2,0.1,"2016-06-14","2016-06-28","NIWO.2016.26",14,"Y","NIWO_006.W.20160628","Ok","Ok","Ok","NEON.DOC.014050vH","Ji4OKY0Opajnq0SAWKqACItMAkkkfnH7",
"ae232e60-5c5b-45a4-a8ca-ca5f20214402","NIWO_008.basePlot.bet","D13","NIWO","NIWO_008","E","distributed","grasslandHerbaceous",40.054475,-105.567875,"WGS84",20.1,3500.2,0.1,"2016-06-14","2016-06-28","NIWO.2016.26",14,"Y","NIWO_008.E.20160628","Ok","Ok","Ok","NEON.DOC.014050vH","Ji4OKY0Opajnq0SAWKqACItMAkkkfnH7",
"437eaadf-f4c7-4a2b-b94d-faca4a5ad102","NIWO_003.basePlot.bet","D13","NIWO","NIWO_003","E","distributed","grasslandHerbaceous",40.051247,-105.565041,"WGS84",20.1,3494.9,0.1,"2016-06-14","2016-06-28","NIWO.2016.26",14,"Y","NIWO_003.E.20160628","Ok","Ok","Ok","NEON.DOC.014050vH","Ji4OKY0Opajnq0SAWKqACItMAkkkfnH7",
"c3ca6d8a-40c6-49e1-b8b6-b7e84d9ad3a8","NIWO_006.basePlot.bet","D13","NIWO","NIWO_006","E","distributed","grasslandHerbaceous",40.055052,-105.561552,"WGS84",20.1,3469.2,0.1,"2016-06-14","2016-06-28","NIWO.2016.26",14,"Y","NIWO_006.E.20160628","Ok","Ok","Ok","NEON.DOC.014050vH","Ji4OKY0Opajnq0SAWKqACItMAkkkfnH7",
"3634ac96-93f8-457e-975f-dabe6356ba3d","NIWO_002.basePlot.bet","D13","NIWO","NIWO_002","E","distributed","evergreenForest",40.041060,-105.547043,"WGS84",20.1,3059.6,0.2,"2016-06-14","2016-06-28","NIWO.2016.26",14,"Y","NIWO_002.E.20160628","Ok","Ok","Ok","NEON.DOC.014050vH","Ji4OKY0Opajnq0SAWKqACItMAkkkfnH7",
"3b1df0db-a5e5-480f-8daa-aa16e250f307","NIWO_003.basePlot.bet","D13","NIWO","NIWO_003","N","distributed","grasslandHerbaceous",40.051247,-105.565041,"WGS84",20.1,3494.9,0.1,"2016-06-14","2016-06-28","NIWO.2016.26",14,"Y","NIWO_003.N.20160628","Ok","Ok","Ok","NEON.DOC.014050vH","Ji4OKY0Opajnq0SAWKqACItMAkkkfnH7",
"41ec09d5-7907-4539-95fe-e3f6acff64b8","NIWO_006.basePlot.bet","D13","NIWO","NIWO_006","N","distributed","grasslandHerbaceous",40.055052,-105.561552,"WGS84",20.1,3469.2,0.1,"2016-06-14","2016-06-28","NIWO.2016.26",14,"Y","NIWO_006.N.20160628","Ok","Ok","Ok","NEON.DOC.014050vH","Ji4OKY0Opajnq0SAWKqACItMAkkkfnH7",
"96a64ff0-2f56-4e43-87a0-ea1a288be769","NIWO_008.basePlot.bet","D13","NIWO","NIWO_008","S","distributed","grasslandHerbaceous",40.054475,-105.567875,"WGS84",20.1,3500.2,0.1,"2016-06-14","2016-06-28","NIWO.2016.26",14,"Y","NIWO_008.S.20160628","Ok","Ok","Low","NEON.DOC.014050vH","Ji4OKY0Opajnq0SAWKqACItMAkkkfnH7",
"982a41fe-ca81-4a42-a94d-9a44244bc464","NIWO_006.basePlot.bet","D13","NIWO","NIWO_006","S","distributed","grasslandHerbaceous",40.055052,-105.561552,"WGS84",20.1,3469.2,0.1,"2016-06-14","2016-06-28","NIWO.2016.26",14,"Y","NIWO_006.S.20160628","Ok","Ok","Ok","NEON.DOC.014050vH","Ji4OKY0Opajnq0SAWKqACItMAkkkfnH7",
