uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,identifiedDate,subsampleID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,totalLength,identifiedBy,recordedBy,remarks
"862bf40b-dcb8-489a-b7c3-f070df0d8fa6","JORN_007.basePlot.bet","D14","JORN","JORN_007","E","2015-05-14","2015-05-28","2015-11-11","2016-11-11","VAvCuiXwPERFi088VRdIAY6ejYkU25ElH2PwrRKnq1c=","NEON.BET.D14.000013","SELPLA","Selenophorus planipennis","species","cf. species","LeConte",,"Arnett Jr., R. H., and M. C. Thomas. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. (C. Press, Ed.). 1st Ed. Boca Raton, FL.",,"a0DIygQs4rguY6Ey57+V6npgK+c4E00t","a0DIygQs4rguY6Ey57+V6npgK+c4E00t","pinned as D14.2015.morphF"
"92ad7aec-3b89-42bb-95f0-50463cb91bdd","JORN_001.basePlot.bet","D14","JORN","JORN_001","N","2015-05-14","2015-05-28","2015-11-10","2015-11-10","3v6e8eJloSqrnMvjzElrLzjxhh5xuy7wg/1cPeKih84=","NEON.BET.D14.000001","SELPLA","Selenophorus planipennis","species","cf. species","LeConte",,"Other",,"a0DIygQs4rguY6Ey57+V6npgK+c4E00t","a0DIygQs4rguY6Ey57+V6npgK+c4E00t","pinned as D14.2015.morphF"
"07825a39-17ed-414a-bb14-15420e358388","JORN_010.basePlot.bet","D14","JORN","JORN_010","S","2015-05-14","2015-05-28","2015-11-11","2015-11-11","7i+fBpY+jSAfQb1Q45XhLifOjBDOv+QLo1+UEKQ+uvI=","NEON.BET.D14.000017","SELPLA","Selenophorus planipennis","species","cf. species","LeConte",,"Arnett Jr., R. H., and M. C. Thomas. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. (C. Press, Ed.). 1st Ed. Boca Raton, FL.",,"a0DIygQs4rguY6Ey57+V6npgK+c4E00t","a0DIygQs4rguY6Ey57+V6npgK+c4E00t","pinned as D14.2015.morphF"
"4e89ac1c-136e-4f58-b5eb-8249363fde95","JORN_009.basePlot.bet","D14","JORN","JORN_009","S","2015-05-14","2015-05-28","2015-11-11","2015-11-11","y6i9xP3scmNpFh5h/MaSDxZqOSTRR6Gtx5af8grqtB4=","NEON.BET.D14.000014","SELPLA","Selenophorus planipennis","species","cf. species","LeConte",,"Arnett Jr., R. H., and M. C. Thomas. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. (C. Press, Ed.). 1st Ed. Boca Raton, FL.",,"a0DIygQs4rguY6Ey57+V6npgK+c4E00t","a0DIygQs4rguY6Ey57+V6npgK+c4E00t","pinned as D14.2015.morphF"
"cf83ad0d-5ab3-4b95-91f6-3d6d463a4d6e","JORN_007.basePlot.bet","D14","JORN","JORN_007","S","2015-05-14","2015-05-28","2015-11-11","2016-11-11","VAvCuiXwPETxg0tZ5sUq7N2K2lx5mATvf8k0ROy05AI=","NEON.BET.D14.000012","SELPLA","Selenophorus planipennis","species","cf. species","LeConte",,"Arnett Jr., R. H., and M. C. Thomas. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. (C. Press, Ed.). 1st Ed. Boca Raton, FL.",,"a0DIygQs4rguY6Ey57+V6npgK+c4E00t","a0DIygQs4rguY6Ey57+V6npgK+c4E00t","pinned as D14.2015.morphF"
"2cde3533-6a6c-4d49-8696-d153ed57b2e9","JORN_007.basePlot.bet","D14","JORN","JORN_007","W","2015-05-14","2015-05-28","2015-11-11","2015-11-11","VAvCuiXwPER4RSqKIm38lehcfHwNlxTagb+AqrLuGAo=","NEON.BET.D14.000011","TETPAL","Tetragonoderus pallidus","species","cf. species","Horn",,"Arnett Jr., R. H., and M. C. Thomas. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. (C. Press, Ed.). 1st Ed. Boca Raton, FL.",,"a0DIygQs4rguY6Ey57+V6npgK+c4E00t","a0DIygQs4rguY6Ey57+V6npgK+c4E00t","pinned as D14.2015.morphG"
"ac9559e5-f0ae-4918-8549-c8572270ce7d","JORN_003.basePlot.bet","D14","JORN","JORN_003","S","2015-05-14","2015-05-28","2015-11-10","2015-11-10","vMYzv3M3ch16O1qnlnCBMOLtjlJxevNtkATPS+j0xVs=","NEON.BET.D14.000005","SELPLA","Selenophorus planipennis","species","cf. species","LeConte",,"Arnett Jr., R. H., and M. C. Thomas. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. (C. Press, Ed.). 1st Ed. Boca Raton, FL.",,"a0DIygQs4rguY6Ey57+V6npgK+c4E00t","a0DIygQs4rguY6Ey57+V6npgK+c4E00t","pinned as D14.2015.morphF"
"d31d13ed-1845-484d-ba2d-87370e27b85b","JORN_010.basePlot.bet","D14","JORN","JORN_010","S","2015-05-14","2015-05-28","2015-11-11","2015-11-11","7i+fBpY+jSAfQb1Q45XhLifOjBDOv+QLo1+UEKQ+uvI=","NEON.BET.D14.000018","TETPAL","Tetragonoderus pallidus","species","cf. species","Horn",,"Arnett Jr., R. H., and M. C. Thomas. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. (C. Press, Ed.). 1st Ed. Boca Raton, FL.",,"a0DIygQs4rguY6Ey57+V6npgK+c4E00t","a0DIygQs4rguY6Ey57+V6npgK+c4E00t","pinned as D14.2015.morphG"
"ff359eea-91a6-4161-a79f-749af427f9c9","JORN_002.basePlot.bet","D14","JORN","JORN_002","S","2015-05-14","2015-05-28","2015-11-10","2015-11-10","2j1n+GhCoGYbKtaO6/sc4MZJHsSTfZOnoJrCGt9/RMA=","NEON.BET.D14.000004","SELPLA","Selenophorus planipennis","species","cf. species","LeConte",,"Arnett Jr., R. H., and M. C. Thomas. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. (C. Press, Ed.). 1st Ed. Boca Raton, FL.",,"a0DIygQs4rguY6Ey57+V6npgK+c4E00t","a0DIygQs4rguY6Ey57+V6npgK+c4E00t","pinned as D14.2015.morphF"
"4f6a9b73-f1c9-4b84-927b-f66537d93186","JORN_005.basePlot.bet","D14","JORN","JORN_005","E","2015-05-14","2015-05-28","2015-11-11","2015-11-11","aOplpjduR3TtZEjpaGSqEY7kSZEz/LBwXiKZiqeOdPI=","NEON.BET.D14.000010","PASOBS","Pasimachus obsoletus","species","cf. species","LeConte",,"Arnett Jr., R. H., and M. C. Thomas. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. (C. Press, Ed.). 1st Ed. Boca Raton, FL.",,"a0DIygQs4rguY6Ey57+V6npgK+c4E00t","a0DIygQs4rguY6Ey57+V6npgK+c4E00t","pinned as D14.2015.morphH"
