uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,processingDate,subsampleIDList,archiveVialID,scientificName,recordedBy,remarks
"5eb8354d-1dc3-46e4-a613-cc1ecfefe33f","JORN_002.basePlot.bet","D14","JORN","JORN_002","2016-04-19","2016-05-03","2016-05-20","2j1n+GhCoGaJsZRgxTsMk8Eh4X7zCDuSdRVv5SgE3uU/sQdkG/jg+EEXLZCVovsVxfJJeAOznIKrByPa1+rSNw8y71sN4WaMot1P8fsIiJ5ofPHUijoT8HUqVePFJ2VqQbT7rbXMH1A=","2j1n+GhCoGaYMsdFe68VTz2U4bnt9q/4",,,
"a9c961a5-7efa-4188-9b6d-4e848d9a0e65","JORN_006.basePlot.bet","D14","JORN","JORN_006","2016-04-19","2016-05-03","2016-05-19","Z5DETg5NA9CIGa6hAuBEUlwCqZv8d/aaP+/zjvYrLuqNMy/LAzewQvOu9ByQtD+SwttP0ITy/sf/gJpsmHn3RzGYg+D5D1ojVwdHukI9MR7JYUI2pReW+Xgfjn0eRyhjaXypZsbJsH4=","Z5DETg5NA9C1OINAz9wM4K/wEGTo5Azi",,,
"a8dfd723-347c-47b9-ac05-99c2c0870887","JORN_005.basePlot.bet","D14","JORN","JORN_005","2016-04-19","2016-05-03","2016-05-20","aOplpjduR3QxvHoW+XPwU4xyXISlfTcX19sLDDgMqrhyCRYGGIZShPERMgrovhsqA41Hp2G2tdWJhBxV0woDg//e6oh9zhh6fUUSBTQV8p1zaUMnTOylqK9dS0bkdXfpfrZSXOfyMeI=","aOplpjduR3TDgQkR2Cn6m0xPvuHd0APu",,,
"57cfcf3f-ddd4-4060-aa1e-23e876ad59c0","JORN_004.basePlot.bet","D14","JORN","JORN_004","2016-04-19","2016-05-03","2016-05-19","uZCwT0U74cfV0+CxJfOCgR/Hb31b91WzemHXvHBjP1lwPxgMXEp1N8ZNRSKtFoDE7H2qF9CkLG4ekPKHc/invXzFuJ06ZxDrEF/BmVQKhA02Xdh7s4Qx+E/JW7T9mjSZbiJm6fYEsjc=","uZCwT0U74cdB+DGnuwa1EpNKqo1TtUom",,,
"5bac62fe-3339-477b-9524-87e90aaaffcc","JORN_008.basePlot.bet","D14","JORN","JORN_008","2016-04-19","2016-05-03","2016-05-19","eTKs083kZ6Fwn9JWKzkhLeISnbkys1XYTOgBVUtG0fEt4vaPc6LnwJsXQ4M/9Wh6KQzbw/B/xBwuq5sHY4glN/eA8TuLR7ieuiWNKuOxc9hJm8LSXrymojI0pGxZFDkmm63ZNha7pxo=","eTKs083kZ6HPqZ3qV0MqTgNk2pNGvqAW",,,
"f8fceccf-ce10-479f-a62d-cb363fee4c98","JORN_007.basePlot.bet","D14","JORN","JORN_007","2016-04-19","2016-05-03","2016-05-20","VAvCuiXwPEQZzF6o/NgtPmrRiMCM1QU9651LEBxmD8oEU5U18D/+DXFouLNa2TyOajLGqbBV7e+QWmtIZ/iLoPiSk57oaMfR95b65vY1sAsIvJU3DbE/eX8It1GeOeyTAyiuTldNwwE=","VAvCuiXwPERTRRwa4V+lDQYST4y4dW5e",,,
"94d41e0a-95ac-4392-ac1c-ec54ed7c1bf3","JORN_003.basePlot.bet","D14","JORN","JORN_003","2016-04-19","2016-05-03","2016-05-19","vMYzv3M3ch1xzM41qq1XZmyZ1RBEvRRavFmZjbsL80surJsjF9fVD9vS+jBgbL2tdNG6BgYylabnWRGVP0a1O+EvRJo1riJ5ioXWm/MjkW3VKh0x99+HYihMRhWFve1JZKlEzhC3CdQ=","vMYzv3M3ch1RxrCyDi1Nwo70uiZwqnDk",,,
"32be5423-bbaa-4a0e-ad8d-55fb5b0fe744","JORN_004.basePlot.bet","D14","JORN","JORN_004","2016-05-03","2016-05-17","2016-06-10","uZCwT0U74cfV0+CxJfOCgcKvtvvEUmGtkKKfLQYtcvlyxbORoKAK2bCbdmkmgMkdFirnbfXSAAfk1qC8b+tNrOMB5kkIjIbW7Zo3hNm98wG94kPpgylmcH+3dGp/5HUF3eUOuvdkn/U=","uZCwT0U74cdj96j1AKyB7oQ9BImfb8D6",,,
"270af519-79fa-4da1-8213-f8b3b17bd0e5","JORN_003.basePlot.bet","D14","JORN","JORN_003","2016-05-03","2016-05-17","2016-06-09","vMYzv3M3ch2W0oKmiEyz9a5/P5/NWnqlgFHNaw+WadtNTZMNb83lX8aDUayHp/npqktc7pEez8x3CmS3FdPpA7JpUfSHcKC34dufp3YSet6W71K4fExxYVEPvuZ7EpfLSmixiMVGgIQ=","vMYzv3M3ch3z0CgiKsDf/mw7t47s1mm+",,,
"842a00b1-81e4-4db6-986d-09457b3f34a5","JORN_001.basePlot.bet","D14","JORN","JORN_001","2016-05-03","2016-05-17","2016-06-09","3v6e8eJloSrGFhCEiTSFDOW2oCeSeTjf97mCOBpWQHbUIm8v++gqWGnRP3BoPVRs8PLsI9Uh3AkXmSFVZXZhugJtYH7X7qy3gbAYb7DAJR0=","3v6e8eJloSrK+g3gWVeuF1KpVeENHhR9",,,
