uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"9c232b13-8b63-4252-8b4b-a5a03c0a4527","JORN_008.basePlot.bet","D14","JORN","JORN_008","E","distributed","shrubScrub",32.593905,-106.797359,"WGS84",20.1,1320.0,0.1,"2017-05-24","2017-06-07","JORN.2017.24",14,"Y","JORN_008.E.20170607","Ok","Ok","Ok","NEON.DOC.014050vK","BJ4rUE/J18KM5C7v66YW51DT+JD8ufx4yfepA3oB6bU=",
"a63aef9f-8a91-47bf-a2ca-9990b03daebc","JORN_001.basePlot.bet","D14","JORN","JORN_001","E","distributed","shrubScrub",32.604930,-106.802046,"WGS84",20.1,1323.4,0.1,"2017-05-24","2017-06-07","JORN.2017.24",14,"Y","JORN_001.E.20170607","Ok","Ok","Ok","NEON.DOC.014050vK","BJ4rUE/J18KM5C7v66YW51DT+JD8ufx4yfepA3oB6bU=",
"f45d125f-7678-4e2b-8956-1f750601aff0","JORN_008.basePlot.bet","D14","JORN","JORN_008","W","distributed","shrubScrub",32.593905,-106.797359,"WGS84",20.1,1320.0,0.1,"2017-05-24","2017-06-07","JORN.2017.24",14,"Y","JORN_008.W.20170607","Ok","Ok","Ok","NEON.DOC.014050vK","BJ4rUE/J18KM5C7v66YW51DT+JD8ufx4yfepA3oB6bU=",
"e3290d3b-7508-49d2-a74c-055e7d7ba68d","JORN_003.basePlot.bet","D14","JORN","JORN_003","W","distributed","shrubScrub",32.600614,-106.838099,"WGS84",20.1,1321.1,0.1,"2017-05-24","2017-06-07","JORN.2017.24",14,"Y","JORN_003.W.20170607","Ok","Ok","Ok","NEON.DOC.014050vK","BJ4rUE/J18KM5C7v66YW51DT+JD8ufx4yfepA3oB6bU=",
"f757182a-e68c-46e3-b272-29aea4eccef9","JORN_003.basePlot.bet","D14","JORN","JORN_003","E","distributed","shrubScrub",32.600614,-106.838099,"WGS84",20.1,1321.1,0.1,"2017-05-24","2017-06-07","JORN.2017.24",14,"Y","JORN_003.E.20170607","Ok","Ok","Ok","NEON.DOC.014050vK","BJ4rUE/J18KM5C7v66YW51DT+JD8ufx4yfepA3oB6bU=",
"4a516529-1692-4229-b2a3-182f775b37fc","JORN_008.basePlot.bet","D14","JORN","JORN_008","S","distributed","shrubScrub",32.593905,-106.797359,"WGS84",20.1,1320.0,0.1,"2017-05-24","2017-06-07","JORN.2017.24",14,"Y","JORN_008.S.20170607","Ok","Ok","Ok","NEON.DOC.014050vK","BJ4rUE/J18KM5C7v66YW51DT+JD8ufx4yfepA3oB6bU=",
"00b656b5-aa82-4166-8465-aa56ffa9909a","JORN_003.basePlot.bet","D14","JORN","JORN_003","S","distributed","shrubScrub",32.600614,-106.838099,"WGS84",20.1,1321.1,0.1,"2017-05-24","2017-06-07","JORN.2017.24",14,"Y","JORN_003.S.20170607","Ok","Ok","Ok","NEON.DOC.014050vK","BJ4rUE/J18KM5C7v66YW51DT+JD8ufx4yfepA3oB6bU=",
"b95db8d4-8ed8-4f9c-9a21-f6fedd188531","JORN_003.basePlot.bet","D14","JORN","JORN_003","N","distributed","shrubScrub",32.600614,-106.838099,"WGS84",20.1,1321.1,0.1,"2017-05-24","2017-06-07","JORN.2017.24",14,"Y","JORN_003.N.20170607","Ok","Ok","Ok","NEON.DOC.014050vK","BJ4rUE/J18KM5C7v66YW51DT+JD8ufx4yfepA3oB6bU=",
"5718b7fd-9010-47b2-b3ff-8a7daa8864b4","JORN_006.basePlot.bet","D14","JORN","JORN_006","E","distributed","shrubScrub",32.590562,-106.824460,"WGS84",20.1,1323.2,0.1,"2017-05-24","2017-06-07","JORN.2017.24",14,"Y","JORN_006.E.20170607","Ok","Ok","Ok","NEON.DOC.014050vK","BJ4rUE/J18KM5C7v66YW51DT+JD8ufx4yfepA3oB6bU=",
"296aaf7c-abe6-4bf8-89d4-80047a18febc","JORN_006.basePlot.bet","D14","JORN","JORN_006","N","distributed","shrubScrub",32.590562,-106.824460,"WGS84",20.1,1323.2,0.1,"2017-05-24","2017-06-07","JORN.2017.24",14,"Y","JORN_006.N.20170607","Ok","Ok","Ok","NEON.DOC.014050vK","BJ4rUE/J18KM5C7v66YW51DT+JD8ufx4yfepA3oB6bU=",
