uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"b1392494-55f3-4840-a85e-624bf4d4d009","SRER_001.basePlot.bet","D14","SRER","SRER_001","S","distributed","shrubScrub",31.862142,-110.818853,"WGS84",20.1,1172.1,0.1,"2017-05-03","2017-05-17","SRER.2017.21",14,"Y","SRER_001.S.20170517","Ok","Ok","Ok","NEON.DOC.014050vK","5P9rmOp1P9qsXQarJJnM4rTn6gaFs3TLl2ehsbMRLi8=",
"48ab8258-0516-43a6-8431-b570d14f8279","SRER_006.basePlot.bet","D14","SRER","SRER_006","W","distributed","shrubScrub",31.795656,-110.910239,"WGS84",20.1,1048.6,0.1,"2017-05-03","2017-05-17","SRER.2017.21",14,"Y","SRER_006.W.20170517","Ok","Ok","Ok","NEON.DOC.014050vK","xhUh41HrIcfEaWpdXLRKlm3mcsT1p3YLWaStB1UQVQE=",
"16d7fb6e-9077-4019-bbc0-d015a420fd2b","SRER_001.basePlot.bet","D14","SRER","SRER_001","W","distributed","shrubScrub",31.862142,-110.818853,"WGS84",20.1,1172.1,0.1,"2017-05-03","2017-05-17","SRER.2017.21",14,"N",,"Disturbed","Ok","Low","NEON.DOC.014050vK","5P9rmOp1P9qsXQarJJnM4rTn6gaFs3TLl2ehsbMRLi8=","Cup filled with gravel"
"22e7c2b5-65d4-424c-aee7-93be65cb77bb","SRER_001.basePlot.bet","D14","SRER","SRER_001","E","distributed","shrubScrub",31.862142,-110.818853,"WGS84",20.1,1172.1,0.1,"2017-05-03","2017-05-17","SRER.2017.21",14,"Y","SRER_001.E.20170517","Ok","Ok","Ok","NEON.DOC.014050vK","5P9rmOp1P9qsXQarJJnM4rTn6gaFs3TLl2ehsbMRLi8=",
"554c3d77-06ee-465a-b9d0-464b2d08577b","SRER_009.basePlot.bet","D14","SRER","SRER_009","E","distributed","shrubScrub",31.844582,-110.834730,"WGS84",20.1,1145.2,0.1,"2017-05-03","2017-05-17","SRER.2017.21",14,"Y","SRER_009.E.20170517","Ok","Ok","Ok","NEON.DOC.014050vK","xhUh41HrIcfEaWpdXLRKlm3mcsT1p3YLWaStB1UQVQE=",
"85c0d1bd-7a4a-431a-8566-e40ef009ea74","SRER_009.basePlot.bet","D14","SRER","SRER_009","N","distributed","shrubScrub",31.844582,-110.834730,"WGS84",20.1,1145.2,0.1,"2017-05-03","2017-05-17","SRER.2017.21",14,"Y","SRER_009.N.20170517","Ok","Ok","Ok","NEON.DOC.014050vK","xhUh41HrIcfEaWpdXLRKlm3mcsT1p3YLWaStB1UQVQE=",
"acc75c08-0303-418f-8a16-c7eb941d2941","SRER_009.basePlot.bet","D14","SRER","SRER_009","W","distributed","shrubScrub",31.844582,-110.834730,"WGS84",20.1,1145.2,0.1,"2017-05-03","2017-05-17","SRER.2017.21",14,"Y","SRER_009.W.20170517","Ok","Ok","Ok","NEON.DOC.014050vK","xhUh41HrIcfEaWpdXLRKlm3mcsT1p3YLWaStB1UQVQE=",
"30dc9d1b-a8b5-47ef-beb2-d669cb3918fa","SRER_004.basePlot.bet","D14","SRER","SRER_004","S","distributed","shrubScrub",31.906778,-110.815262,"WGS84",20.0,1044.5,0.0,"2017-05-03","2017-05-17","SRER.2017.21",14,"Y","SRER_004.S.20170517","Ok","Ok","Ok","NEON.DOC.014050vK","5P9rmOp1P9qsXQarJJnM4rTn6gaFs3TLl2ehsbMRLi8=",
"4cd1525a-23c5-48f7-8dd1-406f297b2ec1","SRER_009.basePlot.bet","D14","SRER","SRER_009","S","distributed","shrubScrub",31.844582,-110.834730,"WGS84",20.1,1145.2,0.1,"2017-05-03","2017-05-17","SRER.2017.21",14,"Y","SRER_009.S.20170517","Ok","Ok","Low","NEON.DOC.014050vK","xhUh41HrIcfEaWpdXLRKlm3mcsT1p3YLWaStB1UQVQE=",
"9fac1927-4008-4f81-ac55-b63b148e176e","SRER_004.basePlot.bet","D14","SRER","SRER_004","W","distributed","shrubScrub",31.906778,-110.815262,"WGS84",20.0,1044.5,0.0,"2017-05-03","2017-05-17","SRER.2017.21",14,"Y","SRER_004.W.20170517","Ok","Ok","Ok","NEON.DOC.014050vK","5P9rmOp1P9qsXQarJJnM4rTn6gaFs3TLl2ehsbMRLi8=",
"76558f19-1eff-46a6-b19d-ff00620984fb","SRER_004.basePlot.bet","D14","SRER","SRER_004","E","distributed","shrubScrub",31.906778,-110.815262,"WGS84",20.0,1044.5,0.0,"2017-05-03","2017-05-17","SRER.2017.21",14,"Y","SRER_004.E.20170517","Ok","Ok","Ok","NEON.DOC.014050vK","5P9rmOp1P9qsXQarJJnM4rTn6gaFs3TLl2ehsbMRLi8=",
"280e9831-7de3-463b-9410-e264be17f9ce","SRER_004.basePlot.bet","D14","SRER","SRER_004","N","distributed","shrubScrub",31.906778,-110.815262,"WGS84",20.0,1044.5,0.0,"2017-05-03","2017-05-17","SRER.2017.21",14,"Y","SRER_004.N.20170517","Ok","Ok","Ok","NEON.DOC.014050vK","5P9rmOp1P9qsXQarJJnM4rTn6gaFs3TLl2ehsbMRLi8=",
"f08f1c7d-6b2d-43d6-aaa7-aec0c26d7cb6","SRER_002.basePlot.bet","D14","SRER","SRER_002","E","distributed","shrubScrub",31.870334,-110.856598,"WGS84",20.1,1032.0,0.1,"2017-05-03","2017-05-17","SRER.2017.21",14,"Y","SRER_002.E.20170517","Ok","Ok","Ok","NEON.DOC.014050vK","5P9rmOp1P9qsXQarJJnM4rTn6gaFs3TLl2ehsbMRLi8=",
"f7da30e9-103b-49ad-8e1e-18b73b469eda","SRER_005.basePlot.bet","D14","SRER","SRER_005","S","distributed","shrubScrub",31.828844,-110.823985,"WGS84",20.1,1261.1,0.1,"2017-05-03","2017-05-17","SRER.2017.21",14,"Y","SRER_005.S.20170517","Ok","Ok","Ok","NEON.DOC.014050vK","xhUh41HrIcfEaWpdXLRKlm3mcsT1p3YLWaStB1UQVQE=",
"08bf7d21-0a87-47f7-b1c1-af8530472b4b","SRER_002.basePlot.bet","D14","SRER","SRER_002","S","distributed","shrubScrub",31.870334,-110.856598,"WGS84",20.1,1032.0,0.1,"2017-05-03","2017-05-17","SRER.2017.21",14,"Y","SRER_002.S.20170517","Ok","Ok","Ok","NEON.DOC.014050vK","5P9rmOp1P9qsXQarJJnM4rTn6gaFs3TLl2ehsbMRLi8=",
"fb0e2ccd-1bfe-40c3-b41b-5515c3b4f7d4","SRER_002.basePlot.bet","D14","SRER","SRER_002","W","distributed","shrubScrub",31.870334,-110.856598,"WGS84",20.1,1032.0,0.1,"2017-05-03","2017-05-17","SRER.2017.21",14,"Y","SRER_002.W.20170517","Ok","Ok","Ok","NEON.DOC.014050vK","5P9rmOp1P9qsXQarJJnM4rTn6gaFs3TLl2ehsbMRLi8=",
