uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,processingDate,subsampleIDList,archiveVialID,scientificName,recordedBy,remarks
"02258cfe-c2ee-4a67-9708-a142432b90cd","ONAQ_010.basePlot.bet","D15","ONAQ","ONAQ_010","2014-08-14","2014-09-03","2015-04-17","M9mpm55gKLWbvNmHV1xFsMdY5RjPLIk1ViFos8GqE80WU5kHlBKPekOCDTlqLuXP7KlMAhcodLTpdU6V2whxMbj9VBUeIFB0cWmLV1ByXEo0bF+EZcx9rwtVl/033/C+JITQ4ec0J/k=","M9mpm55gKLXW6bxnNCWzIFFO7J9Yi6J4",,,
"42fc7fc4-7fe5-4efa-bc94-68c3510ad5d0","ONAQ_007.basePlot.bet","D15","ONAQ","ONAQ_007","2014-08-14","2014-09-03","2014-09-04","ucKi/aIj19lxyMhPHIf28GFA1eQlTSU6Cal2x4vWL/xO4D9+mviMyw4VbiAgjRiBG7HBdQLaSVuv7SD6sJm+2jHxb5/pcdb2Y0f2F9Q5VMB3xeUm1Le5X4OfU18OkljmSAH7KjB7sVo=","ucKi/aIj19l3NymY3YmVnewRv5PE7792",,,
"503476c4-3838-4486-a5cc-1e082ee4a76e","ONAQ_003.basePlot.bet","D15","ONAQ","ONAQ_003","2014-08-14","2014-09-03","2014-09-04","nIFIFPhA1d2a2Ffej1W6nvhdJUM3xp9o+twcwcD8yv1HKM78MvIeUwdBh0c3MAnUG9HAUU/hqNkzbG/1+ZyF2waj7vcvDADBt6SrDAPywfZ9svxgbleRm4+cww4vQiQ8AGFcYCyoCmM=","nIFIFPhA1d1WONMTy2yJTzFwHOOAn+JR",,,
"cce8c076-8f1f-418c-9bbf-661580741b4b","ONAQ_005.basePlot.bet","D15","ONAQ","ONAQ_005","2014-08-14","2014-09-03","2014-09-05","zbCBMrXz8WnH+WKWqijoaU5vyPzAlD36DXwJ1zH1K5G9kOpfcujUL2MK4oeGbWIV775Rl6AhMOtmGujUIgrM3M98dk7z3O1oHEwpq+kbReZq3MltASXWpmlwZqZGVMJSEfZsaRsuUyU=","zbCBMrXz8WmtYXsds2V9rANI1ilPB3Ma",,,
"6eb8d26e-395d-45b0-8355-01bde7629ced","ONAQ_008.basePlot.bet","D15","ONAQ","ONAQ_008","2014-08-14","2014-09-03","2014-09-08","+TPYXpQPuKynuAltgUpFLiTYH4+gJpCtFzomw/Vaav9l1deWfoOWDSlRzzi0IDOXe5L2ld7fwPsX4MKQdXkssxKkKJ6ZYGoWTRDo8Qd4KE0+91sOtio0YsGV015gwGRy3ohHwP1W62U=","+TPYXpQPuKyQqXAlggufgrPEGvkP7wWD",,,
"4e6abda6-9bf9-4263-807c-7e0be4e8a567","ONAQ_006.basePlot.bet","D15","ONAQ","ONAQ_006","2014-08-14","2014-09-03","2015-04-17","yp/8bbRjrLKNyMWeX4gL7WMXICHoHAfduNarMvOl1KPUVENou/lqnum+YNT3sHv180pzR15Esrwx8uxFSXjZUKBGwCTQlaUa7ZRTYKf61n4yI09iO7uFLXkh9zu0SFAYkcljqWOSeiw=","yp/8bbRjrLIfEyTUGk3pWtCQetvKn+NP",,,
"f78d5813-b41d-4fee-b4a2-a556c4242454","ONAQ_012.basePlot.bet","D15","ONAQ","ONAQ_012","2014-08-14","2014-09-03","2015-04-17","f9VgFEDSFE7sqbkimK3bkzvz9LD+4REO0frs+i0fXu42oYehOs8dIbjGwfArYz9h3braei55gfRzuUiJxjCIBJhRimFwrupVDhurRrypU8r2jTQk+amNRHynkVqtBiANFr+0cxga5MM=","f9VgFEDSFE5JLbE2SdXbwL740wg3OXKB",,,
"a4feecb3-8b3d-48f3-b21b-aa7f5d056b48","ONAQ_009.basePlot.bet","D15","ONAQ","ONAQ_009","2014-08-14","2014-09-03","2015-04-17","HS20H6sTX3GK28P31bY/A4BlZr/GSMnNfr6B9S9rGqCdtbNKN4q7+Vx5BOf/wEkKQT2fw4P5PIrlKMNCFXRQgg3qP7qFLjqx4qNLERBkoz8XuslJxPIhpR7PP91IKATm2hs6p038Qnw=","HS20H6sTX3EEwIr9EAPaFE+xWzhe+QiU",,,
"9b753e36-4c91-4748-8d54-b231d647694e","ONAQ_002.basePlot.bet","D15","ONAQ","ONAQ_002","2014-09-03","2014-09-11","2014-09-16","sFUsB1SyHExDvLoOwXYZL2OC3qdyXsNyEEWSPNnDebmDWvLQLoIyC4fg5LYqemTBOwLah7Uq8qA=","sFUsB1SyHEzhlhJX7kvySmRTTeOqbUkr",,,
"a48842b3-d089-4db9-ac94-179c7a0b8cf0","ONAQ_002.basePlot.bet","D15","ONAQ","ONAQ_002","2014-09-03","2014-09-11","2014-09-16","sFUsB1SyHEzC+y8vUlY+7To9nvTtWXVNPScxBszSLyEp7pLT/A7KxLnvyL9LQip1zpPpTtHcawU=","sFUsB1SyHEzhlhJX7kvySrTgvlq0ZjIg",,,
