uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"371428e7-7fc1-400b-9886-8dc3b98fac37","ONAQ_004.basePlot.bet","D15","ONAQ","ONAQ_004","S","2014-08-14","2014-09-03","2014-09-04","2015-04-17","2015-04-17","ONAQ_004.S.20140903","oF4AZF7DP5kpxOVfzLPZSEnURN7CMUOEqfp/THIJj7s=","carabid","CARSP14","Carabidae sp.","family",,"Latreille","D15.2014.MorphB",14,"Arnett Jr., R. H., and M. C. Thomas. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. (C. Press, Ed.). 1st Ed. Boca Raton, FL.","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY","No remarks"
"4b7d0a86-3b3d-4fa8-ba62-70b19406b47c","ONAQ_004.basePlot.bet","D15","ONAQ","ONAQ_004","S","2014-08-14","2014-09-03","2014-09-04","2015-04-17","2015-04-17","ONAQ_004.S.20140903","oF4AZF7DP5kpxOVfzLPZSEnURN7CMUOEtc9dN3JXAgk=","carabid","CARSP14","Carabidae sp.","family",,"Latreille","D15.2014.MorphC",8,"Arnett Jr., R. H., and M. C. Thomas. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. (C. Press, Ed.). 1st Ed. Boca Raton, FL.","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY",
"bf1b6e69-7cb8-42f2-9a79-e708235271dc","ONAQ_006.basePlot.bet","D15","ONAQ","ONAQ_006","S","2014-08-14","2014-09-03","2014-09-04","2015-04-17","2015-04-17","ONAQ_006.S.20140903","yp/8bbRjrLLRUJb42Jw/zPoAQqNzrFnDceFgKh78Da4=","carabid","CARSP14","Carabidae sp.","family",,"Latreille","D15.2014.MorphB",2,"Arnett Jr., R. H., and M. C. Thomas. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. (C. Press, Ed.). 1st Ed. Boca Raton, FL.","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY",
"9745c661-9661-462c-aa11-4d301f0748cf","ONAQ_009.basePlot.bet","D15","ONAQ","ONAQ_009","S","2014-08-14","2014-09-03","2014-09-04","2014-09-08","2014-09-04","ONAQ_009.S.20140903","HS20H6sTX3Gzxj1TKeqZbMxVU+8UCvvFp1/I6D+KGvM=","vert bycatch herp","SCELSP","Sceloporus sp.","genus","cf. species",,,1,"Stebbins, R. C. and R. T. Peterson. 2003. A Peterson Field Guide to Western Reptiles and Amphibians. 3rd Ed. Houghton Mifflin Company, New York, NY.","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM","Taken to Jack Sites lab at BYU according to state collection permit."
"bf8066ba-7fc4-4a9a-a298-116badef8546","ONAQ_007.basePlot.bet","D15","ONAQ","ONAQ_007","S","2014-08-14","2014-09-03","2014-09-04","2014-09-04",,"ONAQ_007.S.20140903","ucKi/aIj19nBknrJ9wEF3BsJzdQWkI0CgcOVWU/EZjM=","invert bycatch",,,,,,,,,,"MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=",
"f4197ae1-0c23-4301-86b1-c15f93f22779","ONAQ_005.basePlot.bet","D15","ONAQ","ONAQ_005","W","2014-08-14","2014-09-03","2014-09-04","2014-09-05",,"ONAQ_005.W.20140903","zbCBMrXz8WmRwA6CAidS/uQXMwl7BqA7xcdGbiAWBGY=","invert bycatch",,,,,,,,,,"B5YzZg28369xWGye0Wf9qxMwC1Zdm1gM",
"8b4fc6d1-ff02-4c15-a0b2-91f949b499f1","ONAQ_012.basePlot.bet","D15","ONAQ","ONAQ_012","W","2014-08-14","2014-09-03","2014-09-04","2015-04-17","2015-04-17","ONAQ_012.W.20140903","f9VgFEDSFE7Hy9zrTdEDM1Enxj6WAXzx5vTdUlCdzGQ=","carabid","CARSP14","Carabidae sp.","family",,"Latreille","D15.2014.MorphB",1,"Arnett Jr., R. H., and M. C. Thomas. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. (C. Press, Ed.). 1st Ed. Boca Raton, FL.","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY",
"a1334728-8f91-46be-88a1-554ca1674e7e","ONAQ_007.basePlot.bet","D15","ONAQ","ONAQ_007","W","2014-08-14","2014-09-03","2014-09-04","2014-09-04",,"ONAQ_007.W.20140903","ucKi/aIj19m5sFLwO3Nt901cqWwGHMnXhdNDwmYmgX0=","invert bycatch",,,,,,,,,,"MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=",
"1a996e25-fd42-4c54-b9b2-f9ac173f9586","ONAQ_010.basePlot.bet","D15","ONAQ","ONAQ_010","W","2014-08-14","2014-09-03","2014-09-04","2015-04-17","2015-04-17","ONAQ_010.W.20140903","M9mpm55gKLXC9OEK69+NEyqNrISiSvyDry7oncAYarc=","carabid","CARSP14","Carabidae sp.","family",,"Latreille","D15.2014.MorphB",18,"Arnett Jr., R. H., and M. C. Thomas. 2001. American Beetles Archosemata, Myxophaga, Adephaga, Polyphaga: Staphyliniformia. 1st Vol. (C. Press, Ed.). 1st Ed. Boca Raton, FL.","z9Nb0fxJczdmi0utaYua6PSPTHDIrAD9","/h2P7iNCFob6MrtXvZ/0KV0VExqkPzVY",
"3c96e53a-c56a-4871-aafc-33e1a33f2c2f","ONAQ_008.basePlot.bet","D15","ONAQ","ONAQ_008","W","2014-08-14","2014-09-03","2014-09-04","2014-09-08",,"ONAQ_008.W.20140903","+TPYXpQPuKzJ9UBUupkxJjX49K6TpwylM5pnfYDfrHQ=","invert bycatch",,,,,,,,,,"MsOTQ1geTJhrCbvL1TRCXJuSny+2Sy71Zy8Sr48fw6g=",
