uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"f01f8d30-4f27-4265-a65e-79c29c2da205","ONAQ_009.basePlot.bet","D15","ONAQ","ONAQ_009","E","distributed","shrubScrub",40.160803,-112.471250,"WGS84",20.1,1671.6,0.1,"2016-04-26","2016-05-10","ONAQ.2016.19",14,"Y","ONAQ_009.E.20160510","Ok","Ok","Ok","NEON.DOC.014050vH","dtNip7vnPIQ+7U7YtWNp+WFTyGNrpIZM",
"10c2df9c-be47-46f1-956a-4f64ff216a87","ONAQ_030.basePlot.bet","D15","ONAQ","ONAQ_030","E","distributed","evergreenForest",40.201643,-112.513698,"WGS84",20.1,1957.1,0.1,"2016-04-26","2016-05-10","ONAQ.2016.19",14,"Y","ONAQ_030.E.20160510","Ok","Ok","Ok","NEON.DOC.014050vH","dtNip7vnPIQ+7U7YtWNp+WFTyGNrpIZM",
"66ac2ed5-4cf0-4a28-b994-e4e6af700e6e","ONAQ_016.basePlot.bet","D15","ONAQ","ONAQ_016","E","distributed","shrubScrub",40.175178,-112.446181,"WGS84",20.1,1638.0,0.1,"2016-04-26","2016-05-10","ONAQ.2016.19",14,"Y","ONAQ_016.E.20160510","Ok","Ok","Ok","NEON.DOC.014050vH","dtNip7vnPIQ+7U7YtWNp+WFTyGNrpIZM",
"2091971b-90b0-4129-a571-bd032d93ba82","ONAQ_011.basePlot.bet","D15","ONAQ","ONAQ_011","E","distributed","shrubScrub",40.150746,-112.456227,"WGS84",20.1,1618.7,0.2,"2016-04-26","2016-05-10","ONAQ.2016.19",14,"Y","ONAQ_011.E.20160510","Ok","Ok","Ok","NEON.DOC.014050vH","dtNip7vnPIQ+7U7YtWNp+WFTyGNrpIZM",
"77837476-023f-411e-a19f-efbee8555265","ONAQ_073.basePlot.bet","D15","ONAQ","ONAQ_073","E","distributed","evergreenForest",40.181100,-112.512554,"WGS84",20.1,1848.5,0.1,"2016-04-26","2016-05-10","ONAQ.2016.19",14,"Y","ONAQ_073.E.20160510","Ok","Ok","Ok","NEON.DOC.014050vH","dtNip7vnPIQ+7U7YtWNp+WFTyGNrpIZM",
"9d909ed4-5190-422a-8d0c-9a15ea386164","ONAQ_023.basePlot.bet","D15","ONAQ","ONAQ_023","E","distributed","evergreenForest",40.193889,-112.505432,"WGS84",20.1,1862.8,0.1,"2016-04-26","2016-05-10","ONAQ.2016.19",14,"Y","ONAQ_023.E.20160510","Ok","Ok","Ok","NEON.DOC.014050vH","dtNip7vnPIQ+7U7YtWNp+WFTyGNrpIZM",
"a06005b1-e290-4a52-9954-db9d7c897e22","ONAQ_005.basePlot.bet","D15","ONAQ","ONAQ_005","E","distributed","shrubScrub",40.180774,-112.431855,"WGS84",20.1,1614.7,0.1,"2016-04-26","2016-05-10","ONAQ.2016.19",14,"Y","ONAQ_005.E.20160510","Missing","Ok","Ok","NEON.DOC.014050vH","dtNip7vnPIQ+7U7YtWNp+WFTyGNrpIZM","East trap was missing the cup that is between the soil and PG cup. We replaced the cup."
"ae3875bf-a437-443c-b755-c641379c817b","ONAQ_002.basePlot.bet","D15","ONAQ","ONAQ_002","E","distributed","shrubScrub",40.193323,-112.464547,"WGS84",20.1,1688.4,0.2,"2016-04-26","2016-05-10","ONAQ.2016.19",14,"Y","ONAQ_002.E.20160510","Ok","Ok","Ok","NEON.DOC.014050vH","dtNip7vnPIQ+7U7YtWNp+WFTyGNrpIZM",
"9ffd42fa-57b8-40c4-9adc-c14b5215e73d","ONAQ_018.basePlot.bet","D15","ONAQ","ONAQ_018","E","distributed","shrubScrub",40.197201,-112.437822,"WGS84",20.1,1629.0,0.1,"2016-04-26","2016-05-10","ONAQ.2016.19",14,"Y","ONAQ_018.E.20160510","Ok","Ok","Ok","NEON.DOC.014050vH","dtNip7vnPIQ+7U7YtWNp+WFTyGNrpIZM",
"b3874d54-7509-4606-affc-ccdececdd2e0","ONAQ_004.basePlot.bet","D15","ONAQ","ONAQ_004","E","distributed","shrubScrub",40.185937,-112.472482,"WGS84",20.1,1714.1,0.1,"2016-04-26","2016-05-10","ONAQ.2016.19",14,"Y","ONAQ_004.E.20160510","Ok","Ok","Ok","NEON.DOC.014050vH","dtNip7vnPIQ+7U7YtWNp+WFTyGNrpIZM",
"dd928b22-8438-4404-b6c5-9050e243e2d4","ONAQ_005.basePlot.bet","D15","ONAQ","ONAQ_005","N","distributed","shrubScrub",40.180774,-112.431855,"WGS84",20.1,1614.7,0.1,"2016-04-26","2016-05-10","ONAQ.2016.19",14,"Y","ONAQ_005.N.20160510","Ok","Ok","Ok","NEON.DOC.014050vH","dtNip7vnPIQ+7U7YtWNp+WFTyGNrpIZM",
"5a74e664-1bcc-43c2-bdf7-66b53cd85ba6","ONAQ_002.basePlot.bet","D15","ONAQ","ONAQ_002","N","distributed","shrubScrub",40.193323,-112.464547,"WGS84",20.1,1688.4,0.2,"2016-04-26","2016-05-10","ONAQ.2016.19",14,"Y","ONAQ_002.N.20160510","Ok","Ok","Ok","NEON.DOC.014050vH","dtNip7vnPIQ+7U7YtWNp+WFTyGNrpIZM",
"0a0c974b-4b84-4923-924a-54ce1fd14586","ONAQ_018.basePlot.bet","D15","ONAQ","ONAQ_018","N","distributed","shrubScrub",40.197201,-112.437822,"WGS84",20.1,1629.0,0.1,"2016-04-26","2016-05-10","ONAQ.2016.19",14,"Y","ONAQ_018.N.20160510","Ok","Ok","Ok","NEON.DOC.014050vH","dtNip7vnPIQ+7U7YtWNp+WFTyGNrpIZM",
"ec9bb44f-a420-44cd-8ae5-1a28fe5d4942","ONAQ_016.basePlot.bet","D15","ONAQ","ONAQ_016","N","distributed","shrubScrub",40.175178,-112.446181,"WGS84",20.1,1638.0,0.1,"2016-04-26","2016-05-10","ONAQ.2016.19",14,"Y","ONAQ_016.N.20160510","Ok","Ok","Ok","NEON.DOC.014050vH","dtNip7vnPIQ+7U7YtWNp+WFTyGNrpIZM",
"15435a9f-ae61-4d55-b309-4849d047a38b","ONAQ_011.basePlot.bet","D15","ONAQ","ONAQ_011","N","distributed","shrubScrub",40.150746,-112.456227,"WGS84",20.1,1618.7,0.2,"2016-04-26","2016-05-10","ONAQ.2016.19",14,"Y","ONAQ_011.N.20160510","Ok","Ok","Ok","NEON.DOC.014050vH","dtNip7vnPIQ+7U7YtWNp+WFTyGNrpIZM",
"47a8a6fb-16b5-4a99-a008-edc1adc3084d","ONAQ_030.basePlot.bet","D15","ONAQ","ONAQ_030","N","distributed","evergreenForest",40.201643,-112.513698,"WGS84",20.1,1957.1,0.1,"2016-04-26","2016-05-10","ONAQ.2016.19",14,"Y","ONAQ_030.N.20160510","Ok","Ok","Ok","NEON.DOC.014050vH","dtNip7vnPIQ+7U7YtWNp+WFTyGNrpIZM",
"d45c4308-9792-4e83-b1e1-5bfbdb462c94","ONAQ_073.basePlot.bet","D15","ONAQ","ONAQ_073","N","distributed","evergreenForest",40.181100,-112.512554,"WGS84",20.1,1848.5,0.1,"2016-04-26","2016-05-10","ONAQ.2016.19",14,"Y","ONAQ_073.N.20160510","Ok","Ok","Ok","NEON.DOC.014050vH","dtNip7vnPIQ+7U7YtWNp+WFTyGNrpIZM",
"5c5f5e8a-5d8e-4c25-9de7-49c878d133b9","ONAQ_023.basePlot.bet","D15","ONAQ","ONAQ_023","N","distributed","evergreenForest",40.193889,-112.505432,"WGS84",20.1,1862.8,0.1,"2016-04-26","2016-05-10","ONAQ.2016.19",14,"Y","ONAQ_023.N.20160510","Ok","Ok","Ok","NEON.DOC.014050vH","dtNip7vnPIQ+7U7YtWNp+WFTyGNrpIZM",
"7612a510-ce7b-43b9-982d-c15211e2e0c5","ONAQ_009.basePlot.bet","D15","ONAQ","ONAQ_009","N","distributed","shrubScrub",40.160803,-112.471250,"WGS84",20.1,1671.6,0.1,"2016-04-26","2016-05-10","ONAQ.2016.19",14,"Y","ONAQ_009.N.20160510","Ok","Ok","Ok","NEON.DOC.014050vH","dtNip7vnPIQ+7U7YtWNp+WFTyGNrpIZM",
"219f376a-cc85-4256-85c5-3b0bd886dd9c","ONAQ_004.basePlot.bet","D15","ONAQ","ONAQ_004","N","distributed","shrubScrub",40.185937,-112.472482,"WGS84",20.1,1714.1,0.1,"2016-04-26","2016-05-10","ONAQ.2016.19",14,"Y","ONAQ_004.N.20160510","Ok","Ok","Ok","NEON.DOC.014050vH","dtNip7vnPIQ+7U7YtWNp+WFTyGNrpIZM",
"82f227aa-99fd-44c9-b3af-55b96477bb1f","ONAQ_009.basePlot.bet","D15","ONAQ","ONAQ_009","S","distributed","shrubScrub",40.160803,-112.471250,"WGS84",20.1,1671.6,0.1,"2016-04-26","2016-05-10","ONAQ.2016.19",14,"Y","ONAQ_009.S.20160510","Ok","Ok","Low","NEON.DOC.014050vH","dtNip7vnPIQ+7U7YtWNp+WFTyGNrpIZM","There was no PG in south trap."
