uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"6abab455-765e-4c11-984b-21433f5562cf","DEJU_007.basePlot.bet","D19","DEJU","DEJU_007","E","distributed","shrubScrub",63.866754,-145.726499,"WGS84",20.1,534.5,0.1,"2016-07-20","2016-08-03","DEJU.2016.31",14,"Y","DEJU_007.E.20160803","Ok","Ok","Ok","NEON.DOC.014050vH","vFz513UarrPtX5jtNkgZfzdWCB1a2UwB",
"a3330ba2-76e4-471a-9e08-4917d1e05271","DEJU_014.basePlot.bet","D19","DEJU","DEJU_014","W","distributed","evergreenForest",63.831139,-145.747612,"WGS84",20.2,544.3,0.2,"2016-07-20","2016-08-03","DEJU.2016.31",14,"Y","DEJU_014.W.20160803","Ok","Ok","Ok","NEON.DOC.014050vH","xIt9ybNkjihQCNSGffGdH8BJXo6VVNxB",
"a3036076-95a3-428a-96df-8298b95b97f2","DEJU_021.basePlot.bet","D19","DEJU","DEJU_021","E","distributed","evergreenForest",63.860681,-145.742041,"WGS84",20.2,551.6,0.2,"2016-07-20","2016-08-03","DEJU.2016.31",14,"Y","DEJU_021.E.20160803","Ok","Ok","Ok","NEON.DOC.014050vH","xIt9ybNkjihQCNSGffGdH8BJXo6VVNxB",
"1812e973-dce0-4bfd-bca8-8f6658f7a2d8","DEJU_006.basePlot.bet","D19","DEJU","DEJU_006","E","distributed","evergreenForest",63.835171,-145.748058,"WGS84",20.1,544.8,0.1,"2016-07-20","2016-08-03","DEJU.2016.31",14,"Y","DEJU_006.E.20160803","Ok","Ok","Ok","NEON.DOC.014050vH","vFz513UarrPtX5jtNkgZfzdWCB1a2UwB",
"7d1cf194-1740-4b09-a47b-28ff75589ffa","DEJU_015.basePlot.bet","D19","DEJU","DEJU_015","E","distributed","woodyWetlands",63.874150,-145.741425,"WGS84",20.1,522.1,0.1,"2016-07-20","2016-08-03","DEJU.2016.31",14,"Y","DEJU_015.E.20160803","Ok","Ok","Ok","NEON.DOC.014050vH","xIt9ybNkjihQCNSGffGdH8BJXo6VVNxB",
"f4aee2b5-ab65-4a96-af7e-b709f9fda822","DEJU_017.basePlot.bet","D19","DEJU","DEJU_017","E","distributed","evergreenForest",63.883388,-145.780721,"WGS84",20.1,513.9,0.1,"2016-07-20","2016-08-03","DEJU.2016.31",14,"Y","DEJU_017.E.20160803","Ok","Ok","Ok","NEON.DOC.014050vH","SokTyoGA+6APyZfSnvtpvn1BWuCQb10t",
"190d0621-94de-4564-8435-5650fb4aea26","DEJU_014.basePlot.bet","D19","DEJU","DEJU_014","E","distributed","evergreenForest",63.831139,-145.747612,"WGS84",20.2,544.3,0.2,"2016-07-20","2016-08-03","DEJU.2016.31",14,"Y","DEJU_014.E.20160803","Ok","Ok","Ok","NEON.DOC.014050vH","xIt9ybNkjihQCNSGffGdH8BJXo6VVNxB",
"dc2408bf-e9a6-41f0-b3f0-ade16096c5e0","DEJU_003.basePlot.bet","D19","DEJU","DEJU_003","E","distributed","shrubScrub",63.930794,-145.751133,"WGS84",20.1,450.1,0.1,"2016-07-20","2016-08-03","DEJU.2016.31",14,"Y","DEJU_003.E.20160803","Ok","Ok","Ok","NEON.DOC.014050vH","SokTyoGA+6APyZfSnvtpvn1BWuCQb10t",
"e72da636-1b54-43f7-afbe-5d977d8c80c1","DEJU_001.basePlot.bet","D19","DEJU","DEJU_001","E","distributed","shrubScrub",63.892440,-145.769965,"WGS84",20.1,494.9,0.1,"2016-07-20","2016-08-03","DEJU.2016.31",14,"Y","DEJU_001.E.20160803","Ok","Ok","Ok","NEON.DOC.014050vH","SokTyoGA+6APyZfSnvtpvn1BWuCQb10t",
"5d320a79-4221-4a58-bfaa-2b0b4833947a","DEJU_023.basePlot.bet","D19","DEJU","DEJU_023","E","distributed","evergreenForest",63.934644,-145.761389,"WGS84",20.1,451.7,0.1,"2016-07-20","2016-08-03","DEJU.2016.31",14,"Y","DEJU_023.E.20160803","Ok","Ok","Ok","NEON.DOC.014050vH","SokTyoGA+6APyZfSnvtpvn1BWuCQb10t",
"c4b43735-99b2-48f4-89ad-b42a06c80725","DEJU_017.basePlot.bet","D19","DEJU","DEJU_017","N","distributed","evergreenForest",63.883388,-145.780721,"WGS84",20.1,513.9,0.1,"2016-07-20","2016-08-03","DEJU.2016.31",14,"Y","DEJU_017.N.20160803","Ok","Ok","Ok","NEON.DOC.014050vH","SokTyoGA+6APyZfSnvtpvn1BWuCQb10t",
"b023a320-50cf-476a-8ca1-0bc93854b3a0","DEJU_014.basePlot.bet","D19","DEJU","DEJU_014","N","distributed","evergreenForest",63.831139,-145.747612,"WGS84",20.2,544.3,0.2,"2016-07-20","2016-08-03","DEJU.2016.31",14,"Y","DEJU_014.N.20160803","Ok","Ok","Ok","NEON.DOC.014050vH","xIt9ybNkjihQCNSGffGdH8BJXo6VVNxB",
"056cb3e6-71f1-42ff-963c-8a9ad72a9f51","DEJU_001.basePlot.bet","D19","DEJU","DEJU_001","N","distributed","shrubScrub",63.892440,-145.769965,"WGS84",20.1,494.9,0.1,"2016-07-20","2016-08-03","DEJU.2016.31",14,"Y","DEJU_001.N.20160803","Ok","Ok","Ok","NEON.DOC.014050vH","SokTyoGA+6APyZfSnvtpvn1BWuCQb10t",
"f88e7136-74e9-45c0-a728-6454d2b0b721","DEJU_003.basePlot.bet","D19","DEJU","DEJU_003","N","distributed","shrubScrub",63.930794,-145.751133,"WGS84",20.1,450.1,0.1,"2016-07-20","2016-08-03","DEJU.2016.31",14,"Y","DEJU_003.N.20160803","Ok","Ok","Ok","NEON.DOC.014050vH","SokTyoGA+6APyZfSnvtpvn1BWuCQb10t",
"dc1e12e5-ded2-4b5c-af68-7b72f96ce338","DEJU_023.basePlot.bet","D19","DEJU","DEJU_023","N","distributed","evergreenForest",63.934644,-145.761389,"WGS84",20.1,451.7,0.1,"2016-07-20","2016-08-03","DEJU.2016.31",14,"Y","DEJU_023.N.20160803","Ok","Ok","Ok","NEON.DOC.014050vH","SokTyoGA+6APyZfSnvtpvn1BWuCQb10t",
"0e05959f-ac8f-4015-8834-d81ea10901c1","DEJU_007.basePlot.bet","D19","DEJU","DEJU_007","N","distributed","shrubScrub",63.866754,-145.726499,"WGS84",20.1,534.5,0.1,"2016-07-20","2016-08-03","DEJU.2016.31",14,"Y","DEJU_007.N.20160803","Ok","Ok","Ok","NEON.DOC.014050vH","vFz513UarrPtX5jtNkgZfzdWCB1a2UwB",
"760a3267-15ed-42dc-95ba-5eebd3f63d22","DEJU_005.basePlot.bet","D19","DEJU","DEJU_005","N","distributed","shrubScrub",63.896876,-145.753860,"WGS84",20.1,484.2,0.1,"2016-07-20","2016-08-03","DEJU.2016.31",14,"Y","DEJU_005.N.20160803","Ok","Ok","Ok","NEON.DOC.014050vH","SokTyoGA+6APyZfSnvtpvn1BWuCQb10t",
"d7a6d42d-baf2-4f5d-be52-af1433600d66","DEJU_021.basePlot.bet","D19","DEJU","DEJU_021","N","distributed","evergreenForest",63.860681,-145.742041,"WGS84",20.2,551.6,0.2,"2016-07-20","2016-08-03","DEJU.2016.31",14,"Y","DEJU_021.N.20160803","Ok","Disturbed","Ok","NEON.DOC.014050vH","xIt9ybNkjihQCNSGffGdH8BJXo6VVNxB","N lid pulled out and laying a little North of trap"
"d4fb69bc-3630-4900-83b9-09b0ae0800c3","DEJU_006.basePlot.bet","D19","DEJU","DEJU_006","N","distributed","evergreenForest",63.835171,-145.748058,"WGS84",20.1,544.8,0.1,"2016-07-20","2016-08-03","DEJU.2016.31",14,"Y","DEJU_006.N.20160803","Ok","Ok","Ok","NEON.DOC.014050vH","vFz513UarrPtX5jtNkgZfzdWCB1a2UwB",
"e6f3dbc2-efb8-47f1-9135-afa829c77e4f","DEJU_015.basePlot.bet","D19","DEJU","DEJU_015","N","distributed","woodyWetlands",63.874150,-145.741425,"WGS84",20.1,522.1,0.1,"2016-07-20","2016-08-03","DEJU.2016.31",14,"Y","DEJU_015.N.20160803","Ok","Ok","Ok","NEON.DOC.014050vH","xIt9ybNkjihQCNSGffGdH8BJXo6VVNxB",
"a31ed70c-c656-42da-b273-597b9eb115f7","DEJU_001.basePlot.bet","D19","DEJU","DEJU_001","S","distributed","shrubScrub",63.892440,-145.769965,"WGS84",20.1,494.9,0.1,"2016-07-20","2016-08-03","DEJU.2016.31",14,"Y","DEJU_001.S.20160803","Ok","Ok","Ok","NEON.DOC.014050vH","SokTyoGA+6APyZfSnvtpvn1BWuCQb10t",
