uid,namedLocation,domainID,siteID,plotID,trapID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,setDate,collectDate,eventID,daysOfTrapping,sampleCollected,sampleID,cupStatus,lidStatus,fluidLevel,samplingProtocolVersion,recordedBy,remarks
"901c319a-6134-4ab6-96ec-38131314c453","HEAL_025.basePlot.bet","D19","HEAL","HEAL_025","E","distributed","evergreenForest",63.873070,-149.287886,"WGS84",20.1,639.4,0.1,"2015-07-30","2015-08-12","HEAL.2015.33",13,"Y","HEAL_025.E.20150812","Ok","Ok","Ok","NEON.DOC.014050vG","0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"e3981b6c-8f32-44ea-8e2d-d221f3455911","HEAL_025.basePlot.bet","D19","HEAL","HEAL_025","N","distributed","evergreenForest",63.873070,-149.287886,"WGS84",20.1,639.4,0.1,"2015-07-30","2015-08-12","HEAL.2015.33",13,"Y","HEAL_025.N.20150812","Ok","Ok","Ok","NEON.DOC.014050vG","0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"5061dc17-902e-49f3-a14d-78430a8e83ba","HEAL_010.basePlot.bet","D19","HEAL","HEAL_010","N","distributed","shrubScrub",63.877229,-149.263771,"WGS84",20.1,657.0,0.1,"2015-07-30","2015-08-12","HEAL.2015.33",13,"Y","HEAL_010.N.20150812","Ok","Ok","Ok","NEON.DOC.014050vG","0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"07947c52-65c8-4c96-a213-bc105bd018a5","HEAL_004.basePlot.bet","D19","HEAL","HEAL_004","N","distributed","shrubScrub",63.863602,-149.273634,"WGS84",20.1,680.5,0.1,"2015-07-30","2015-08-12","HEAL.2015.33",13,"Y","HEAL_004.N.20150812","Ok","Ok","Ok","NEON.DOC.014050vG","0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"265ceb47-18a7-4acc-be9c-10b06359da24","HEAL_014.basePlot.bet","D19","HEAL","HEAL_014","N","distributed","shrubScrub",63.886767,-149.273720,"WGS84",20.1,671.5,0.1,"2015-07-30","2015-08-12","HEAL.2015.33",13,"Y","HEAL_014.N.20150812","Ok","Ok","Ok","NEON.DOC.014050vG","0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"645194ba-d62c-425d-ab63-9444dfb019bb","HEAL_011.basePlot.bet","D19","HEAL","HEAL_011","N","distributed","shrubScrub",63.887139,-149.301221,"WGS84",20.1,644.3,0.1,"2015-07-30","2015-08-12","HEAL.2015.33",13,"Y","HEAL_011.N.20150812","Ok","Ok","Ok","NEON.DOC.014050vG","0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"1b6435da-d4a9-4bd0-8df3-49bb58f4a209","HEAL_011.basePlot.bet","D19","HEAL","HEAL_011","S","distributed","shrubScrub",63.887139,-149.301221,"WGS84",20.1,644.3,0.1,"2015-07-30","2015-08-12","HEAL.2015.33",13,"Y","HEAL_011.S.20150812","Ok","Ok","Ok","NEON.DOC.014050vG","0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"3bd1d8f8-c791-4fcc-88c8-0e7e36b561fb","HEAL_014.basePlot.bet","D19","HEAL","HEAL_014","S","distributed","shrubScrub",63.886767,-149.273720,"WGS84",20.1,671.5,0.1,"2015-07-30","2015-08-12","HEAL.2015.33",13,"Y","HEAL_014.S.20150812","Ok","Ok","Ok","NEON.DOC.014050vG","0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"abe138be-aacf-45f7-b361-8ab0dcdfe942","HEAL_025.basePlot.bet","D19","HEAL","HEAL_025","S","distributed","evergreenForest",63.873070,-149.287886,"WGS84",20.1,639.4,0.1,"2015-07-30","2015-08-12","HEAL.2015.33",13,"Y","HEAL_025.S.20150812","Ok","Ok","Ok","NEON.DOC.014050vG","0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"3b5cd06a-b367-4e1f-989c-eb351ded20f8","HEAL_004.basePlot.bet","D19","HEAL","HEAL_004","S","distributed","shrubScrub",63.863602,-149.273634,"WGS84",20.1,680.5,0.1,"2015-07-30","2015-08-12","HEAL.2015.33",13,"Y","HEAL_004.S.20150812","Ok","Ok","Ok","NEON.DOC.014050vG","0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
