uid,namedLocation,domainID,siteID,plotID,setDate,collectDate,processingDate,subsampleIDList,archiveVialID,scientificName,recordedBy,remarks
"83f7b7f6-6f2e-4f05-976d-54859b6c1a9e","HEAL_002.basePlot.bet","D19","HEAL","HEAL_002","2015-08-26","2015-09-09","2015-09-14","QW2dmvDFDQOdJh1w0d4putyPBhBBNhsNEWoX96R7cPeKC5BXYhQFMUMBTmzsKJfw9Tay5Mg5eeyRuzGih+/a2ZqcPmqTpU+luVoBk8OD0PpgbdOZEdDsho4VkU8jC4u6UU7GJUvl7u8=","QW2dmvDFDQMyOHHwBL8o83LUx2oTzSEw",,,
"0b607d2c-4a58-4a56-b6e2-d4184bfedef9","HEAL_011.basePlot.bet","D19","HEAL","HEAL_011","2015-08-26","2015-09-10","2015-09-14","TD7prynvIXYNYQ1dw4rn4pE5+/1auhPl2hXoUNMWjA+AeY/EBuwmrP9YaeRXw3A2Tdw9zpbXmdoJ/aTP0FnFu58ZT3zIWncsQL6qFbYinwTJvQsVCQhEd4a7XJlAsj6CFZ6tUj+Wdss=","TD7prynvIXasJJSbBWyBO2w7G6gBjCur",,,
"f972d626-dcea-4c93-b1c6-5038629e1d43","HEAL_014.basePlot.bet","D19","HEAL","HEAL_014","2015-08-26","2015-09-10","2015-09-14","Xri+5raSJVspwGnade4AwxZRo2A2czhtpIX80tQ1WCuTOk4sVxFU0dBeI8ulwzpk2plvy/IdOv183EQklSqRYGYKs/kWeEc2J9F5V8eTjdnICLeM3LOk6Pv68VMiTYDj+loKS0aQh7o=","Xri+5raSJVvkrtaAp6eO3rtPS6Fpff/d",,,
"01ea579a-6c4a-496e-9fe6-1500c4b3d95c","HEAL_010.basePlot.bet","D19","HEAL","HEAL_010","2015-08-27","2015-09-10","2015-09-14","Dkg/xkB0Z2rcjawJNzr5K9XM7SsaNL/lXLGaLPKcK5WexJnvqiFg4tn2QanDgWAOhwp6JKy6b5im3r2YJUywIMiyYLrsgOhsj+zYBD6Y4om5UpkyGIAwEWVVgKASNxoMipFkuwE9CSs=","Dkg/xkB0Z2psEPWUj5HTm8oEr/KzW388",,,
"2101a7f0-5aaf-43cc-a57a-d0f61086853a","HEAL_016.basePlot.bet","D19","HEAL","HEAL_016","2015-08-27","2015-09-10","2015-09-14","D2/8d5OmvDHhwObv86qu2UE+hqcQ3Pn9STTyVsSgHkrWyYZbMfq2Igx2tI3XCPwCIOBxryMdgHq67XmSXuqx9F7JlbmMu7kvYZmUqFYOqBPNJvZZCZVtRGeXrXc3YIWfMVKyr10JIHM=","D2/8d5OmvDHnJF3HmVrY5UqLdb9HVxBR",,,
"197e3a74-281b-486e-8e50-8f4f28da6a31","HEAL_025.basePlot.bet","D19","HEAL","HEAL_025","2015-08-27","2015-09-11","2015-09-14","6AON5yGDw0XC7U4TUyooASxt8pMe5KtMREL7wjkNpLH/4rsPhCMo2B8wF80k4W0/MAU23+/cwVCdU4A31CKTJtCs/Ng0bv0ga8u/VULkXIZQtu+PPMrrNp44G81sqT4AQAOdd/OLpns=","6AON5yGDw0Xwfyo7NSHqq/jQfzSlgB3u",,,
"8a2d908b-47bb-4021-9f35-d2a5b75d4160","HEAL_004.basePlot.bet","D19","HEAL","HEAL_004","2015-08-27","2015-09-11","2015-09-14","PXaXP/WW46ppcw12KYGsruDRzDHwYPLgyc4GBnY9p6DLnM6k4jWTBzB4diSTeXjOK/tIaXa8jTPXw3yKCrm1PfmqRu5B2UyltwiCoGsxr7rVuFOs5zmmGKKDo25zwwPHSQP3spkfQPc=","PXaXP/WW46qkh4CtLXPtMAQ1kwhDl9T3",,,
"6a43f47e-511e-4854-a70e-5ead758e1c21","HEAL_015.basePlot.bet","D19","HEAL","HEAL_015","2015-08-28","2015-09-09","2015-09-14","9tqlBo9Lir9LG5JRqmVCTsQZL8+fv44ect+wUROlZsd3oIfGy6jIh2CPZx0/zIUnfUF5J6fKCJCyt97wxmhAdcTAm3AjtobjpjgfEh4UNJHWfS0oA7OfB84bTGhobbqqwnxS7k12aa8=","9tqlBo9Lir8UaZ74lftxiqjGZJ1a6P9m",,,
"351eff0f-01f5-4680-a35b-40868d24defb","HEAL_001.basePlot.bet","D19","HEAL","HEAL_001","2015-08-28","2015-09-09","2015-09-14","Cc4z6rgSF0JPgH/6JlsQnYMDOP0uq/W3MCT2Edmpn+lTPrM9hHhtFskhzd+zOOj3ZifCunqlRKFuUH/MjjiqeYDUgfm8FmKJcDhRGzATj7cnsxwrOW/GZNM88+pcPOiTTD3gBeelrHQ=","Cc4z6rgSF0I8LeNTZ3z5LtNOjPBa739c",,,
"835ec5dd-4e5e-4433-a0a6-914b5eca2ee9","HEAL_005.basePlot.bet","D19","HEAL","HEAL_005","2015-08-28","2015-09-09","2015-09-14","fu0zcYHenSyCJN1Z7KvnKrDVV2hQTiRQSk05/2tJsBlZA8UgDjDPtUAgDa8FdVoY0L9VEVRPCl/OOHqAFfEOeSHnRaiy+mJ3r+S7GCRxfSIr/uXLg5AdjR/vPauirIubIO/Oq2+HM5Y=","fu0zcYHenSwRB9AHPNqvKv94ZhO5bZF9",,,
