uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,identifiedDate,subsampleID,individualID,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,identificationReferences,totalLength,identifiedBy,recordedBy,remarks
"5daab948-2b7f-4731-8333-8a9f8bb84d44","HEAL_002.basePlot.bet","D19","HEAL","HEAL_002","S","2015-08-26","2015-09-09","2016-07-30","2016-07-24","QW2dmvDFDQNCICmGs3gduaPdCgSzHfB4GyIfoUvksv0=","NEON.BET.D19.000016","AGOQUI","Agonum quinquepunctatum","species",,"Motschulsky",,"Other",,"9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",
"55522fbd-dcca-4d02-950d-4aefbaeaa7c0","HEAL_002.basePlot.bet","D19","HEAL","HEAL_002","S","2015-08-26","2015-09-09","2016-07-30","2016-07-24","QW2dmvDFDQNCICmGs3gduW+dC5xZiGRGdxPGMTFXpCI=","NEON.BET.D19.000017","PTESP22","Pterostichus (Criobius) sp.","subgenus",,"Chaudoir",,"Other",,"9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",
"d470a4cc-fb30-4d56-b9f0-c899c34abb91","HEAL_002.basePlot.bet","D19","HEAL","HEAL_002","W","2015-08-26","2015-09-09","2016-07-30","2016-07-24","QW2dmvDFDQOdJh1w0d4pun8sg6G0J3VncaYKpSXh0cQ=","NEON.BET.D19.000018","PTESP22","Pterostichus (Criobius) sp.","subgenus",,"Chaudoir",,"Other",,"9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",
"7e16791c-9712-4c39-9b9b-68a255fa9065","HEAL_011.basePlot.bet","D19","HEAL","HEAL_011","S","2015-08-26","2015-09-10","2016-07-30","2016-07-24","TD7prynvIXYNYQ1dw4rn4rC9Dy1GbBFldL3zsDFT/s0=","NEON.BET.D19.000020","AGOQUI","Agonum quinquepunctatum","species",,"Motschulsky",,"Other",,"9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",
"f53f4903-c069-4f1c-aeaf-499a256f368a","HEAL_016.basePlot.bet","D19","HEAL","HEAL_016","S","2015-08-27","2015-09-10","2016-07-30","2016-07-24","D2/8d5OmvDHVU3RE0cD6ZzSrKbrOHonE5qrHGruXtLI=","NEON.BET.D19.000019","PTESP22","Pterostichus (Criobius) sp.","subgenus",,"Chaudoir",,"Other",,"9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",
"af79615e-b307-4605-8578-d78ce80d6cf3","HEAL_004.basePlot.bet","D19","HEAL","HEAL_004","N","2015-08-27","2015-09-11","2016-07-30","2016-07-24","PXaXP/WW46qHXCvdDDyi8YRPh6b4jyl+zYC2Ot7rb4c=","NEON.BET.D19.000021","AGOQUI","Agonum quinquepunctatum","species",,"Motschulsky",,"Other",,"9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",
"0ab9f5f5-418b-4477-9274-bab70925353a","HEAL_001.basePlot.bet","D19","HEAL","HEAL_001","N","2015-08-28","2015-09-09","2016-07-30","2016-07-24","Cc4z6rgSF0JPgH/6JlsQnT1F4WDsS/cblX/SWxADIdA=","NEON.BET.D19.000014","PTESP22","Pterostichus (Criobius) sp.","subgenus",,"Chaudoir",,"Other",,"9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",
"bd259f75-9d32-4c85-bfc3-2ee62d606ecc","HEAL_005.basePlot.bet","D19","HEAL","HEAL_005","W","2015-08-28","2015-09-09","2016-07-30","2016-07-24","fu0zcYHenSzCGvDB+158Fl59Q3rfgZBymjfG01EZm1Y=","NEON.BET.D19.000012","PTESP22","Pterostichus (Criobius) sp.","subgenus",,"Chaudoir",,"Other",,"9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",
"66d01014-39f2-40f2-ada2-e280bf0858d9","HEAL_005.basePlot.bet","D19","HEAL","HEAL_005","S","2015-08-28","2015-09-09","2016-07-30","2016-07-24","fu0zcYHenSyCJN1Z7KvnKh5RGQZPKmkTTh3ZOZwNHVo=","NEON.BET.D19.000011","AGOQUI","Agonum quinquepunctatum","species",,"Motschulsky",,"Other",,"9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",
"2b337441-6130-42ba-9a05-3a5dffcfe580","HEAL_005.basePlot.bet","D19","HEAL","HEAL_005","S","2015-08-28","2015-09-09","2016-07-30","2016-07-24","fu0zcYHenSyCJN1Z7KvnKkn0NGdfwIoh3ajlf96BsSw=","NEON.BET.D19.000010","PTESP22","Pterostichus (Criobius) sp.","subgenus",,"Chaudoir",,"Other",,"9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",
"6b088d49-8c3b-495b-b2c3-d7989fa1c1a9","HEAL_015.basePlot.bet","D19","HEAL","HEAL_015","W","2015-08-28","2015-09-09","2016-07-30","2016-07-24","9tqlBo9Lir+OOh8l4Z5Md70aW8FOB9s940ODHPRhT2U=","NEON.BET.D19.000013","PTESP22","Pterostichus (Criobius) sp.","subgenus",,"Chaudoir",,"Other",,"9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",
"60ac0380-4ae0-4ad1-8783-cea1c9ec0a4b","HEAL_001.basePlot.bet","D19","HEAL","HEAL_001","W","2015-08-28","2015-09-09","2016-07-30","2016-07-24","Cc4z6rgSF0JXjxZCXHnCwzjk4NFNt2FDVUgFjY40S6Q=","NEON.BET.D19.000015","PTESP22","Pterostichus (Criobius) sp.","subgenus",,"Chaudoir",,"Other",,"9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh",
