uid,namedLocation,domainID,siteID,plotID,trapID,setDate,collectDate,processingDate,etOHChangeDate,identifiedDate,sampleID,subsampleID,sampleType,taxonID,scientificName,taxonRank,identificationQualifier,scientificNameAuthorship,morphospeciesID,individualCount,identificationReferences,identifiedBy,recordedBy,remarks
"42bede9a-5d97-4c92-b317-8b60b3dd9a4a","HEAL_002.basePlot.bet","D19","HEAL","HEAL_002","W","2015-08-26","2015-09-09","2015-09-14","2015-09-14",,"HEAL_002.W.20150909","QW2dmvDFDQOdJh1w0d4putyPBhBBNhsNQ69dy/KwOnM=","invert bycatch",,,,,,,,,,"0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"7d6d193e-e83b-4eca-a951-b590cd2fb4fd","HEAL_002.basePlot.bet","D19","HEAL","HEAL_002","W","2015-08-26","2015-09-09","2015-09-14","2015-09-14","2016-07-24","HEAL_002.W.20150909","QW2dmvDFDQOdJh1w0d4pun8sg6G0J3VncaYKpSXh0cQ=","carabid","PTESP22","Pterostichus (Criobius) sp.","subgenus",,"Chaudoir",,1,"Other","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"b9de146e-fc61-4d72-b1c0-18ad349e58d0","HEAL_002.basePlot.bet","D19","HEAL","HEAL_002","S","2015-08-26","2015-09-09","2015-09-14","2015-09-14","2016-07-24","HEAL_002.S.20150909","QW2dmvDFDQNCICmGs3gduW+dC5xZiGRGdxPGMTFXpCI=","carabid","PTESP22","Pterostichus (Criobius) sp.","subgenus",,"Chaudoir",,1,"Other","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"f8c19701-7edf-4dbe-8d2b-0e503e138546","HEAL_002.basePlot.bet","D19","HEAL","HEAL_002","S","2015-08-26","2015-09-09","2015-09-14","2015-09-14",,"HEAL_002.S.20150909","QW2dmvDFDQNCICmGs3gduYwWJZT/Ks3vBfAPKAeixDo=","invert bycatch",,,,,,,,,,"0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"c4fe1cc6-141e-407a-a5c6-e89ffc24d4ce","HEAL_002.basePlot.bet","D19","HEAL","HEAL_002","N","2015-08-26","2015-09-09","2015-09-14","2015-09-14",,"HEAL_002.N.20150909","QW2dmvDFDQPpASNLUdriG1Y72QIRn1tWtgcq2CxdMaw=","invert bycatch",,,,,,,,,,"0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"74b2ccc6-1f7c-42ed-9216-97de964bc5fb","HEAL_002.basePlot.bet","D19","HEAL","HEAL_002","E","2015-08-26","2015-09-09","2015-09-14","2015-09-14",,"HEAL_002.E.20150909","QW2dmvDFDQOyijjbMYxW5wNhCwJgCmbmTy6izsOvBvg=","invert bycatch",,,,,,,,,,"0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"6e5296ea-ec64-4a5e-81ca-5ffe17280357","HEAL_002.basePlot.bet","D19","HEAL","HEAL_002","S","2015-08-26","2015-09-09","2015-09-14","2015-09-14","2016-07-24","HEAL_002.S.20150909","QW2dmvDFDQNCICmGs3gduaPdCgSzHfB4GyIfoUvksv0=","carabid","AGOQUI","Agonum quinquepunctatum","species",,"Motschulsky",,1,"Other","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"fa3f53ee-ce53-4d47-a72c-0a2243ce04b8","HEAL_014.basePlot.bet","D19","HEAL","HEAL_014","W","2015-08-26","2015-09-10","2015-09-14","2015-09-14",,"HEAL_014.W.20150910","Xri+5raSJVtRDdOQed7B9nYg2Gh7TxUKAU7q60/Wc9Y=","invert bycatch",,,,,,,,,,"0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"74b3ab8e-5fa1-441e-8a68-86c0d1f80589","HEAL_011.basePlot.bet","D19","HEAL","HEAL_011","W","2015-08-26","2015-09-10","2015-09-14","2015-09-14",,"HEAL_011.W.20150910","TD7prynvIXaeYQsWszBfEoz9zwk+eSHqC0u8tI643Uc=","invert bycatch",,,,,,,,,,"0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"80a0f072-e890-4674-a527-97d9cab3a9f7","HEAL_014.basePlot.bet","D19","HEAL","HEAL_014","N","2015-08-26","2015-09-10","2015-09-14","2015-09-14",,"HEAL_014.N.20150910","Xri+5raSJVspwGnade4AwxZRo2A2czht1n+sZsGUiE8=","invert bycatch",,,,,,,,,,"0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"651c1e67-76df-4131-96f6-e01be295ccd2","HEAL_014.basePlot.bet","D19","HEAL","HEAL_014","S","2015-08-26","2015-09-10","2015-09-14","2015-09-14",,"HEAL_014.S.20150910","Xri+5raSJVuLI25u8Vk2wFJsYNQn36+MeIYZwOa9NQg=","invert bycatch",,,,,,,,,,"0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"9a4ceeb9-2e10-4540-9d8b-8d2096a49db9","HEAL_011.basePlot.bet","D19","HEAL","HEAL_011","S","2015-08-26","2015-09-10","2015-09-14","2015-09-14","2016-07-24","HEAL_011.S.20150910","TD7prynvIXYNYQ1dw4rn4rC9Dy1GbBFldL3zsDFT/s0=","carabid","AGOQUI","Agonum quinquepunctatum","species",,"Motschulsky",,1,"Other","9hOSS3gpVvHUvdbHcI4XlVp94UoAF+Qh","0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"5469750a-657a-421f-a89b-8764259f3a36","HEAL_011.basePlot.bet","D19","HEAL","HEAL_011","N","2015-08-26","2015-09-10","2015-09-14","2015-09-14",,"HEAL_011.N.20150910","TD7prynvIXZecatlzZ2iD7dcMx1KzFVGczW237P4W+M=","invert bycatch",,,,,,,,,,"0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"3a959d85-7b31-4029-8035-63e91ecd332a","HEAL_011.basePlot.bet","D19","HEAL","HEAL_011","S","2015-08-26","2015-09-10","2015-09-14","2015-09-14",,"HEAL_011.S.20150910","TD7prynvIXYNYQ1dw4rn4pE5+/1auhPlz0sf4bl5T7w=","invert bycatch",,,,,,,,,,"0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"3d4de788-f2cf-4fe1-be2b-1b21c675fa2b","HEAL_011.basePlot.bet","D19","HEAL","HEAL_011","E","2015-08-26","2015-09-10","2015-09-14","2015-09-14",,"HEAL_011.E.20150910","TD7prynvIXaqxnY1RMNdM8wQDGPplG4tOuGCnvxzyhc=","invert bycatch",,,,,,,,,,"0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"df187680-d4ff-4c8a-bc66-e151331c4ea7","HEAL_014.basePlot.bet","D19","HEAL","HEAL_014","E","2015-08-26","2015-09-10","2015-09-14","2015-09-14",,"HEAL_014.E.20150910","Xri+5raSJVuh7po+Cy8JzwEbGBnLWtncY/gYzcJ1jpA=","invert bycatch",,,,,,,,,,"0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"b88b9823-7700-490b-a7ad-c91769691c4c","HEAL_010.basePlot.bet","D19","HEAL","HEAL_010","E","2015-08-27","2015-09-10","2015-09-14","2015-09-14",,"HEAL_010.E.20150910","Dkg/xkB0Z2pXA+ZZ6TUNr5FqtS07wJyTJNT8bbWVQlM=","invert bycatch",,,,,,,,,,"0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
"6371aa79-cb27-465c-b83f-c67b6cb070dc","HEAL_016.basePlot.bet","D19","HEAL","HEAL_016","E","2015-08-27","2015-09-10","2015-09-14","2015-09-14",,"HEAL_016.E.20150910","D2/8d5OmvDHhwObv86qu2UE+hqcQ3Pn9SWIujTunT5g=","invert bycatch",,,,,,,,,,"0kg2xK8PWU2l78XWM05p+q0MLq105+pe",
