ID,FAMILY,LATITUDE,LONGITUDE,DATE,SPECIESTOTAL,COUNTRYNUM,STATENUM,ROUTE
230,Alcidae,58.442,-134.766,2015,2,840,3,21
230,Alcidae,59.336,-135.568,1997,1,840,3,25
290,Alcidae,59.336,-135.568,1997,23,840,3,25
230,Alcidae,59.336,-135.568,1998,4,840,3,25
290,Alcidae,59.336,-135.568,1998,2,840,3,25
230,Alcidae,59.336,-135.568,1999,30,840,3,25
290,Alcidae,59.336,-135.568,1999,2,840,3,25
230,Alcidae,59.336,-135.568,2004,2,840,3,25
290,Alcidae,59.336,-135.568,2004,1,840,3,25
230,Alcidae,59.336,-135.568,2005,10,840,3,25
290,Alcidae,59.336,-135.568,2005,2,840,3,25
230,Alcidae,55.556,-133.085,1994,3,840,3,23
230,Alcidae,59.336,-135.568,2006,23,840,3,25
290,Alcidae,59.336,-135.568,2006,4,840,3,25
230,Alcidae,59.336,-135.568,2007,1,840,3,25
290,Alcidae,59.336,-135.568,2007,2,840,3,25
230,Alcidae,55.556,-133.085,1996,7,840,3,23
230,Alcidae,55.556,-133.085,1998,17,840,3,23
230,Alcidae,55.556,-133.085,1999,15,840,3,23
230,Alcidae,59.336,-135.568,2010,6,840,3,25
230,Alcidae,55.633,-132.75,1977,1,840,3,26
230,Alcidae,55.556,-133.085,2000,12,840,3,23
230,Alcidae,55.556,-133.085,2004,13,840,3,23
230,Alcidae,55.556,-133.085,2008,4,840,3,23
230,Alcidae,60.497,-145.87,2004,5,840,3,50
230,Alcidae,55.556,-133.085,2011,6,840,3,23
230,Alcidae,55.556,-133.085,2012,4,840,3,23
300,Alcidae,59.567,-151.333,1982,30,840,3,19
230,Alcidae,58.251,-134.628,1984,85,840,3,20
290,Alcidae,58.251,-134.628,1984,3,840,3,20
230,Alcidae,58.251,-134.628,1985,355,840,3,20
290,Alcidae,58.251,-134.628,1985,1,840,3,20
230,Alcidae,55.556,-133.085,2013,4,840,3,23
230,Alcidae,55.327,-131.521,1972,1,840,3,24
230,Alcidae,60.497,-145.87,2009,12,840,3,50
230,Alcidae,60.497,-145.87,2011,3,840,3,50
230,Alcidae,58.251,-134.628,1986,30,840,3,20
290,Alcidae,58.251,-134.628,1986,2,840,3,20
230,Alcidae,58.442,-134.766,1983,6,840,3,21
230,Alcidae,58.442,-134.766,1984,1,840,3,21
230,Alcidae,60.497,-145.87,2014,2,840,3,50
290,Alcidae,58.442,-134.766,1985,1,840,3,21
230,Alcidae,58.442,-134.766,1986,6,840,3,21
290,Alcidae,58.442,-134.766,1986,2,840,3,21
230,Alcidae,58.442,-134.766,1989,17,840,3,21
230,Alcidae,55.327,-131.521,1994,1,840,3,24
230,Alcidae,55.327,-131.521,1995,1,840,3,24
230,Alcidae,55.327,-131.521,1996,8,840,3,24
230,Alcidae,58.442,-134.766,1990,2,840,3,21
290,Alcidae,58.442,-134.766,1990,1,840,3,21
230,Alcidae,58.442,-134.766,1991,4,840,3,21
230,Alcidae,58.442,-134.766,1992,2,840,3,21
230,Alcidae,58.442,-134.766,1993,8,840,3,21
290,Alcidae,58.442,-134.766,1993,1,840,3,21
230,Alcidae,55.327,-131.521,1997,9,840,3,24
230,Alcidae,55.327,-131.521,1998,9,840,3,24
230,Alcidae,55.327,-131.521,1999,15,840,3,24
230,Alcidae,55.327,-131.521,2000,13,840,3,24
230,Alcidae,58.442,-134.766,1994,1,840,3,21
230,Alcidae,58.442,-134.766,1995,1,840,3,21
230,Alcidae,55.327,-131.521,2001,10,840,3,24
230,Alcidae,55.327,-131.521,2002,2,840,3,24
230,Alcidae,55.327,-131.521,2004,1,840,3,24
230,Alcidae,58.442,-134.766,1996,19,840,3,21
230,Alcidae,58.442,-134.766,1997,12,840,3,21
230,Alcidae,58.442,-134.766,1998,3,840,3,21
290,Alcidae,58.442,-134.766,1998,2,840,3,21
230,Alcidae,55.327,-131.521,2005,6,840,3,24
230,Alcidae,55.327,-131.521,2007,2,840,3,24
230,Alcidae,55.327,-131.521,2008,3,840,3,24
230,Alcidae,58.442,-134.766,2000,4,840,3,21
230,Alcidae,58.442,-134.766,2001,12,840,3,21
230,Alcidae,58.442,-134.766,2002,9,840,3,21
230,Alcidae,55.327,-131.521,2009,6,840,3,24
230,Alcidae,55.327,-131.521,2015,20,840,3,24
300,Alcidae,55.327,-131.521,2015,1,840,3,24
230,Alcidae,55.327,-131.521,2016,7,840,3,24
230,Alcidae,58.442,-134.766,2003,13,840,3,21
230,Alcidae,58.442,-134.766,2004,5,840,3,21
230,Alcidae,58.442,-134.766,2005,10,840,3,21
230,Alcidae,59.336,-135.568,1975,4,840,3,25
290,Alcidae,59.336,-135.568,1989,13,840,3,25
230,Alcidae,58.442,-134.766,2006,12,840,3,21
230,Alcidae,58.442,-134.766,2007,10,840,3,21
230,Alcidae,58.442,-134.766,2008,12,840,3,21
230,Alcidae,59.336,-135.568,1991,5,840,3,25
230,Alcidae,59.336,-135.568,1993,11,840,3,25
290,Alcidae,59.336,-135.568,1993,8,840,3,25
230,Alcidae,59.336,-135.568,1994,12,840,3,25
290,Alcidae,59.336,-135.568,1994,7,840,3,25
230,Alcidae,58.442,-134.766,2009,21,840,3,21
230,Alcidae,58.442,-134.766,2010,9,840,3,21
230,Alcidae,58.442,-134.766,2011,18,840,3,21
230,Alcidae,59.336,-135.568,1995,12,840,3,25
290,Alcidae,59.336,-135.568,1995,3,840,3,25
230,Alcidae,59.336,-135.568,1996,35,840,3,25
230,Alcidae,58.442,-134.766,2012,11,840,3,21
230,Alcidae,58.442,-134.766,2013,26,840,3,21
