countrynum,statenum,statename,Route,routename,latitude,longitude,Year,Aou,family,SpeciesTotal
840,2,ALABAMA,4,TRADE,34.0297881,-87.0592352,2010,3370,Accipitridae,2
840,2,ALABAMA,4,TRADE,34.0297881,-87.0592352,2010,3390,Accipitridae,1
840,2,ALABAMA,4,TRADE,34.0297881,-87.0592352,2010,3430,Accipitridae,1
840,2,ALABAMA,6,VALHERMOSO SPGS,34.5012877,-86.6855493,2010,3390,Accipitridae,1
840,2,ALABAMA,7,SWAIM,34.8680404,-86.2030371,2010,3370,Accipitridae,2
840,2,ALABAMA,10,MILLERVILLE,33.1913463,-85.9258408,2010,3330,Accipitridae,1
840,2,ALABAMA,12,SUNNY EVE,33.6076572,-85.7511714,2010,3370,Accipitridae,1
840,2,ALABAMA,12,SUNNY EVE,33.6076572,-85.7511714,2010,3390,Accipitridae,2
840,2,ALABAMA,14,SMYER LAKE,33.4549551,-86.6010915,2010,3370,Accipitridae,3
840,2,ALABAMA,14,SMYER LAKE,33.4549551,-86.6010915,2010,3390,Accipitridae,1
840,2,ALABAMA,17,MAYTOWN,33.5263185,-87.0044623,2010,3330,Accipitridae,1
840,2,ALABAMA,17,MAYTOWN,33.5263185,-87.0044623,2010,3390,Accipitridae,2
840,2,ALABAMA,21,LINDEN,32.2782397,-87.8359539,2010,3370,Accipitridae,2
840,2,ALABAMA,24,SPRAGUE,32.1312407,-86.2754989,2010,3390,Accipitridae,1
840,2,ALABAMA,25,BILLINGSLEY,32.6594297,-86.7017714,2010,3290,Accipitridae,1
840,2,ALABAMA,25,BILLINGSLEY,32.6594297,-86.7017714,2010,3370,Accipitridae,3
840,2,ALABAMA,25,BILLINGSLEY,32.6594297,-86.7017714,2010,3390,Accipitridae,1
840,2,ALABAMA,26,WALLSBORO,32.5890245,-86.1307777,2010,3390,Accipitridae,3
840,2,ALABAMA,27,WARRIOR STD,32.3116131,-85.5530853,2010,3330,Accipitridae,1
840,2,ALABAMA,27,WARRIOR STD,32.3116131,-85.5530853,2010,3390,Accipitridae,1
840,2,ALABAMA,28,LANETT,32.8854647,-85.2044589,2010,3330,Accipitridae,1
840,2,ALABAMA,28,LANETT,32.8854647,-85.2044589,2010,3370,Accipitridae,1
840,2,ALABAMA,28,LANETT,32.8854647,-85.2044589,2010,3390,Accipitridae,2
840,2,ALABAMA,29,COTTONTON,32.1473077,-85.0626449,2010,3370,Accipitridae,2
840,2,ALABAMA,29,COTTONTON,32.1473077,-85.0626449,2010,3390,Accipitridae,2
840,2,ALABAMA,31,GRANGEBURG,31.0081277,-85.2112631,2010,3330,Accipitridae,1
840,2,ALABAMA,31,GRANGEBURG,31.0081277,-85.2112631,2010,3370,Accipitridae,3
840,2,ALABAMA,31,GRANGEBURG,31.0081277,-85.2112631,2010,3430,Accipitridae,2
840,2,ALABAMA,33,BRANTLEY,31.5859083,-86.250378,2010,3390,Accipitridae,3
840,2,ALABAMA,34,SOUTH,31.4439507,-86.6131969,2010,3270,Accipitridae,1
840,2,ALABAMA,35,MCLELLAN,30.9977072,-86.8858316,2010,3270,Accipitridae,1
840,2,ALABAMA,35,MCLELLAN,30.9977072,-86.8858316,2010,3430,Accipitridae,1
840,2,ALABAMA,36,BEATRICE,31.7399574,-87.2090516,2010,3290,Accipitridae,1
840,2,ALABAMA,36,BEATRICE,31.7399574,-87.2090516,2010,3370,Accipitridae,1
840,2,ALABAMA,39,MILLRY,31.632605,-88.3131441,2010,3390,Accipitridae,1
840,2,ALABAMA,43,BLOCTON,33.1156047,-87.1007539,2010,3370,Accipitridae,1
840,2,ALABAMA,43,BLOCTON,33.1156047,-87.1007539,2010,3390,Accipitridae,1
840,2,ALABAMA,45,WHITEHOUSE,34.1311637,-87.7621469,2010,3390,Accipitridae,1
840,2,ALABAMA,46,GUNTERSVILLE,34.3142387,-86.4773569,2010,3390,Accipitridae,1
840,2,ALABAMA,48,EPES,32.6807827,-88.1229309,2010,3370,Accipitridae,3
840,2,ALABAMA,48,EPES,32.6807827,-88.1229309,2010,3390,Accipitridae,2
840,2,ALABAMA,49,WEDGEWORTH,32.8055085,-87.7643955,2010,3330,Accipitridae,1
840,2,ALABAMA,49,WEDGEWORTH,32.8055085,-87.7643955,2010,3370,Accipitridae,1
840,2,ALABAMA,49,WEDGEWORTH,32.8055085,-87.7643955,2010,3390,Accipitridae,1
840,2,ALABAMA,50,WHITEHALL,32.3276808,-86.7118894,2010,3370,Accipitridae,1
840,2,ALABAMA,50,WHITEHALL,32.3276808,-86.7118894,2010,3390,Accipitridae,2
840,2,ALABAMA,51,LIBERTY CITY,32.5816871,-85.7164607,2010,3390,Accipitridae,4
840,2,ALABAMA,51,LIBERTY CITY,32.5816871,-85.7164607,2010,3430,Accipitridae,2
