countrynum,statenum,statename,Route,routename,latitude,longitude,Year,Aou,family,SpeciesTotal
840,6,ARIZONA,14,PRESCOTT,34.6437087,-112.4327389,2010,7430,Aegithalidae,14
840,6,ARIZONA,31,PENA BLANCA,31.387449,-111.064564,2010,7430,Aegithalidae,4
840,6,ARIZONA,64,SKULL VALLEY,34.7733727,-112.6192267,2010,7430,Aegithalidae,17
840,6,ARIZONA,65,TONTO VILL.,34.3566847,-111.1008299,2010,7430,Aegithalidae,2
840,6,ARIZONA,103,KAIBITO,36.6095467,-111.0768659,2010,7430,Aegithalidae,3
840,6,ARIZONA,108,SELIGMAN,35.2307957,-112.5859679,2010,7430,Aegithalidae,1
124,11,British Columbia,212,POINT GREY,49.26269,-123.25848,2010,7430,Aegithalidae,4
124,11,British Columbia,411,Maple Ridge,49.18402,-122.53478,2010,7430,Aegithalidae,2
124,11,British Columbia,413,NANAIMO RIV,49.19418,-124.09906,2010,7430,Aegithalidae,3
840,14,CALIFORNIA,7,RED BLUFF,40.3520163,-122.3059647,2010,7430,Aegithalidae,3
840,14,CALIFORNIA,11,HULLVILLE,39.5232837,-122.9409709,2010,7430,Aegithalidae,20
840,14,CALIFORNIA,14,FISH ROCK,38.8035918,-123.5854569,2010,7430,Aegithalidae,3
840,14,CALIFORNIA,21,HUGHSON,37.5947824,-120.860951,2010,7430,Aegithalidae,2
840,14,CALIFORNIA,47,OAK GROVE,33.3988807,-116.8011859,2010,7430,Aegithalidae,4
840,14,CALIFORNIA,54,ORANGE COVE,36.6315997,-119.3047559,2010,7430,Aegithalidae,13
840,14,CALIFORNIA,71,POINT REYES,38.0453507,-122.8668979,2010,7430,Aegithalidae,6
840,14,CALIFORNIA,97,ONO,40.5164906,-122.3819302,2010,7430,Aegithalidae,3
840,14,CALIFORNIA,98,FOLSOM,38.7202247,-121.0356899,2010,7430,Aegithalidae,21
840,14,CALIFORNIA,104,TUJUNGA,34.2581397,-118.1049598,2010,7430,Aegithalidae,2
840,14,CALIFORNIA,112,PEARBLOSSOM,34.5208799,-117.9406162,2010,7430,Aegithalidae,1
840,14,CALIFORNIA,117,SILVER CITY,36.4664267,-118.6547779,2010,7430,Aegithalidae,16
840,14,CALIFORNIA,118,LOCKWOOD VAL,34.7383427,-119.0450209,2010,7430,Aegithalidae,14
840,14,CALIFORNIA,119,ELSINORE MTN,33.6484217,-117.4101409,2010,7430,Aegithalidae,16
840,14,CALIFORNIA,132,KINGS CANYON,36.8189424,-118.9088976,2010,7430,Aegithalidae,7
840,14,CALIFORNIA,138,CRESTON,49.07317,-116.52268,2010,7430,Aegithalidae,11
840,14,CALIFORNIA,142,MT PINOS 2,34.8339402,-119.3299456,2010,7430,Aegithalidae,3
840,14,CALIFORNIA,153,GOLD HILL,38.7687607,-120.9253159,2010,7430,Aegithalidae,10
840,14,CALIFORNIA,155,WESTLEY,37.5141365,-121.1597352,2010,7430,Aegithalidae,1
840,14,CALIFORNIA,156,TUOLUMNE GROVE,37.7472667,-119.8035199,2010,7430,Aegithalidae,2
840,14,CALIFORNIA,161,TEHAMA,40.3357087,-121.9157259,2010,7430,Aegithalidae,2
840,14,CALIFORNIA,166,DORRIS,41.9998861,-121.8916067,2010,7430,Aegithalidae,4
840,14,CALIFORNIA,168,MACDOEL,41.8224004,-122.0111142,2010,7430,Aegithalidae,7
840,14,CALIFORNIA,172,MORAGA,37.8183531,-122.1464708,2010,7430,Aegithalidae,16
840,14,CALIFORNIA,179,YOLLA BOLLY,40.0279597,-122.6387259,2010,7430,Aegithalidae,2
840,14,CALIFORNIA,182,LAYTONVILLE,39.6878368,-123.484892,2010,7430,Aegithalidae,2
840,14,CALIFORNIA,186,MARK WEST,38.5498734,-122.719303,2010,7430,Aegithalidae,6
840,14,CALIFORNIA,189,COYOTE,37.2521703,-121.6774341,2010,7430,Aegithalidae,8
840,14,CALIFORNIA,190,COPPEROPOLIS,37.9834939,-120.6452578,2010,7430,Aegithalidae,10
840,14,CALIFORNIA,192,DEEP SPRINGS,37.4158007,-118.0043109,2010,7430,Aegithalidae,2
840,14,CALIFORNIA,193,BODEGA BAY,38.3407717,-123.0480649,2010,7430,Aegithalidae,1
840,14,CALIFORNIA,194,WATERMAN GAP,37.2115267,-122.1565019,2010,7430,Aegithalidae,4
