countrynum,statenum,statename,Route,routename,latitude,longitude,Year,Aou,family,SpeciesTotal
840,6,ARIZONA,65,TONTO VILL.,34.3566847,-111.1008299,2016,3120,Columbidae,2
840,6,ARIZONA,133,PORTAL,31.9825267,-109.2013399,2016,3120,Columbidae,4
124,11,British Columbia,202,NITNAT,48.87213,-124.81477,2016,3120,Columbidae,8
124,11,British Columbia,226,STELLA LAKE,50.18259,-125.49475,2016,3120,Columbidae,4
124,11,British Columbia,313,DUCK LAKE,49.78313,-124.17869,2016,3120,Columbidae,12
124,11,British Columbia,328,Nawhiti Lake,50.680643,-127.980411,2016,3120,Columbidae,5
124,11,British Columbia,401,SALT SPR. IS,48.74932,-123.54811,2016,3120,Columbidae,2
124,11,British Columbia,402,COWICHAN LK.,48.82305,-124.05783,2016,3120,Columbidae,17
124,11,British Columbia,410,CHILLIWACK LAKE,49.02589,-121.38798,2016,3120,Columbidae,14
124,11,British Columbia,426,QUADRA IS.,50.02276,-125.16041,2016,3120,Columbidae,3
124,11,British Columbia,511,Skookumchuk,49.928775,-122.400526,2016,3120,Columbidae,2
124,11,British Columbia,612,SQUAMISH RIVER,49.68665,-123.17833,2016,3120,Columbidae,5
124,11,British Columbia,613,COOMBS,49.25092,-124.35721,2016,3120,Columbidae,3
840,14,CALIFORNIA,3,NUBIEBER,41.1014068,-121.2571315,2016,3120,Columbidae,8
840,14,CALIFORNIA,5,HONEYDEW,40.2431947,-124.1233439,2016,3120,Columbidae,3
840,14,CALIFORNIA,6,HOLMES,40.4150917,-123.9615249,2016,3120,Columbidae,20
840,14,CALIFORNIA,13,WESTVILLE,39.1239687,-120.7596199,2016,3120,Columbidae,2
840,14,CALIFORNIA,22,BASS LAKE,37.3670857,-119.6302109,2016,3120,Columbidae,6
840,14,CALIFORNIA,78,JOHNSVILLE,39.7846537,-120.6326679,2016,3120,Columbidae,3
840,14,CALIFORNIA,79,COHASSET,39.9935292,-121.704424,2016,3120,Columbidae,12
840,14,CALIFORNIA,106,MESA GRANDE,33.1990869,-116.7862853,2016,3120,Columbidae,1
840,14,CALIFORNIA,108,CARMEL VAL,36.4530827,-121.6956939,2016,3120,Columbidae,6
840,14,CALIFORNIA,129,MT BALDY,34.1748887,-117.6766129,2016,3120,Columbidae,11
840,14,CALIFORNIA,130,GREEN VALLEY,34.2452557,-117.0639579,2016,3120,Columbidae,10
840,14,CALIFORNIA,136,LAKE CACHUMA,34.6739607,-119.6685329,2016,3120,Columbidae,4
840,14,CALIFORNIA,158,SATTLEY,39.6153759,-120.4258218,2016,3120,Columbidae,1
840,14,CALIFORNIA,172,MORAGA,37.8183531,-122.1464708,2016,3120,Columbidae,4
