LATITUDE,LONGITUDE,AOU,SPECIESTOTAL
54.031,-132.057,150,2
54.031,-132.057,230,2
54.031,-132.057,290,10
54.031,-132.057,150,2
54.031,-132.057,230,2
54.031,-132.057,290,10
54.031,-132.057,150,2
54.031,-132.057,230,2
54.031,-132.057,290,10
54.031,-132.057,150,2
54.031,-132.057,230,2
54.031,-132.057,290,10
54.031,-132.057,150,2
54.031,-132.057,230,2
54.031,-132.057,290,10
54.031,-132.057,150,2
54.031,-132.057,230,2
54.031,-132.057,290,10
54.031,-132.057,150,2
54.031,-132.057,230,2
54.031,-132.057,290,10
54.031,-132.057,150,2
54.031,-132.057,230,2
54.031,-132.057,290,10
54.031,-132.057,150,2
54.031,-132.057,230,2
54.031,-132.057,290,10
54.031,-132.057,150,2
54.031,-132.057,230,2
54.031,-132.057,290,10
54.031,-132.057,150,2
54.031,-132.057,230,2
54.031,-132.057,290,10
54.031,-132.057,150,2
54.031,-132.057,230,2
54.031,-132.057,290,10
54.031,-132.057,150,2
54.031,-132.057,230,2
54.031,-132.057,290,10
54.031,-132.057,150,2
54.031,-132.057,230,2
54.031,-132.057,290,10
54.031,-132.057,150,2
54.031,-132.057,230,2
54.031,-132.057,290,10
54.031,-132.057,150,2
54.031,-132.057,230,2
54.031,-132.057,290,10
54.031,-132.057,150,2
54.031,-132.057,230,2
54.031,-132.057,290,10
54.031,-132.057,150,2
54.031,-132.057,230,2
54.031,-132.057,290,10
54.031,-132.057,150,2
54.031,-132.057,230,2
54.031,-132.057,290,10
54.031,-132.057,150,2
54.031,-132.057,230,2
54.031,-132.057,290,10
50.681,-127.98,230,3
50.681,-127.98,230,3
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.869,-59.192,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
47.019,-60.523,270,1
