@relation Data_Picidae_2010_clustering

@attribute LATITUDE numeric
@attribute LONGITUDE numeric
@attribute AOU numeric
@attribute SPECIESTOTAL numeric

@data
34.869,-87.604,3940,4
34.869,-87.604,4050,1
34.869,-87.604,4060,1
34.869,-87.604,4090,16
34.03,-87.059,4060,4
34.03,-87.059,4090,10
34.03,-87.059,4120,1
34.501,-86.686,3940,7
34.501,-86.686,4050,1
34.501,-86.686,4090,7
34.868,-86.203,3940,5
34.868,-86.203,4090,15
34.868,-86.203,4120,1
33.191,-85.926,3940,6
33.191,-85.926,4050,5
33.191,-85.926,4090,17
33.191,-85.926,4120,1
33.608,-85.751,3940,4
33.608,-85.751,4050,4
33.608,-85.751,4060,2
33.608,-85.751,4090,22
33.455,-86.601,3940,1
33.455,-86.601,4050,6
33.455,-86.601,4090,12
33.526,-87.004,3940,1
33.526,-87.004,4050,3
33.526,-87.004,4060,4
33.526,-87.004,4090,10
33.848,-87.589,3940,1
33.848,-87.589,4050,1
33.848,-87.589,4090,4
32.278,-87.836,3940,1
32.278,-87.836,4050,2
32.278,-87.836,4090,9
32.131,-88.317,4060,1
32.131,-88.317,4090,11
33.477,-88.171,4090,11
33.477,-88.171,4120,3
32.443,-87.216,3940,3
32.443,-87.216,4090,7
32.659,-86.702,3940,4
32.659,-86.702,4060,3
32.659,-86.702,4090,7
32.659,-86.702,4120,2
32.589,-86.131,3930,2
32.589,-86.131,3940,8
32.589,-86.131,4060,2
32.589,-86.131,4090,18
32.131,-86.275,3940,7
32.131,-86.275,4050,3
32.131,-86.275,4060,2
32.131,-86.275,4090,26
32.885,-85.204,3940,6
32.885,-85.204,4050,4
32.885,-85.204,4060,1
32.885,-85.204,4090,27
32.885,-85.204,4120,3
32.147,-85.063,3940,2
32.147,-85.063,4060,2
32.147,-85.063,4090,22
32.312,-85.553,3940,6
32.312,-85.553,4050,4
32.312,-85.553,4060,1
32.312,-85.553,4090,20
31.008,-85.211,3940,1
31.008,-85.211,4050,3
31.008,-85.211,4090,28
31.586,-86.25,3940,3
31.586,-86.25,4060,1
31.586,-86.25,4090,13
31.586,-86.25,4120,1
30.998,-86.886,3940,1
30.998,-86.886,4060,1
30.998,-86.886,4090,25
31.74,-87.209,3940,2
31.74,-87.209,4050,1
31.74,-87.209,4060,1
31.74,-87.209,4090,11
31.74,-87.209,4120,1
31.444,-86.613,4050,4
31.444,-86.613,4090,22
31.633,-88.313,3940,1
31.633,-88.313,4050,2
31.633,-88.313,4060,1
31.633,-88.313,4090,13
34.131,-87.762,3940,3
34.131,-87.762,4050,2
34.131,-87.762,4060,1
34.131,-87.762,4090,6
33.116,-87.101,3940,3
33.116,-87.101,4060,1
33.116,-87.101,4090,7
33.116,-87.101,4120,2
34.314,-86.477,3930,1
34.314,-86.477,3940,7
34.314,-86.477,4050,1
34.314,-86.477,4090,6
34.314,-86.477,4120,2
33.138,-87.821,3940,2
33.138,-87.821,4050,2
33.138,-87.821,4090,13
33.138,-87.821,4120,1
32.806,-87.764,3940,1
32.806,-87.764,4060,1
32.806,-87.764,4090,14
32.681,-88.123,3940,2
32.681,-88.123,4050,1
32.681,-88.123,4060,1
32.681,-88.123,4090,10
32.328,-86.712,3940,10
32.328,-86.712,4090,24
32.328,-86.712,4120,1
32.582,-85.716,3930,1
32.582,-85.716,3940,3
32.582,-85.716,4050,8
32.582,-85.716,4060,5
32.582,-85.716,4090,13
31.222,-86.099,4060,3
31.222,-86.099,4090,11
31.222,-86.099,4120,1
33.281,-88.009,3940,1
33.281,-88.009,4050,5
33.281,-88.009,4090,8
33.719,-86.446,3940,11
33.719,-86.446,4090,27
34.424,-87.391,3930,4
34.424,-87.391,3940,2
34.424,-87.391,4050,9
33.264,-87.424,3940,4
33.264,-87.424,4050,1
33.264,-87.424,4060,2
33.264,-87.424,4090,7
33.264,-87.424,4120,1
31.668,-85.651,3940,5
31.668,-85.651,4050,5
31.668,-85.651,4060,3
31.668,-85.651,4090,31
34.424,-87.391,4060,3
34.424,-87.391,4090,7
31.409,-86.27,3940,1
31.409,-86.27,4050,1
31.409,-86.27,4060,1
31.409,-86.27,4090,15
32.434,-85.871,3940,1
32.434,-85.871,4050,3
32.434,-85.871,4090,18
32.434,-85.871,4120,1
32.413,-87.538,3940,4
32.413,-87.538,4060,1
32.413,-87.538,4090,10
34.99,-86.067,3940,5
34.99,-86.067,4050,3
34.99,-86.067,4090,7
34.99,-86.067,4120,2
34.309,-85.932,3940,5
34.309,-85.932,4050,3
34.309,-85.932,4060,4
34.309,-85.932,4090,8
34.309,-85.932,4120,3
34.213,-86.473,3940,2
34.213,-86.473,4050,1
34.213,-86.473,4060,2
34.213,-86.473,4090,16
34.929,-86.989,3940,4
34.929,-86.989,4050,2
34.929,-86.989,4090,11
34.796,-87.384,3940,3
34.796,-87.384,4090,4
30.282,-87.518,4090,7
30.282,-87.518,3940,1
30.282,-87.518,4060,1
30.282,-87.518,4090,5
33.291,-86.331,3940,2
33.291,-86.331,4090,7
33.291,-86.331,4120,1
33.63,-85.747,3940,1
33.63,-85.747,4050,5
33.63,-85.747,4090,10
30.248,-88.112,3940,2
30.248,-88.112,4090,4
30.37,-87.602,3940,4
30.37,-87.602,4050,2
30.37,-87.602,4060,2
30.37,-87.602,4090,7
30.37,-87.602,4120,2
31.071,-87.835,3940,2
31.071,-87.835,4060,3
31.071,-87.835,4090,11
31.071,-87.835,4120,2
30.282,-87.518,3940,2
30.282,-87.518,4060,2
30.282,-87.518,4090,12
30.282,-87.518,4120,1
33.856,-86.381,3940,1
33.856,-86.381,4050,3
33.856,-86.381,4060,2
33.856,-86.381,4090,18
33.685,-88.167,3940,3
33.685,-88.167,4050,2
33.685,-88.167,4060,3
33.685,-88.167,4090,8
32.822,-86.112,3930,1
32.822,-86.112,3940,1
32.822,-86.112,4050,5
32.822,-86.112,4090,11
34.758,-85.859,3940,4
34.758,-85.859,4090,5
34.758,-85.859,4120,1
33.941,-85.45,3930,2
33.941,-85.45,3940,2
33.941,-85.45,4050,3
33.941,-85.45,4060,7
33.941,-85.45,4090,12
33.941,-85.45,4120,7
33.184,-85.465,3940,5
33.184,-85.465,4090,4
32.486,-86.57,3940,5
32.486,-86.57,4090,9
31.137,-88.221,3940,1
31.137,-88.221,4050,1
31.137,-88.221,4060,2
31.137,-88.221,4090,16
33.318,-86.157,3940,6
33.318,-86.157,4050,1
33.318,-86.157,4090,9
32.193,-87.379,3940,3
32.193,-87.379,4090,7
32.503,-85.253,3940,1
32.503,-85.253,4050,1
32.503,-85.253,4060,3
32.503,-85.253,4090,9
32.503,-85.253,4120,2
33.592,-86.204,3930,1
33.592,-86.204,3940,8
33.592,-86.204,4050,4
33.592,-86.204,4090,17
30.688,-87.969,3940,2
30.688,-87.969,4050,7
30.688,-87.969,4090,36
30.688,-87.969,4120,4
34.476,-86.468,3940,5
34.476,-86.468,4050,1
34.476,-86.468,4090,2
32.668,-87.242,3940,6
32.668,-87.242,4050,6
32.668,-87.242,4090,12
64.553,-141.279,3920,2
64.553,-141.279,4123,1
31.905,-86.185,3940,5
31.905,-86.185,4050,1
31.905,-86.185,4090,9
30.803,-87.637,4060,3
30.803,-87.637,4090,16
30.803,-87.637,4120,1
31.73,-85.256,3940,3
31.73,-85.256,4050,1
31.73,-85.256,4090,15
63.277,-147.944,4120,5
63.013,-141.805,4120,1
63.615,-143.986,4120,1
63.379,-148.86,3920,1
64.256,-146.077,3920,1
65.563,-148.418,3920,1
65.791,-144.089,4120,4
59.336,-135.568,4030,2
58.442,-134.766,4030,11
64.546,-146.995,3940,1
60.596,-150.787,3920,3
60.596,-150.787,3930,1
61.734,-144.958,3920,2
61.734,-144.958,4120,3
61.587,-149.428,3940,1
57.017,-135.155,4030,2
57.017,-135.155,4130,2
59.035,-158.527,3930,2
57.533,-152.45,3940,1
62.232,-146.516,4120,2
65.054,-146.06,4120,1
56.74,-132.766,3930,2
56.74,-132.766,4030,14
56.74,-132.766,4130,3
57.813,-152.618,3940,1
59.646,-151.561,4120,1
60.526,-150.566,3920,1
56.46,-132.38,4030,9
64.771,-157.029,3930,1
64.771,-157.029,3940,3
66.442,-150.632,4010,1
61.4,-149.842,3930,2
61.4,-149.842,3940,2
61.4,-149.842,4010,1
59.418,-139.022,3930,3
59.418,-139.022,4030,1
57.922,-135.046,4010,1
57.922,-135.046,4030,33
56.208,-133.078,3930,1
56.208,-133.078,4030,3
56.208,-133.078,4130,1
63.583,-157.844,3920,2
63.596,-158.078,3920,2
56.35,-132.767,4030,19
57.838,-135.06,3930,1
57.838,-135.06,3940,1
57.838,-135.06,4010,1
57.838,-135.06,4030,25
56.647,-131.857,3930,1
56.647,-131.857,4030,1
60.465,-145.348,3920,1
56.708,-134.242,3930,2
56.708,-134.242,4030,10
62.442,-143.071,4120,1
49.815,-113.57,4130,1
50.481,-114.425,4021,1
50.481,-114.425,4130,2
51.831,-114.45,4022,9
51.831,-114.45,4123,3
51.778,-112.647,3940,1
51.778,-112.647,4123,2
52.201,-111.076,4120,3
52.463,-110.651,4120,3
52.028,-114.478,4020,2
52.028,-114.478,4120,2
52.259,-116.392,4130,4
52.172,-112.339,4120,3
53.497,-110.866,3930,1
53.497,-110.866,4120,9
53.716,-111.526,4020,1
53.716,-111.526,4120,1
53.687,-113.885,4020,2
53.687,-113.885,4120,3
53.164,-114.22,3940,1
53.164,-114.22,4020,2
53.164,-114.22,4120,4
53.803,-115.266,4020,3
53.803,-115.266,4050,1
53.803,-115.266,4120,1
53.338,-112.782,4020,3
53.338,-112.782,4050,1
53.338,-112.782,4120,4
54.268,-111.278,3930,1
54.268,-111.278,4120,2
53.374,-117.711,4020,1
53.374,-117.711,4120,5
53.813,-118.483,4010,1
53.813,-118.483,4123,1
54.12,-114.715,3940,6
54.12,-114.715,4020,2
54.12,-114.715,4120,2
54.75,-118.226,3930,1
54.75,-118.226,3940,3
54.75,-118.226,4020,49
