COUNTRYNUM,STATENUM,ROUTE,LATITUDE,LONGITUDE,YEAR,AOU,FAMILY,STOPTOTAL,SPECIESTOTAL
840,2,1,34.869,-87.604,2010,3940,Picidae,4,4
840,2,1,34.869,-87.604,2010,4050,Picidae,1,1
840,2,1,34.869,-87.604,2010,4060,Picidae,1,1
840,2,1,34.869,-87.604,2010,4090,Picidae,14,16
840,2,4,34.03,-87.059,2010,4060,Picidae,3,4
840,2,4,34.03,-87.059,2010,4090,Picidae,9,10
840,2,4,34.03,-87.059,2010,4120,Picidae,1,1
840,2,6,34.501,-86.686,2010,3940,Picidae,7,7
840,2,6,34.501,-86.686,2010,4050,Picidae,1,1
840,2,6,34.501,-86.686,2010,4090,Picidae,6,7
840,2,7,34.868,-86.203,2010,3940,Picidae,5,5
840,2,7,34.868,-86.203,2010,4090,Picidae,13,15
840,2,7,34.868,-86.203,2010,4120,Picidae,1,1
840,2,10,33.191,-85.926,2010,3940,Picidae,5,6
840,2,10,33.191,-85.926,2010,4050,Picidae,4,5
840,2,10,33.191,-85.926,2010,4090,Picidae,13,17
840,2,10,33.191,-85.926,2010,4120,Picidae,1,1
840,2,12,33.608,-85.751,2010,3940,Picidae,3,4
840,2,12,33.608,-85.751,2010,4050,Picidae,4,4
840,2,12,33.608,-85.751,2010,4060,Picidae,1,2
840,2,12,33.608,-85.751,2010,4090,Picidae,17,22
840,2,14,33.455,-86.601,2010,3940,Picidae,1,1
840,2,14,33.455,-86.601,2010,4050,Picidae,5,6
840,2,14,33.455,-86.601,2010,4090,Picidae,10,12
840,2,17,33.526,-87.004,2010,3940,Picidae,1,1
840,2,17,33.526,-87.004,2010,4050,Picidae,2,3
840,2,17,33.526,-87.004,2010,4060,Picidae,4,4
840,2,17,33.526,-87.004,2010,4090,Picidae,10,10
840,2,16,33.848,-87.589,2010,3940,Picidae,1,1
840,2,16,33.848,-87.589,2010,4050,Picidae,1,1
840,2,16,33.848,-87.589,2010,4090,Picidae,4,4
840,2,21,32.278,-87.836,2010,3940,Picidae,1,1
840,2,21,32.278,-87.836,2010,4050,Picidae,1,2
840,2,21,32.278,-87.836,2010,4090,Picidae,8,9
840,2,20,32.131,-88.317,2010,4060,Picidae,1,1
840,2,20,32.131,-88.317,2010,4090,Picidae,10,11
840,2,19,33.477,-88.171,2010,4090,Picidae,11,11
840,2,19,33.477,-88.171,2010,4120,Picidae,3,3
840,2,22,32.443,-87.216,2010,3940,Picidae,3,3
840,2,22,32.443,-87.216,2010,4090,Picidae,7,7
840,2,25,32.659,-86.702,2010,3940,Picidae,4,4
840,2,25,32.659,-86.702,2010,4060,Picidae,2,3
840,2,25,32.659,-86.702,2010,4090,Picidae,7,7
840,2,25,32.659,-86.702,2010,4120,Picidae,2,2
840,2,26,32.589,-86.131,2010,3930,Picidae,2,2
840,2,26,32.589,-86.131,2010,3940,Picidae,5,8
840,2,26,32.589,-86.131,2010,4060,Picidae,2,2
840,2,26,32.589,-86.131,2010,4090,Picidae,15,18
840,2,24,32.131,-86.275,2010,3940,Picidae,6,7
840,2,24,32.131,-86.275,2010,4050,Picidae,3,3
840,2,24,32.131,-86.275,2010,4060,Picidae,2,2
840,2,24,32.131,-86.275,2010,4090,Picidae,19,26
840,2,28,32.885,-85.204,2010,3940,Picidae,6,6
840,2,28,32.885,-85.204,2010,4050,Picidae,3,4
840,2,28,32.885,-85.204,2010,4060,Picidae,1,1
840,2,28,32.885,-85.204,2010,4090,Picidae,19,27
840,2,28,32.885,-85.204,2010,4120,Picidae,3,3
840,2,29,32.147,-85.063,2010,3940,Picidae,2,2
840,2,29,32.147,-85.063,2010,4060,Picidae,2,2
840,2,29,32.147,-85.063,2010,4090,Picidae,16,22
840,2,27,32.312,-85.553,2010,3940,Picidae,6,6
840,2,27,32.312,-85.553,2010,4050,Picidae,4,4
840,2,27,32.312,-85.553,2010,4060,Picidae,1,1
840,2,27,32.312,-85.553,2010,4090,Picidae,15,20
