"COUNTRYNUM","STATENUM","ROUTE","LATITUDE","LONGITUDE","YEAR","AOU","FAMILY","STOPTOTAL","SPECIESTOTAL","STARTTEMP","ENDTEMP","TEMPSCALE","STARTWIND","ENDWIND","STARTSKY","ENDSKY"
840,6,116,34.612,-110.378,2010,"03650","Tytonidae","1 ","1   ",18,24,"C",1,0,2,1
840,6,116,34.612,-110.378,2010,"03650","Tytonidae","1 ","1   ",7,17,"C",0,2,0,0
840,6,116,34.612,-110.378,2010,"03650","Tytonidae","1 ","1   ",7,30,"C",1,0,0,0
840,6,116,34.612,-110.378,2010,"03650","Tytonidae","1 ","1   ",10,18,"C",0,0,1,2
840,6,116,34.612,-110.378,2010,"03650","Tytonidae","1 ","1   ",11,28,"C",0,0,0,0
840,6,116,34.612,-110.378,2010,"03650","Tytonidae","1 ","1   ",17,29,"C",0,1,1,0
840,6,116,34.612,-110.378,2010,"03650","Tytonidae","1 ","1   ",1,18,"C",0,1,0,0
840,6,116,34.612,-110.378,2010,"03650","Tytonidae","1 ","1   ",9,27,"C",0,2,1,0
840,6,116,34.612,-110.378,2010,"03650","Tytonidae","1 ","1   ",8,28,"C",0,1,1,1
840,6,116,34.612,-110.378,2010,"03650","Tytonidae","1 ","1   ",19,27,"C",1,1,1,0
840,6,116,34.612,-110.378,2010,"03650","Tytonidae","1 ","1   ",20,27,"C",0,1,0,0
840,6,116,34.612,-110.378,2010,"03650","Tytonidae","1 ","1   ",16,24,"C",3,5,1,0
840,6,116,34.612,-110.378,2010,"03650","Tytonidae","1 ","1   ",4,18,"C",1,2,1,1
840,6,116,34.612,-110.378,2010,"03650","Tytonidae","1 ","1   ",8,18,"C",0,1,0,0
840,6,116,34.612,-110.378,2010,"03650","Tytonidae","1 ","1   ",12,23,"C",0,3,2,0
840,6,116,34.612,-110.378,2010,"03650","Tytonidae","1 ","1   ",13,24,"C",1,5,0,0
840,6,116,34.612,-110.378,2010,"03650","Tytonidae","1 ","1   ",7,24,"C",0,1,0,0
840,6,116,34.612,-110.378,2010,"03650","Tytonidae","1 ","1   ",14,30,"C",0,1,0,1
840,6,116,34.612,-110.378,2010,"03650","Tytonidae","1 ","1   ",12,27,"C",0,2,1,0
840,6,116,34.612,-110.378,2010,"03650","Tytonidae","1 ","1   ",17,25,"C",1,3,1,1
840,7,35,35.901,-90,2010,"03650","Tytonidae","1 ","1   ",26,31,"C",1,2,0,0
840,7,35,35.901,-90,2010,"03650","Tytonidae","1 ","1   ",26,28,"C",2,2,4,2
840,7,35,35.901,-90,2010,"03650","Tytonidae","1 ","1   ",27,31,"C",1,2,0,1
840,7,35,35.901,-90,2010,"03650","Tytonidae","1 ","1   ",20,23,"C",2,2,1,1
840,7,35,35.901,-90,2010,"03650","Tytonidae","1 ","1   ",18,22,"C",2,2,1,0
840,7,35,35.901,-90,2010,"03650","Tytonidae","1 ","1   ",23,29,"C",0,3,0,0
840,7,35,35.901,-90,2010,"03650","Tytonidae","1 ","1   ",22,23,"C",0,1,4,1
840,17,28,37.688,-102.292,2010,"03650","Tytonidae","1 ","1   ",18,26,"C",2,2,1,1
840,17,28,37.688,-102.292,2010,"03650","Tytonidae","1 ","1   ",10,29,"C",3,2,1,1
840,17,28,37.688,-102.292,2010,"03650","Tytonidae","1 ","1   ",14,26,"C",0,2,0,2
840,17,28,37.688,-102.292,2010,"03650","Tytonidae","1 ","1   ",16,27,"C",1,4,1,0
840,17,28,37.688,-102.292,2010,"03650","Tytonidae","1 ","1   ",12,26,"C",2,5,1,1
840,17,28,37.688,-102.292,2010,"03650","Tytonidae","1 ","1   ",7,20,"C",3,3,0,0
840,17,28,37.688,-102.292,2010,"03650","Tytonidae","1 ","1   ",18,26,"C",4,4,1,1
840,17,28,37.688,-102.292,2010,"03650","Tytonidae","1 ","1   ",17,26,"C",1,1,0,1
840,17,28,37.688,-102.292,2010,"03650","Tytonidae","1 ","1   ",13,25,"C",2,3,4,2
840,17,28,37.688,-102.292,2010,"03650","Tytonidae","1 ","1   ",10,27,"C",3,4,0,0
840,17,28,37.688,-102.292,2010,"03650","Tytonidae","1 ","1   ",16,21,"C",3,3,2,0
840,17,28,37.688,-102.292,2010,"03650","Tytonidae","1 ","1   ",12,21,"C",2,2,2,2
840,17,28,37.688,-102.292,2010,"03650","Tytonidae","1 ","1   ",16,21,"C",2,2,5,2
840,17,28,37.688,-102.292,2010,"03650","Tytonidae","1 ","1   ",7,18,"C",2,2,0,0
840,17,28,37.688,-102.292,2010,"03650","Tytonidae","1 ","1   ",20,20,"C",2,2,2,2
840,17,28,37.688,-102.292,2010,"03650","Tytonidae","1 ","1   ",13,23,"C",0,3,0,0
840,17,28,37.688,-102.292,2010,"03650","Tytonidae","1 ","1   ",14,21,"C",2,4,2,2
840,17,28,37.688,-102.292,2010,"03650","Tytonidae","1 ","1   ",13,22,"C",0,0,2,2
840,17,28,37.688,-102.292,2010,"03650","Tytonidae","1 ","1   ",14,32,"C",2,4,1,1
