countrynum,statenum,statename,Route,routename,latitude,longitude,Year,Aou,family,SpeciesTotal
840,6,ARIZONA,14,PRESCOTT,34.6437087,-112.4327389,2016,7430,Aegithalidae,3
840,6,ARIZONA,32,PATAGONIA,31.5175977,-110.7949529,2016,7430,Aegithalidae,7
840,6,ARIZONA,107,PEACH SPRING,35.5541565,-113.3760172,2016,7430,Aegithalidae,2
840,6,ARIZONA,122,CARR MTN,33.5656117,-110.9464649,2016,7430,Aegithalidae,6
840,6,ARIZONA,123,SPRUCEDALE,33.6103817,-109.1063079,2016,7430,Aegithalidae,4
840,6,ARIZONA,133,PORTAL,31.9825267,-109.2013399,2016,7430,Aegithalidae,5
840,6,ARIZONA,172,CUTTER 2,33.178809,-110.215069,2016,7430,Aegithalidae,8
124,11,British Columbia,310,Silver Skagit Rd,49.00246,-121.06323,2016,7430,Aegithalidae,5
124,11,British Columbia,401,SALT SPR. IS,48.74932,-123.54811,2016,7430,Aegithalidae,1
124,11,British Columbia,510,Chaumox,49.8336317,-121.571998,2016,7430,Aegithalidae,7
124,11,British Columbia,613,COOMBS,49.25092,-124.35721,2016,7430,Aegithalidae,2
840,14,CALIFORNIA,1,HORSE CREEK,41.8223332,-123.0047055,2016,7430,Aegithalidae,8
840,14,CALIFORNIA,7,RED BLUFF,40.3520163,-122.3059647,2016,7430,Aegithalidae,2
840,14,CALIFORNIA,11,HULLVILLE,39.5232837,-122.9409709,2016,7430,Aegithalidae,3
840,14,CALIFORNIA,22,BASS LAKE,37.3670857,-119.6302109,2016,7430,Aegithalidae,6
840,14,CALIFORNIA,32,PARKFIELD,35.8086777,-120.5305939,2016,7430,Aegithalidae,4
840,14,CALIFORNIA,47,OAK GROVE,33.3988807,-116.8011859,2016,7430,Aegithalidae,18
840,14,CALIFORNIA,54,ORANGE COVE,36.6315997,-119.3047559,2016,7430,Aegithalidae,17
840,14,CALIFORNIA,79,COHASSET,39.9935292,-121.704424,2016,7430,Aegithalidae,1
840,14,CALIFORNIA,96,BODIE,38.1752167,-119.1943049,2016,7430,Aegithalidae,6
840,14,CALIFORNIA,98,FOLSOM,38.7202247,-121.0356899,2016,7430,Aegithalidae,13
840,14,CALIFORNIA,108,CARMEL VAL,36.4530827,-121.6956939,2016,7430,Aegithalidae,5
