countrynum,statenum,statename,Route,routename,latitude,longitude,Year,Aou,SpeciesTotal
124,4,Alberta,2,BOW ISLAND,49.87324,-111.4102,2016,2881,13
124,4,Alberta,6,BINDLOSS,50.74668,-110.25869,2016,2881,6
840,53,MONTANA,6,VIRGELLE,48.0610003,-110.3321782,2016,2881,1
840,53,MONTANA,7,CLEVELAND,48.2967897,-109.0648339,2016,2881,1
840,53,MONTANA,8,HARLEM,48.3824357,-108.7144099,2016,2881,1
840,64,NORTH DAKOTA,8,EMERADO,47.9619307,-97.4077439,2016,2881,1
124,4,Alberta,9,BUFFALO HILL,50.60147,-113.02852,2016,2881,2
124,45,Manitoba,9,CROLL,49.34073,-100.12712,2016,2881,2
840,53,MONTANA,10,GLASGOW,48.2045751,-106.5334326,2016,2881,1
840,53,MONTANA,11,OSWEGO,48.0596931,-105.9946591,2016,2881,1
840,53,MONTANA,12,REDSTONE,48.8382207,-104.8419949,2016,2881,2
840,33,IDAHO,14,LEADORE,44.722359,-113.5203605,2016,2881,12
124,79,Saskatchewan,14,MOOSE JAW,50.33853,-105.39733,2016,2881,2
124,79,Saskatchewan,15,PARKBEG,50.48447,-106.27955,2016,2881,3
124,79,Saskatchewan,16,SWIFT CURRNT,50.10608,-107.73392,2016,2881,2
840,64,NORTH DAKOTA,17,ROLLA,48.7474635,-99.6133701,2016,2881,2
840,64,NORTH DAKOTA,18,NILES,48.2672307,-99.3513109,2016,2881,2
840,50,MINNESOTA,21,CHOKIO,45.5499007,-96.0968314,2016,2881,1
840,36,IOWA,22,KANAWHA,42.9663334,-93.8524963,2016,2881,2
840,54,NEBRASKA,23,SPARTA,42.6988061,-97.9539527,2016,2881,1
840,64,NORTH DAKOTA,24,LORAINE,48.8647667,-101.5405509,2016,2881,2
840,64,NORTH DAKOTA,26,STANLEY,48.2692787,-102.4614329,2016,2881,4
840,53,MONTANA,29,TWO DOT,46.3295907,-110.0515279,2016,2881,2
840,36,IOWA,30,DAVIS CORNER,43.3492727,-92.2585749,2016,2881,4
840,64,NORTH DAKOTA,32,GORHAM,47.2340597,-103.3213579,2016,2881,4
124,79,Saskatchewan,33,BIGGAR,52.23764,-107.97894,2016,2881,1
840,53,MONTANA,35,WEBSTER,46.1128407,-104.4950949,2016,2881,1
840,64,NORTH DAKOTA,36,BENTLEY,46.1041487,-102.0608219,2016,2881,1
840,64,NORTH DAKOTA,37,GLEN ULLIN,46.7758047,-101.9283519,2016,2881,5
840,81,SOUTH DAKOTA,37,LODGEPOLE,45.8344327,-102.9426799,2016,2881,1
840,89,WASHINGTON,38,WILBUR,47.7717347,-118.8944699,2016,2881,1
840,64,NORTH DAKOTA,39,POWERS LAKE,48.6621167,-102.6906819,2016,2881,2
840,92,WYOMING,44,ARVADA,44.6516797,-106.1303939,2016,2881,2
840,89,WASHINGTON,57,KEYSTONE,30.0641124,-91.8208203,2016,2881,4
840,50,MINNESOTA,60,FRANKLIN,44.5014836,-94.8515103,2016,2881,1
840,92,WYOMING,84,LEO,42.2489347,-106.5688169,2016,2881,2
124,4,Alberta,101,MANYBERRIES,49.26127,-110.69079,2016,2881,5
840,53,MONTANA,105,Whitlash,48.682302,-111.46974,2016,2881,3
124,4,Alberta,107,WARDLOW,50.92139,-111.11275,2016,2881,1
124,4,Alberta,109,MAZEPPA,50.42635,-113.82728,2016,2881,7
124,4,Alberta,111,ESTHER,51.44533,-110.38028,2016,2881,1
840,64,NORTH DAKOTA,113,BOWESMONT 2,48.717625,-97.316075,2016,2881,2
124,79,Saskatchewan,116,DENDRON,50.01867,-107.00595,2016,2881,4
124,79,Saskatchewan,120,WILLOWBROOK,51.09238,-102.75534,2016,2881,2
124,79,Saskatchewan,124,BRODERICK,51.56189,-106.63717,2016,2881,2
840,33,IDAHO,128,BLACKFT RES,42.9613154,-111.7185508,2016,2881,2
124,4,Alberta,203,KIPP COULEE,49.38423,-112.65106,2016,2881,6
124,45,Manitoba,203,GRETNA,49.10385,-97.84131,2016,2881,4
124,45,Manitoba,205,GRAYSVILLE,49.51136,-98.16004,2016,2881,2
124,4,Alberta,209,ENSIGN,50.48464,-113.39021,2016,2881,3
124,4,Alberta,211,ACADIA VALLY,51.35788,-110.19278,2016,2881,2
124,79,Saskatchewan,213,Craven,50.75888,-104.6899,2016,2881,1
124,4,Alberta,214,KATHYRN,51.4154,-113.7321,2016,2881,2
124,79,Saskatchewan,217,WHITE BEAR,50.92153,-108.07043,2016,2881,8
124,4,Alberta,302,LEGEND,49.75642,-111.51741,2016,2881,5
840,53,MONTANA,305,GILDFORD,48.563091,-110.302392,2016,2881,1
124,4,Alberta,306,Roseglen,50.55749,-110.32547,2016,2881,4
840,53,MONTANA,306,CHINOOK,51.44452,-110.91913,2016,2881,1
840,53,MONTANA,307,ESTER LAKE,48.086536,-108.170308,2016,2881,4
840,53,MONTANA,308,SACO,48.756557,-107.118909,2016,2881,1
124,79,Saskatchewan,309,KINCORTH,49.96045,-109.53173,2016,2881,1
840,53,MONTANA,314,SUN RIVER,47.542278,-111.703118,2016,2881,1
840,53,MONTANA,320,LINDSAY,47.225122,-105.166186,2016,2881,1
124,79,Saskatchewan,405,Divide,49.10171,-109.12272,2016,2881,1
124,79,Saskatchewan,406,Shaunavon,49.30547,-108.42765,2016,2881,3
124,4,Alberta,501,Rolling Hills,50.08913,-111.56814,2016,2881,1
124,4,Alberta,511,Buffalo,50.765188,-110.673829,2016,2881,5
124,4,Alberta,512,Onefour,49.10149,-110.56255,2016,2881,1
840,55,NEVADA,2,PIUTE MDWS,41.3171877,-118.9004059,2016,2882,5
840,85,UTAH,2,PROMONTORY,41.2587657,-112.4954989,2016,2882,2
840,55,NEVADA,4,MIDAS,41.2263817,-116.5900339,2016,2882,2
840,55,NEVADA,7,SAND PASS,40.2636938,-119.7796496,2016,2882,6
840,17,COLORADO,8,DOUGLAS PASS,39.4003427,-108.8123629,2016,2882,1
840,69,OREGON,8,IMNAHA,45.72192,-116.7795945,2016,2882,1
840,55,NEVADA,9,FISH CREEK,46.9078696,-114.8109307,2016,2882,23
840,92,WYOMING,9,DUBOIS,44.2384571,-112.2561867,2016,2882,1
840,85,UTAH,11,GOSHEN,38.4108577,-85.5587469,2016,2882,1
840,92,WYOMING,11,NOWOOD,43.5968807,-107.4300839,2016,2882,1
840,69,OREGON,13,LOGDELL,44.2168556,-119.2408498,2016,2882,1
840,85,UTAH,16,DESERT VIEW,38.4740357,-111.3539579,2016,2882,1
840,92,WYOMING,18,ERVAY,42.8775297,-107.4436569,2016,2882,1
840,89,WASHINGTON,23,ASOTIN,46.3417127,-117.0559849,2016,2882,2
840,55,NEVADA,29,BEATTY,36.9072027,-116.7617883,2016,2882,21
840,69,OREGON,31,ALVORD LAKE,42.34767,-118.6488892,2016,2882,2
